"name"	"country_code"	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"World"	900	7827606.968	8322368.638	8821836.313	9306008.552	9789248.819	10286184.02	10801105.3	11328639.02	11859342.24	12392725.99	12937258.26	13499801.31	14083296.91	14686004.79	15305652.44	15937646.66	16577065.44
"More developed regions"	901	1276440.001	1302805.05	1328062.011	1349387.009	1369272.519	1390685.786	1416263.22	1446260.977	1479265.566	1514010.678	1551115.772	1592307.608	1639022.844	1691356.04	1748068.821	1807439.076	1868365.036
"Less developed regions"	902	6551166.967	7019563.588	7493774.302	7956621.543	8419976.3	8895498.231	9384842.081	9882378.041	10380076.68	10878715.32	11386142.49	11907493.7	12444274.07	12994648.75	13557583.62	14130207.58	14708700.41
"Least developed countries"	941	1080061.765	1221045.707	1375737.982	1539788.319	1714318.551	1900834.703	2099509.519	2309137.951	2527514.415	2753161.819	2985627.436	3224703.133	3469428.795	3718648.386	3970936.681	4225046.935	4480084.097
"Other less developed countries"	934	5471105.202	5798517.881	6118036.32	6416833.224	6705657.749	6994663.528	7285332.562	7573240.09	7852562.262	8125553.496	8400515.051	8682790.566	8974845.271	9276000.365	9586646.934	9905160.644	10228616.31
"Less developed regions, excluding China"	948	5104060.817	5542928.804	5996979.181	6448359.135	6905255.627	7377348.596	7865848.519	8365411.126	8868315.817	9372570.273	9882803.121	10402757.07	10933828.08	11473795.37	12020559.53	12570493.45	13121703.18
"High-income countries"	1503	1442784.162	1485033.13	1525971.996	1561966.317	1595137.507	1628546.844	1665276.251	1705894.891	1749148.228	1793696.334	1839913.877	1889518.056	1944248.46	2004677.972	2069964.012	2138406.042	2208792.481
"Middle-income countries"	1517	5648872.882	5994755.655	6334802.195	6655399.976	6968021.214	7283290.728	7602389.572	7920425.116	8231008.399	8536302.907	8845080.791	9162949.478	9492145.406	9831521.505	10180904.3	10538466.79	10901370.73
"Upper-middle-income countries"	1502	2491231.596	2581250.612	2661659.873	2730306.764	2792387.938	2851615.399	2908724.011	2962545.777	3011479.115	3058121.319	3106924.998	3160979.794	3221755.754	3289750.148	3365525.438	3448922.268	3537701.589
"Lower-middle-income countries"	1501	3157641.286	3413505.043	3673142.322	3925093.212	4175633.276	4431675.329	4693665.561	4957879.339	5219529.284	5478181.588	5738155.793	6001969.684	6270389.652	6541771.357	6815378.865	7089544.522	7363669.145
