"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	65.3507	68.6105	71.7544	74.7684	77.7041	80.3092	82.7202	84.9774	87.0624	89.1172	90.8278	92.2497	93.6996	94.7973	95.797	96.7967	97.6808
"Albania"	8	82.2317	83.5025	84.5843	85.5302	86.5044	87.4674	88.2163	89.1471	89.9678	90.7654	91.5652	92.3511	93.0698	93.8152	94.6303	95.4404	96.1312
"Algeria"	12	79.6524	81.4461	82.9235	84.188	85.3515	86.3418	87.2657	88.2634	89.0384	89.8954	90.622	91.3773	92.1902	92.8341	93.4295	94.2182	94.8983
"Antigua and Barbuda"	28	80.4911	81.8761	83.0934	84.2866	85.3062	86.3688	87.4552	88.5066	89.4212	90.3074	91.2038	92.0837	92.853	93.6884	94.4428	95.3238	96.0395
"Argentina"	32	81.8946	83.2243	84.4037	85.5004	86.5496	87.5793	88.5691	89.6448	90.5675	91.4955	92.3875	93.1735	93.9509	94.6746	95.6462	96.3013	97.1044
"Armenia"	51	80.3592	81.4701	82.4363	83.356	84.248	85.1285	85.9213	86.6812	87.5067	88.2412	89.0096	89.7544	90.4149	91.1168	91.8397	92.5706	93.2575
"Aruba"	533	79.807	81.0019	81.9395	82.8623	83.7807	84.5787	85.341	86.0663	86.7633	87.5801	88.2753	88.8966	89.6414	90.389	91.1162	91.8567	92.5377
"Australia"	36	86.0861	87.3014	88.3533	89.5093	90.5089	91.4351	92.3003	93.2127	94.0546	94.9633	95.7863	96.5306	97.4017	98.2791	98.8648	99.7098	100.5009
"Austria"	40	85.4695	86.7419	87.9047	88.9595	89.8925	90.8439	91.7535	92.5868	93.4699	94.3541	95.1975	95.968	96.6882	97.5849	98.308	99.0631	99.8011
"Azerbaijan"	31	76.0305	77.3299	78.4239	79.4305	80.3395	81.1914	82.0806	83.0372	83.7896	84.4398	85.2515	85.9812	86.7707	87.6154	88.2975	88.8856	89.7205
"Bahamas"	44	80.3608	81.7672	82.9316	83.9767	85.127	86.1741	87.1493	88.0018	88.9357	89.7679	90.4914	91.4188	92.2318	93.0134	93.7481	94.3703	95.094
"Bahrain"	48	79.6186	80.8056	81.8937	82.861	83.7828	84.5525	85.3806	86.199	86.9113	87.617	88.3887	89.1231	89.8059	90.5351	91.1863	91.9347	92.6313
"Bangladesh"	50	76.4537	79.5905	82.2609	84.6948	87.0367	88.7581	90.3388	91.3785	92.3636	93.1208	93.6365	94.3345	94.8708	95.4678	96.0124	96.5115	97.0344
"Barbados"	52	79.9322	81.3426	82.5393	83.717	84.7095	85.6499	86.6029	87.4927	88.504	89.3008	90.1479	90.9788	91.6999	92.5391	93.2159	94.0239	94.8009
"Belarus"	112	78.8486	79.8694	80.7867	81.6034	82.3883	83.1076	83.7702	84.4328	85.1651	85.7219	86.4401	87.1553	87.8174	88.335	89.0163	89.637	90.3413
"Belgium"	56	84.9108	86.1711	87.259	88.266	89.3429	90.2789	91.1154	92.0233	92.8394	93.6949	94.5183	95.2458	96.0731	96.8796	97.6469	98.3284	99.0739
"Belize"	84	75.1602	76.5262	77.7175	78.7476	79.7167	80.7754	81.6599	82.6074	83.3987	84.1347	85.079	85.8137	86.6801	87.619	88.501	89.367	90.1799
"Benin"	204	63.9302	65.9974	67.8353	69.4561	70.9856	72.4953	73.8387	75.3111	76.4211	77.5355	78.5232	79.6606	80.5971	81.8072	82.7821	83.7962	84.7357
"Bhutan"	64	73.2003	75.912	78.2825	80.1535	81.8651	83.3514	84.6209	85.7122	86.794	87.7249	88.7362	89.5606	90.3133	91.0206	91.7465	92.5223	93.3577
"Bolivia (Plurinational State of)"	68	74.1658	76.8697	79.2165	81.3042	83.2498	84.9302	86.4377	87.7306	88.872	89.8776	90.9481	91.7391	92.5212	93.37	94.0676	94.8098	95.6085
