"name"	"country_code"	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"WORLD"	900	7349472	7732429	8086117	8410612	8709742	8984278	9230597	9440449	9618295	9759245	9875261	9964971	10031829	10067360	10087756	10088203	10075172	10039937
"More developed regions"	901	1251351	1263707	1271672	1275110	1274677	1271825	1267097	1261447	1254504	1246687	1237766	1229626	1221402	1214755	1208960	1203527	1197051	1189921
"Less developed regions"	902	6098121	6467200	6811316	7129808	7428309	7702203	7950655	8164001	8342892	8492215	8614688	8707854	8779187	8819469	8843255	8842859	8824337	8791699
"Least developed countries"	941	954158	1066627	1185176	1308454	1435898	1565740	1695579	1823180	1949300	2070065	2187024	2293810	2396684	2486927	2565237	2631002	2684335	2728295
"Less developed regions, excluding least developed countries"	934	5143963	5398814	5621459	5813587	5979620	6119155	6227308	6301928	6345559	6362755	6354400	6330117	6284151	6222967	6152230	6072363	5984829	5901207
"Less developed regions, excluding China"	948	4690815	5036109	5371040	5692890	6001770	6295115	6568115	6811124	7029109	7222556	7386609	7521926	7633116	7717452	7778693	7815540	7841627	7829008
"High-income countries"	1503	1401479	1428225	1449051	1464576	1475030	1481123	1484317	1484185	1481537	1476384	1469500	1461321	1453490	1445555	1438018	1429890	1420579	1410831
"Middle-income countries"	1517	5306283	5574073	5810914	6018022	6201556	6355016	6479761	6573314	6634867	6665456	6676403	6662124	6629485	6583788	6523298	6453486	6383126	6303254
"Upper-middle-income countries"	1502	2390125	2459785	2506540	2536153	2553640	2559697	2552573	2531898	2498741	2457423	2409031	2357284	2302691	2245701	2186684	2129317	2074509	2023492
"Lower-middle-income countries"	1501	2916158	3110506	3296377	3466845	3624778	3767603	3894035	4000536	4085280	4151474	4200655	4229656	4245380	4249132	4235582	4215058	4184396	4141934
"Low-income countries"	1500	638735	723942	814733	910744	1011380	1114708	1219735	1324825	1428604	1531029	1627356	1718836	1803709	1880021	1947412	2005231	2054960	2090930
"Sub-Saharan Africa"	947	962287	1091531	1229960	1377220	1532748	1695152	1860505	2027624	2193810	2357404	2517511	2671525	2811812	2941466	3059075	3162424	3247745	3322564
"AFRICA"	903	1186178	1335241	1492375	1657593	1830644	2010572	2193741	2376646	2557057	2733607	2903158	3066484	3213812	3353278	3477489	3584550	3680744	3755025
"Eastern Africa"	910	394477	449022	506944	567926	631981	697776	764864	831224	896177	959128	1019172	1075185	1127323	1173941	1214657	1248069	1276655	1298227
"Burundi"	108	11179	12994	14833	16674	18629	20704	22802	24881	26836	28639	30265	31855	33255	34505	35567	36266	36792	37014
"Comoros"	174	788	874	959	1041	1123	1203	1275	1340	1399	1449	1490	1520	1540	1554	1557	1553	1546	1528
"Djibouti"	262	888	936	979	1014	1039	1057	1067	1067	1058	1042	1019	989	954	917	878	840	802	765
