"name"	"country_code"	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"WORLD"	900	7349472	7718265	8054448	8359668	8638850	8888874	9105225	9283627	9418858	9528266	9613759	9663059	9690335	9685056	9668375	9621078	9567482	9493640
"More developed regions"	901	1251351	1262239	1268601	1270223	1268084	1263555	1257052	1248533	1239095	1227592	1215817	1204197	1192619	1182233	1173239	1162668	1152219	1141178
"Less developed regions"	902	6098121	6453583	6781288	7080505	7359977	7610751	7830629	8013349	8155611	8267626	8353925	8414581	8445075	8441604	8418507	8379643	8325593	8255778
"Least developed countries"	941	954158	1064430	1179991	1299353	1421804	1545092	1667925	1786077	1900702	2009305	2109125	2201828	2282046	2352219	2411908	2457226	2487780	2507948
"Less developed regions, excluding least developed countries"	934	5143963	5386762	5594573	5768807	5917529	6036845	6123536	6170989	6186547	6177329	6139648	6081547	6009486	5924089	5823189	5709276	5600260	5484451
"Less developed regions, excluding China"	948	4690815	5024031	5345238	5651549	5939440	6208719	6453539	6671230	6857526	7014330	7143193	7245347	7319148	7364237	7387734	7377836	7351168	7309065
"High-income countries"	1503	1401479	1426555	1445592	1459086	1467385	1471538	1472396	1469670	1463801	1454836	1444753	1433725	1420862	1408792	1397105	1384175	1371089	1357569
"Middle-income countries"	1517	5306283	5561277	5783687	5971362	6136738	6273037	6371672	6439079	6469773	6472556	6451857	6410695	6345208	6266937	6178649	6080419	5967390	5844836
"Upper-middle-income countries"	1502	2390125	2454862	2496455	2519879	2531070	2529649	2513574	2484720	2442979	2392949	2336660	2276565	2213209	2148753	2082524	2016436	1953251	1894925
"Lower-middle-income countries"	1501	2916158	3100821	3275181	3431125	3573057	3698179	3803619	3884856	3943696	3983635	4008965	4009234	3999168	3972805	3936470	3884756	3828646	3769360
"Low-income countries"	1500	638735	722475	810844	903404	999821	1098165	1197755	1294318	1389146	1480095	1564284	1642584	1711695	1770084	1820964	1862465	1893303	1909125
"Sub-Saharan Africa"	947	962287	1089411	1224520	1367152	1515736	1668815	1824277	1979495	2130595	2275602	2417050	2548368	2665455	2774779	2866758	2938807	2995557	3034794
"AFRICA"	903	1186178	1332740	1486253	1646142	1811704	1981405	2153483	2324178	2490338	2650585	2797888	2936511	3061134	3172164	3272241	3346941	3401108	3441986
