"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"last.observed"
"Congo"	178	44.05	47.97	51.52	54.04	55.55	56.88	57.93	57.52	55.22	52.22	52.42	57.7	62.92	2013
"Dem. Republic of the Congo"	180	40.42	41.91	43	44.36	46.16	47.02	48.53	49.66	51.01	50.32	53.28	56.92	59.53	2013
"Equatorial Guinea"	226	36.01	37.53	39.04	40.56	42.06	43.62	47.17	48.8	50.89	52.89	54.07	55.92	58.57	2013
"Gabon"	266	38.57	40.59	42.1	46.23	50.35	54.48	58.6	62.24	62.51	61.1	58.83	60.34	64.07	2013
"Sao Tome and Principe"	678	47.96	50.47	53.47	55.98	58.54	61.48	62.43	63.24	64.04	64.82	65.6	67.35	68.19	2013
"Northern Africa"	912	43.21478251	47.02816871	49.82360188	52.53404214	54.72485756	57.86669975	61.66069702	64.75783536	66.58948722	68.26450622	69.65651592	71.05163572	72.43596015	NA
"Algeria"	12	43.54	45.7	48.04	50.27	52.35	55.87	63.04	67.31	68.83	70.63	73.33	75.22	76.84	2013
"Egypt"	818	41.64	47.37	50.66	53.27	54.8	58.85	62.2	65.91	67.87	70.43	71.42	72.22	73.05	2013
"Libya"	434	37.85	40.21	48.25	54.83	60.44	64.49	67.53	69.41	71.17	71.96	72.78	74.41	74.41	2013
"Morocco"	504	47.43	49.21	50.46	52.63	54.55	56.79	61.1	64.67	67.66	69.25	70.95	72.74	74.62	2013
"Sudan"	729	45.99	48.53	50.69	52.7	54.54	55.5	55.95	56.63	57.59	59.04	60.8	62.66	64.6	2013
"Tunisia"	788	39.9	41.71	44.76	49.44	55.21	60.28	65.91	69.07	72.71	75.04	76.27	77.04	77.04	2013
"Western Sahara"	732	37.1	39.1	41	43	45.1	49.42	53.73	58.05	60.55	63.05	65.83	68.1	69.81	2013
"Southern Africa"	913	45.84546148	49.24191509	51.72787015	54.1045533	56.21662409	58.50080367	61.65516718	64.38310507	65.43829251	61.2204451	53.58815257	53.52496268	59.03140788	NA
"Botswana"	72	49.56	51.51	53.31	55	57.8	61.2	63.69	64.8	62.72	52.77	49.9	63.15	66.51	2013
"Lesotho"	426	43.4	46.31	49	49.71	50.95	53.4	56.5	58.5	61.41	53.08	43.74	45.76	49.59	2013
"Namibia"	516	44.1	47.5	50.6	53.22	55.87	58.04	61.12	63.17	63.6	60.52	55.43	62.86	66.95	2013
"South Africa"	710	46	49.5	52	54.51	56.6	58.83	62	64.86	65.97	62.19	54.35	53.4	59.11	2013
"Swaziland"	748	43.44	45.43	46.99	48.59	51.52	54.45	57.85	60.12	60.44	53.75	45.87	47.05	48.54	2013
"Western Africa"	914	34.78344504	36.70773878	38.80699215	40.69585604	43.07792039	45.71458408	48.02700077	48.96916052	49.43317458	49.24517234	50.20919123	53.18557491	55.62570145	NA
"Benin"	204	33.91	36.55	39.03	42.15	46.33	49.47	51.59	54.55	57	56.92	57.7	59.55	60.61	2013
"Burkina Faso"	854	32.03	34.39	36.73	39.19	41.48	44.6	49.54	50.54	50.44	51.25	52.56	57	59.33	2013
"Cabo Verde"	132	49.13	49.88	50.64	53.73	56.83	60.34	63.85	66.23	68.16	70.44	72.26	74.08	74.65	2013
"Cote d'Ivoire"	384	33.08	36.02	39.79	42.93	47.72	51.26	53.76	54.98	53.53	48.12	47.63	50	51.85	2013
"Gambia"	270	31.44	32.77	34.08	37.07	41.38	45.57	49.57	52.73	54.1	55.67	57.94	59.99	61.21	2013
"Ghana"	288	42.41	44.89	47.31	49.17	51.3	52.87	54.25	56.34	58.94	57.8	58.3	60.88	61.97	2013
"Guinea"	324	34.24	35.52	36.53	37.26	38.68	41.07	44.26	49.02	52.01	51.82	51.31	55.15	58.49	2013
"Guinea-Bissau"	624	37.31	38.72	40.2	42.15	44	46	48.52	50.28	52.19	52.76	52.52	54.45	56.5	2013
"Liberia"	430	35.92	36.85	37.84	39.92	42.67	46.45	48.88	49.45	49.75	53.3	53.23	58.98	61.21	2013
"Mali"	466	27.71	28.7	29.54	31.71	35.1	38.62	42.41	45.2	47.17	47.77	49.99	54.6	56.98	2013
"Mauritania"	478	38.69	42	45.8	48.86	51.48	54.15	57.08	59.02	60.23	61.4	61.89	62.85	64.25	2013
"Niger"	562	34.92	35.23	35.72	36.06	36.84	38.34	40.87	42.92	45.7	48.99	52.36	55.75	61.55	2013
"Nigeria"	566	35.37	37.3	39.57	41.36	43.37	45.59	47.31	47.22	47.15	47.02	47.79	50.47	52.61	2013
"Senegal"	686	36.12	38.22	39.41	39.28	41.9	47.68	52.66	57.62	59.2	58.76	60.55	63.59	67.61	2013
"Sierra Leone"	694	30.58	31.56	32.45	33.85	36.88	40.04	41.08	39.4	36.71	37.49	42.56	46.72	50.74	2013
"Togo"	768	36.12	39.52	42.92	46.25	49.58	52.62	55.42	57.06	56.63	54.48	54.7	56.32	59.68	2013
"Asia"	935	42.99859357	45.33015881	47.25135292	53.81295917	57.47951522	60.4577869	62.95610472	64.94405312	66.73731882	68.37823173	70.22328577	71.97733396	73.55089916	NA
"Eastern Asia"	906	46.77322897	48.03632878	48.19316478	58.88711912	64.33985401	67.96645319	70.33850881	71.61604273	72.73120494	74.01539091	76.03950496	77.66277729	78.57079192	NA
"China"	156	44.84	45.67	45.49	57.06	62.84	66.6	69.02	70.25	71.22	72.52	74.44	76.1	77.02	2013
"China, Hong Kong SAR"	344	66.43	69.22	72.19	74.13	75.85	77.39	78.79	80.06	81.23	82.32	84.32	85.43	86.58	2013
"China, Macao SAR"	446	62.36	65.07	67.68	69.99	72.03	73.86	75.49	76.95	78.27	79.48	80.58	81.6	82.51	2013
"Dem. People's Rep. of Korea"	408	43.16	52.54	54.55	60.06	64.59	67.86	69.83	71.33	73.31	67.39	71.46	71.75	73.27	2013
"Japan"	392	63.93	68.47	71.48	73.93	75.78	77.88	79.63	81.3	82.43	83.7	85.21	85.98	86.49	2013
"Mongolia"	496	44.91	48.48	52.85	56.13	58.79	59.25	59.73	61.99	63.53	64.29	67.74	70.27	73.29	2013
"Republic of Korea"	410	49.88	53.54	57.61	62.1	67.08	69.24	71.75	74.6	77	78.68	80.77	83.23	84.63	2013
"Other non-specified areas"	158	60.01	65.63	67.73	69.61	72.12	73.63	74.83	76.1	77.35	78.32	80.01	81.5	82.3	2013
"South-Central Asia"	921	37.1430474	40.34526847	43.55341287	46.89166235	49.72925448	53.43470431	56.01853813	58.08990598	60.65294767	63.06670827	65.14749996	67.06800438	69.3066301	NA
"Central Asia"	5500	58.9077439	61.0133305	63.08797795	65.06768612	66.58049952	67.60970225	69.10343798	70.13304199	68.97263511	68.66353561	69.71005696	70.72801851	72.29912145	NA
"Kazakhstan"	398	60.69	62.74	64.78	66.83	68.37	69.42	71	72.25	70.3	68.95	70.42	71.53	73.87	2013
"Kyrgyzstan"	417	57.24	59.38	61.52	63.66	65.3	66.45	68.1	69.79	70.25	69.99	70.61	71.06	74.29	2013
"Tajikistan"	762	55.64	57.63	59.63	61.63	63.13	64.13	65.32	66.23	65.96	66.96	68.6	70.96	72.84	2013
"Turkmenistan"	795	55.07	57.11	59.14	61.18	62.71	63.76	65.29	66.28	66.64	67.55	68.22	68.94	69.69	2013
"Uzbekistan"	860	59.44	61.46	63.49	65.52	67.04	68.08	69.61	70.45	69.41	69.98	70.54	70.93	71.61	2013
"Southern Asia"	5501	36.54367287	39.70518434	42.87842406	46.22329336	49.08797668	52.86917514	55.48283588	57.58680558	60.30272144	62.8519046	64.984599	66.93375878	69.19299119	NA
"Afghanistan"	4	29.38	31.93	34.22	36.39	38.65	41.23	44.4	48.66	52.81	55.34	57.11	59.2	61.06	2013
"Bangladesh"	50	41.07	44.57	47.49	49.61	46.25	52.44	54.53	57.28	60.43	63.97	67.31	69.99	72.26	2013
"Bhutan"	64	30.3	31.89	33.59	35.36	38.81	42.88	46.64	50.34	54.4	58.42	63.03	66.94	69.09	2013
"India"	356	36	38.93	41.98	45.38	48.96	52.56	55.12	56.97	59.73	62.41	64.46	66.46	68.93	2013
"Iran (Islamic Republic of)"	364	39.05	42.46	45.83	49.2	52.85	57.22	61.3	64.81	67.53	69.88	72.33	74.58	76.22	2013
"Maldives"	462	34.77	36.25	38.85	42.09	45.66	49.71	54.38	58.41	63.65	68.07	73.7	76.82	77.41	2013
"Nepal"	524	34.17	34.69	36.3	39.25	42.24	45.2	48.74	52.61	57.13	61.45	65.2	68.14	70.45	2013
"Pakistan"	586	37.44	42.98	47.69	51.4	54.23	56.48	58.37	60.09	61.53	62.91	64.26	65.35	66.84	2013
"Sri Lanka"	144	56.82	61.07	63.11	65.22	67.22	68.91	71.76	72.7	73.53	72.86	77.15	77.77	78.03	2013
"South-Eastern Asia"	920	48.51189864	51.94161503	54.81394694	57.58976682	59.0050697	60.52504654	64.13342309	66.48930164	68.17389291	69.57749177	70.7638453	72.16303012	73.17085172	NA
"Brunei Darussalam"	96	59.92	62.6	65.27	67.43	69.35	71.06	72.6	73.99	75.25	76.4	77.45	78.43	80.39	2013
"Cambodia"	116	41.72	42.63	43.19	43.96	40.67	18.12	47.26	54.38	56.56	58.63	62.96	67.35	69.55	2013
"Indonesia"	360	45.04	48.46	51.55	54.34	57.08	59.64	61.84	63.76	65.67	67.38	68.54	69.82	70.7	2013
"Lao People's Dem. Republic"	418	42.91	44.25	45.65	47	48.45	49.65	51.14	53.56	56.23	58.9	61.71	64.5	66.84	2013
"Malaysia"	458	55.82	58.85	61.74	64.44	66.75	68.74	70.45	71.95	73.25	74.41	75.43	76.13	76.88	2013
"Myanmar"	104	39.33	44.32	47.16	52.25	54.42	56.43	58.33	60.12	61.84	63.41	64.95	66.27	67.66	2013
"Philippines"	608	56.65	58.31	59.86	61.65	63.31	63.92	65.4	67.4	68.58	69.41	70.18	70.89	71.55	2013
"Singapore"	702	63.04	67.73	70.04	70.76	72.76	74.26	75.68	77.11	79.23	80.07	81.76	83.66	85.61	2013
"Thailand"	764	53.57	55.62	58.51	60.59	63.31	66.24	68.87	72.71	73.68	74.29	74.9	76.59	77.58	2013
"Timor-Leste"	626	30.37	33.05	35.57	38.12	40.72	32.47	40.68	48.01	52	58	63	67.63	69.51	2013
"Viet Nam"	704	56.52	60.72	64.37	67.08	63.49	70.64	72.52	74.22	75.9	77.46	78.69	79.65	80.31	2013
"Western Asia"	922	46.26243988	49.23190505	52.32436127	55.94993679	59.38102365	62.72433712	65.93630763	68.31896429	70.1612508	72.11583516	73.46558456	74.74762085	75.61086142	NA
"Armenia"	51	65.94	68.01	70.1	72.16	73.64	73.56	73.83	70.76	71.54	73.41	75.95	77.3	78.39	2013
"Azerbaijan"	31	61.5	63.5	65.5	67.5	69	68.7	68.6	69.75	68.45	69.57	70.43	73.14	73.77	2013
"Bahrain"	48	47.03	52.25	58.54	63.82	67.68	70.31	72.1	73.22	74.06	75.06	75.91	76.67	77.42	2013
"Cyprus"	196	68.72	70.75	72.47	73.94	75.21	76.33	77.32	78.2	79.01	79.75	80.45	81.1	82.17	2013
"Georgia"	268	64.42	66.38	68.35	70.32	71.79	73.26	73.22	74.04	73.82	74.68	76.09	77.23	78.14	2013
"Iraq"	368	38.88	44.8	50.27	55.93	59.51	62.11	66.25	68.44	70.64	71.86	71.01	71.19	71.44	2013
"Israel"	376	70.31	71.52	72.5	73.35	74.22	75.22	76.38	77.64	78.96	80.26	81.54	82.73	83.82	2013
"Jordan"	400	45.91	50.67	55.09	59.28	63.04	66.35	68.76	70.64	71.91	72.77	73.75	74.63	75.52	2013
"Kuwait"	414	54.68	59.53	63.43	66.38	68.61	70.23	71.7	72.86	73.57	74.08	74.48	74.85	75.56	2013
"Lebanon"	422	62.17	64.22	65.83	67.17	68.55	69.43	70.12	71.26	72.54	74.81	77.44	79.73	80.87	2013
"Oman"	512	36.5	41.25	45.64	49.65	53.48	58.91	63.72	67.61	70.65	73.27	75.53	77.5	78.85	2013
"Qatar"	634	57.9	61.59	65.01	68.42	71.2	73.02	74.5	75.67	76.59	77.35	78.06	78.71	79.68	2013
"Saudi Arabia"	682	44.09	46.55	49.09	52.32	57.51	62.78	66.78	69.62	72.09	73.77	74.44	74.66	75.47	2013
"State of Palestine"	275	48.85	50.43	52.83	56.07	59.33	62.77	66.06	68.7	70.39	71.93	72.9	73.81	74.66	2013
"Syrian Arab Republic"	760	48.79	51.67	54.51	57.86	61.8	65.2	68.03	70.29	72.11	74.03	75.74	77.33	76.26	2013
"Turkey"	792	44.15	46.81	50.16	53.47	56.73	60.32	63.87	66.7	69.39	72.51	74.89	76.91	78.12	2013
"United Arab Emirates"	784	46.99	52.48	57.4	62.09	65.65	68.42	70.59	72.28	73.64	74.89	76.25	77.33	78.23	2013
"Yemen"	887	35.9	35.9	35.9	40.43	44.68	49.53	54.51	58.22	60.02	61.32	62.41	63.38	64.88	2013
"Europe"	908	66.05598764	69.7247496	72.04472404	73.21428597	74.07215492	74.81947144	75.55500058	76.51007395	76.82053172	77.30964769	78.03464708	79.27511336	80.55700355	NA
"Eastern Europe"	923	63.2024907	68.35165193	71.39627307	72.52232754	73.12976487	73.24631046	73.38694384	74.1258871	73.60599573	73.44034235	73.77306868	75.12201622	76.81648463	NA
"Belarus"	112	63.38	68.82	71.61	73.25	73.86	74.18	74.42	75.73	74.83	73.11	73.65	75.19	76.97	2013
"Bulgaria"	100	63.68	68.02	71.85	72.99	73.44	73.7	74.18	74.65	74.79	74.61	75.62	76.66	77.56	2013
"Czech Republic"	203	68.82	72.09	73.36	73.43	73.46	74.19	74.3	75.07	76.07	77.49	78.69	79.98	81.27	2013
"Hungary"	348	66.12	69.08	71.03	72.02	72.35	72.86	73.02	73.58	74.13	75.41	76.79	77.9	78.54	2013
"Poland"	616	64.15	68.41	71.21	72.93	74.02	74.64	75.05	75.26	75.66	77.11	78.74	79.77	81.14	2013
"Republic of Moldova"	498	62.99	65	66.49	67.95	68.42	68.42	68.28	70.72	70.89	70.51	71.57	72.1	75.43	2013
"Romania"	642	62.8	65.01	69.68	69.6	71.24	72.03	72.57	72.59	73.31	73.59	75.19	76.74	78.07	2013
"Russian Federation"	643	61.98	68.24	71.43	72.55	72.9	72.84	72.97	73.86	72.77	72.26	71.98	73.69	75.55	2013
"Slovakia"	703	66.31	70.76	72.99	73.25	73.53	74.23	74.68	75.16	75.91	76.85	77.82	78.58	79.73	2013
"Ukraine"	804	64.29	69.49	72.12	73.74	74.41	73.95	73.71	74.56	73.68	72.98	73.35	73.79	75.67	2013
"Northern Europe"	924	71.16875997	73.0495939	73.97403352	74.86347917	75.51504614	76.24910188	77.21832324	77.90247722	78.65919805	79.4499307	80.48527174	81.56031647	82.33644391	NA
"Channel Islands"	830	71.74	73.23	73.88	74.7	75.19	75.92	77	77.78	78.78	79.49	80.52	81.71	82.39	2013
"Denmark"	208	72.26	73.76	74.47	75.27	76.41	77.31	77.54	77.72	77.98	78.53	79.58	80.78	81.94	2013
"Estonia"	233	65.5	70.46	72.98	74.13	74.46	74.22	74.2	74.67	74.14	75.34	77.08	79.03	81.05	2013
"Finland"	246	69.31	71.26	72.5	73.35	74.99	76.89	78.33	78.72	79.46	80.64	81.64	82.84	83.4	2013
"Iceland"	352	74.26	75.43	76.11	76.41	77.23	79.29	79.9	80.13	80.91	81.14	82.44	83.16	83.84	2013
"Ireland"	372	68.09	70.74	72.13	73.07	73.78	74.75	76.04	77.06	78.17	78.75	80.19	81.9	82.74	2013
"Latvia"	428	65.86	70.89	73.44	74.27	74.36	73.82	74.22	74.77	73.73	74.5	76.16	76.98	78.68	2013
"Lithuania"	440	64.01	69.97	73.01	74.76	75.31	75.35	75.51	75.94	75.33	76.1	77.54	77.59	78.78	2013
"Norway"	578	74.44	75.57	75.93	76.76	77.61	78.48	79.39	79.44	80.19	81.1	81.78	82.85	83.38	2013
"Sweden"	752	73.14	74.56	75.44	76.43	77.56	78.38	79.4	80.08	80.78	81.74	82.29	83.1	83.71	2013
"United Kingdom"	826	71.79	73.28	73.94	74.75	75.24	75.97	77.05	77.83	78.83	79.55	80.58	81.71	82.39	2013
"Southern Europe"	925	65.4101862	68.32226584	70.60772234	72.39705859	74.08797683	75.73426311	77.18303083	78.457024	79.49622221	80.57836905	81.71203119	82.8052262	83.86935775	NA
"Albania"	8	56.1	60.1	66	67.4	69.5	71.2	73	75.01	74.86	76.1	78.71	79.72	80.19	2013
"Bosnia and Herzegovina"	70	54.65	59.92	63.62	66.66	69.62	72.27	73.44	74.5	74.23	76.14	77.47	78.08	78.82	2013
"Croatia"	191	63.08	65.91	68.51	70.87	72.8	74.12	74.58	75.5	76.51	78.09	78.43	79.53	80.38	2013
"Greece"	300	67.7	69.43	71.56	72.67	74.52	75.75	77.81	78.92	80.06	80.8	81.87	82.3	83.6	2013
"Italy"	380	68.08	70.61	72.25	73.65	75.12	76.69	78.02	79.48	80.62	81.74	82.99	84.03	85.23	2013
"Malta"	470	67.82	69.77	71.16	72.48	73.73	74.92	76.06	77.14	78.19	79.19	80.15	81.08	81.98	2013
"Montenegro"	499	61.29	63.32	66.82	70.19	74.26	76.06	76.42	77.15	77.97	76.19	76.19	76.47	78.18	2013
"Portugal"	620	62.31	64.48	66.89	69.29	71.29	73.63	75.82	77.34	78.29	79.45	80.66	81.88	83.5	2013
"Serbia"	688	60.47	63.28	65.92	68.79	70.8	72.25	72.88	73.94	74.72	74.84	75.38	76.11	77.5	2013
"Slovenia"	705	68.1	70.5	72	72.6	73.5	74.8	75.21	76.62	77.61	79.05	80.42	82.02	83.14	2013
"Spain"	724	66.44	69.81	72.25	73.92	75.3	77.11	79.04	80.06	81.06	82.09	83.03	84.43	85.05	2013
"TFYR Macedonia"	807	54.91	59.29	62.66	65.83	68.66	70.21	70.77	72.53	73.72	74.99	76.41	76.68	77.48	2013
"Western Europe"	926	70.0448146	71.9859474	73.35251883	74.18044547	75.0181365	76.32853123	77.56967806	78.82842296	79.87846798	80.92152205	81.92145491	82.9805419	83.70181613	NA
"Austria"	40	68.78	70.84	72.6	73.29	74.06	75.36	76.54	78.03	79.2	80.45	81.6	82.72	83.59	2013
"Belgium"	56	70.13	72.09	73.23	73.83	74.67	75.85	77.15	78.45	79.64	80.52	81.26	82.22	83.02	2013
"France"	250	69.94	72.4	74.1	75.07	76.18	77.62	78.79	80.11	81.38	82.24	83.12	84.28	84.87	2013
"Germany"	276	69.6	71.31	72.56	73.42	74.07	75.33	76.68	77.99	79	80.24	81.38	82.34	83.06	2013
"Luxembourg"	442	69.04	70.76	72.46	73.22	73.85	75.22	76.41	78.18	79.14	80.23	81.37	82.17	83.65	2013
"Netherlands"	528	73.24	74.67	75.81	76.36	77.11	78.43	79.45	79.92	80.19	80.49	80.96	82.2	83.14	2013
"Switzerland"	756	71.63	73.24	74.43	75.44	76.77	78.45	79.4	80.56	81.25	82.16	83.08	84.09	84.74	2013
"Latin America and the Caribbean"	904	52.96834426	55.9878099	58.85057058	61.29556274	63.85015945	65.95922455	68.08114342	70.0075799	71.89429501	73.86371628	75.57383015	76.80156555	77.92193207	NA
"Caribbean"	915	53.5364414	56.84630631	60.02841229	62.72529959	64.85172662	66.44958508	67.53620243	69.07176968	70.17825591	71.55727316	72.60188919	74.04824365	75.20316473	NA
"Antigua and Barbuda"	28	60.75	63.07	65.21	67.19	68.94	70.51	71.92	73.19	74.36	75.44	76.43	77.36	78.21	2013
"Aruba"	533	61.6	65.6	68.3	70	72.6	74.3	75.2	75.8	76	76.2	76.39	77.09	77.76	2013
"Bahamas"	44	61.41	63.7	65.76	67.62	69.32	70.87	72.3	73.63	74.53	74.89	76.17	77.27	78.09	2013
"Barbados"	52	59.25	61.84	64.18	66.6	68.46	70.11	71.58	72.89	74.08	75.15	76	76.86	77.71	2013
"Cuba"	192	61.28	64.16	67.11	70.2	72.73	74.91	75.97	76.57	76.73	78.23	79.09	80.74	81.27	2013
"Curacao"	531	62.23	65.78	68.24	69.96	72.29	74.78	76.39	77.37	77.48	77.82	78.59	79.38	80.7	2013
"Dominican Republic"	214	47.31	51.41	55.22	58.67	61.77	63.97	66.09	68.97	71.86	73.12	74.35	75.45	76.45	2013
"Grenada"	308	57.86	60.51	62.8	64.77	66.45	67.91	69.17	70.28	71.25	72.11	73.22	74.4	75.59	2013
"Guadeloupe"	312	54.93	59.26	63.04	66.35	69.26	71.85	74.15	76.23	78.12	79.83	81.41	82.86	83.98	2013
"Haiti"	332	38.76	41.95	44.89	47.59	49.4	51.59	53.02	55.15	57.03	58.9	60.14	62.26	64.42	2013
"Jamaica"	388	60.03	64.28	67.3	69.09	70.44	72.21	73.68	74.05	74.47	74.82	75.63	76.81	77.89	2013
"Martinique"	474	56.89	60.09	63.04	65.82	68.88	71.65	74.16	76.44	78.52	80.42	82.18	83.21	84.36	2013
"Puerto Rico"	630	65.68	70.43	72.07	73.85	75.83	76.93	77.41	78.81	78.54	79.59	80.88	81.79	83.17	2013
"Saint Lucia"	662	55.29	58.78	63.01	64.69	67.83	70.8	73.45	73.44	73.47	73.08	74.03	76.63	77.57	2013
"St. Vincent and the Grenadines"	670	52.21	56.75	62.5	65.78	67.76	68.9	70.51	71.91	72.63	72.88	73.26	73.99	74.9	2013
"Trinidad and Tobago"	780	58.69	62.25	65.96	66.83	67.93	69.3	70.22	70.7	71.25	72.15	72.54	72.96	73.84	2013
"United States Virgin Islands"	850	60.68	64.6	66.97	69.38	71.91	74	75.57	77.8	79.5	80.6	81.27	82.01	82.92	2013
"Central America"	916	50.7173188	54.97148743	58.33894077	60.64330776	63.52935979	66.71921973	69.3054861	71.49709288	73.45852233	75.11729302	76.5391475	77.46280945	78.38711418	NA
