"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"last.observed"
"World"	900	48.32054666	50.85369578	52.74161939	57.30846002	59.99380559	62.32552487	64.28237207	65.83055251	66.88390893	67.91069495	69.24393803	71.06063189	72.74324499	NA
"More developed regions"	901	67.16559655	70.41540341	72.41709133	73.55405963	74.5312677	75.62057355	76.50150589	77.43046732	77.95206644	78.51259666	79.2715367	80.40138051	81.46906775	NA
"Less developed regions"	902	42.47731077	44.94642228	47.06857651	52.68663558	56.01302292	58.74841114	61.06187304	62.85670486	64.19674317	65.45656054	66.94908507	68.86034643	70.6627307	NA
"Least developed countries"	941	37.37221347	39.90531965	42.17107617	44.49472705	45.47439502	47.35773787	50.04515989	51.91041943	52.73717516	54.8708641	57.34777119	60.70943854	63.58753338	NA
"Other less developed countries"	934	43.25052212	45.7052532	47.80842533	53.96454387	57.74862892	60.71944616	63.03093209	64.81477212	66.34705075	67.54344793	68.89330093	70.54168615	72.14685567	NA
"Less developed regions, excluding China"	948	41.48905955	44.7731144	47.83313464	50.83392637	53.36894961	56.12813646	58.59029974	60.41601914	61.990047	63.47366102	64.95669053	66.99135399	69.07470706	NA
"High-income countries"	1503	66.50057871	69.49980115	71.37213159	72.62918646	73.86180434	75.17532704	76.29826083	77.36454139	78.10647744	78.86816707	79.71741799	80.9014685	81.88701306	NA
"Middle-income countries"	1517	43.34788488	45.7841178	47.84586943	53.78098804	57.19598356	60.16217232	62.33770941	64.11802769	65.56245182	66.77449022	68.18095434	69.85133283	71.48379606	NA
"Upper-middle-income countries"	1502	46.52882018	48.07480682	49.0650998	57.84780437	62.46406363	65.57444672	67.99219301	69.6747561	70.84228805	72.03132707	73.46182362	74.85232931	75.99010627	NA
"Lower-middle-income countries"	1501	40.26578107	43.65275035	46.7072464	49.81900973	52.28901427	55.55194101	57.7580195	59.48384314	61.32228782	62.86092318	64.37112612	66.20680165	68.13037876	NA
"Low-income countries"	1500	36.4420057	38.93863369	40.99802583	43.21617648	45.20316128	45.68513234	48.66913973	50.4127691	50.63495146	52.07366101	54.31650136	58.28990859	61.87218893	NA
"Sub-Saharan Africa"	947	37.47674219	39.70831965	41.99263981	43.98810666	46.15047834	48.20337643	49.78157656	50.77388034	50.43870759	50.49953292	51.2473845	54.80065755	58.44306537	NA
"Africa"	903	38.53275185	41.11964451	43.55077045	45.71082601	47.8895717	50.13105145	52.09556288	53.42776632	53.3606269	53.5775131	54.39367936	57.63416389	60.91789411	NA
"Eastern Africa"	910	38.44149825	40.9103237	43.56056424	45.64137642	47.49828076	49.09976841	49.7467222	50.5510349	49.0371099	50.31423158	52.23444569	57.45054675	62.18882417	NA
"Burundi"	108	40.59	42.09	43.61	45.12	45.83	48.04	49.77	50.91	48.92	52.49	53.68	55.37	58.04	2013
"Comoros"	174	40	42	44	46	48.59	50.76	53.91	56.89	59.4	60.85	61.24	62.51	64.5	2013
"Djibouti"	262	42.38	44.29	46.51	48.68	52.41	54.1	56.24	57.66	58.67	58.71	58.78	60.54	63.24	2013
"Eritrea"	232	37.89	38.87	40.17	42.1	43.86	44.95	45.98	48.69	52.52	56.79	59.59	62.23	65.18	2013
"Ethiopia"	231	35.39	38.09	41.63	43.7	45.06	45.8	45	47.67	49.64	52.21	54.95	60.62	65.02	2013
"Kenya"	404	44.17	46.56	50.18	52.92	55.83	58.34	60.93	61.4	59.15	53	51.8	57.41	62.17	2013
"Madagascar"	450	37.36	39.74	42.16	44.49	46.94	49.09	50.74	51.04	53.99	57.91	61.26	63.66	66	2013
"Malawi"	454	36.7	37.7	39	40.15	42.46	44.6	46.39	45.71	44.35	44.35	45.15	53.2	61.98	2013
"Mauritius"	480	51.5	57.62	62.99	65.03	66.29	69.96	71.82	72.52	74.05	74.2	75.45	76.25	77.74	2013
"Mayotte"	175	50.59	56.95	61.51	65.35	68.58	71.33	73.68	75.73	77.53	79.12	80.56	81.87	82.9	2013
"Mozambique"	508	32.5	35.1	37.58	39.65	41.95	43.81	43	44	45.82	49.49	51.3	53.38	56.18	2013
"Reunion"	638	50.59	56.95	61.51	65.35	68.58	71.33	73.68	75.73	77.53	79.12	80.56	81.87	82.9	2013
"Rwanda"	646	41.59	43.09	44.6	45.73	46.2	47.3	51.32	50.31	25.6	49.67	55.64	63.42	66.3	2013
"Seychelles"	690	60.13	61.65	65.61	67.54	70.45	72.89	74.46	75.33	75.87	76.37	76.82	77.27	77.91	2013
"Somalia"	706	35.5	37.53	39.52	41.55	43.48	45.37	47.09	47.96	46.53	51.42	53.1	54.8	56.51	2013
"South Sudan"	728	29.31	31.98	34.13	36.29	38.15	40.16	40.89	43.25	46.73	49.49	51.34	53.3	56.03	2013
"Uganda"	800	41.6	44.2	47	49.67	50.66	50.84	50.57	48.63	46.14	45.84	50.1	55.17	58.83	2013
"United Republic of Tanzania"	834	42.93	44.71	46.01	47.52	49.39	51.65	52.36	52.47	50.42	49.83	53.32	59.37	65.55	2013
"Zambia"	894	43.6	45.7	47.6	49.4	51.81	53.29	52.63	48.68	44.43	43.39	46.25	54.26	60.33	2013
"Zimbabwe"	716	50.1	52.2	54.1	55.8	57.5	59.6	62.64	63.54	56.86	44.82	40.14	44.89	55.95	2013
"Middle Africa"	911	38.2392805	39.94892698	41.56069445	43.34080855	45.54967466	47.08209213	48.5649642	49.64035065	50.32298156	49.86259091	51.62107067	54.34443142	56.97357252	NA
"Angola"	24	31.47	33.49	35.52	37.55	39.57	41.33	41.9	43.11	43.35	44.78	48.62	51.04	53.17	2013
"Cameroon"	120	39.88	41.79	44.01	46.18	48.95	51.6	53.72	54.84	55.1	53.86	52.49	53.66	56.02	2013
"Central African Republic"	140	34.91	37.06	39.22	41.92	45.87	49.75	52.01	52.07	50.34	47.52	45.62	47.57	51.25	2013
"Chad"	148	38.92	39.75	40.62	41.55	43.82	45	46.49	47.71	48.38	48.85	48.53	49.51	52.18	2013
