"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"last.observed"
"Sub-Saharan Africa"	947	34.93432001	37.10268296	39.26253419	41.17595109	43.21544142	45.19592756	46.72801829	47.62638298	47.39296803	48.12079024	49.38824454	52.85068294	55.91655519	NA
"Africa"	903	36.19738338	38.62609723	40.93660553	42.95023104	44.97189225	47.11485484	48.93602478	50.17619473	50.15616923	50.93843271	52.17890136	55.33942765	58.17204539	NA
"Eastern Africa"	910	35.64863745	38.02653005	40.51456176	42.54905471	44.3789289	45.95113317	46.56420726	47.13312271	45.80222947	47.72103695	50.15017799	55.02731419	58.89217143	NA
"Burundi"	108	37.46	38.95	40.44	41.92	42.62	44.8	46.26	47.38	45.66	49.18	50.27	51.99	54.18	2013
"Comoros"	174	37.5	39	41	43	45.17	47.41	50.7	53.72	56.27	57.75	58.01	59.31	61.2	2013
"Djibouti"	262	39.72	41.64	43.87	46.04	49.4	51.03	53.15	54.61	55.42	55.39	55.85	57.6	60.04	2013
"Eritrea"	232	33.93	34.92	35.89	37.19	39.13	40.91	41.99	44.41	48.05	52.23	55.2	57.61	60.9	2013
"Ethiopia"	231	32.8	35.3	38.58	40.64	42.03	42.77	42.1	44.7	46.58	49.26	52.3	57.56	61.3	2013
"Kenya"	404	40.54	43	46	48.71	51.64	54.37	57.17	57.55	55.53	50.81	50.81	55.61	59.08	2013
"Madagascar"	450	35.33	37.82	40.25	42.65	45.06	47.17	48.67	48.86	51.39	55.49	58.81	60.81	63.02	2013
"Malawi"	454	35.8	36.7	37.8	38.8	40.98	42.89	44.27	43.14	42.42	43.63	45.27	51.7	59.86	2013
"Mauritius"	480	49.03	53.96	59.39	60.76	60.73	61.46	64.52	64.74	66.63	66.75	68.85	69.39	70.67	2013
"Mayotte"	175	44.91	49.87	53.95	57.49	60.54	63.22	65.59	67.7	69.61	71.36	72.97	74.47	76.04	2013
"Mozambique"	508	30.1	32.5	34.8	36.65	38.8	40.66	40	40.98	42.62	45.9	47.89	50.36	52.94	2013
"Reunion"	638	44.91	49.87	53.95	57.49	60.54	63.22	65.59	67.7	69.61	71.36	72.97	74.47	76.04	2013
"Rwanda"	646	38.46	39.92	41.42	42.5	42.95	44.25	47.91	44.51	20.77	39.75	44.88	54.81	59.65	2013
"Seychelles"	690	55.7	57.12	60.09	61.34	63.71	65.42	66.56	67.27	65.83	66.89	67.86	68.05	68.69	2013
"Somalia"	706	32.54	34.51	36.46	38.48	40.39	42.29	44	44.89	43.49	48.28	49.98	51.65	53.28	2013
"South Sudan"	728	26.58	29.22	31.35	33.5	35.34	37.28	38.07	40.42	43.97	46.88	49.06	51.3	54.1	2013
"Uganda"	800	38.47	41.07	43.84	46.61	47.67	47.75	46.97	44.28	42.23	43.2	48.13	53.34	55.67	2013
"United Republic of Tanzania"	834	39.59	41.36	42.62	44.15	46.03	48.25	49.11	49.27	47.88	48.39	52.23	58.07	62.55	2013
"Zambia"	894	40.6	42.6	44.6	46.3	48.57	49.89	48.66	44.34	41.16	41.51	45.23	52.67	57.16	2013
"Zimbabwe"	716	47	49	50.9	52.5	54.09	56.1	58.94	59.76	54.78	45.06	41.33	45	53.6	2013
"Middle Africa"	911	35.12178143	36.90065838	38.59163674	40.44972103	42.59878966	44.1793604	45.64864294	46.51810838	47.21823286	47.09734874	49.11280417	51.8338867	54.27707506	NA
"Angola"	24	28.59	30.55	32.53	34.51	36.49	38.25	38.97	39.19	39.49	41.85	45.87	48.21	50.2	2013
"Cameroon"	120	37.22	39.14	41.37	43.54	45.91	48.53	50.65	51.75	52.17	51.46	50.68	51.8	53.74	2013
"Central African Republic"	140	32.03	34	35.98	38.46	42	45.55	47.25	47.26	45.87	43.9	42.82	44.61	47.83	2013
"Chad"	148	33.42	35.1	36.86	38.77	41.22	42.96	44.27	45.57	45.91	46.45	46.77	47.89	50.08	2013
"Congo"	178	42.26	45.7	48.83	50.98	52.69	54.03	55.08	54.54	52.32	49.94	50.29	55.37	59.95	2013
"Dem. Republic of the Congo"	180	37.6	39.09	40.17	41.53	43.32	44.18	45.69	46.8	48.13	47.45	50.39	54.04	56.67	2013
"Equatorial Guinea"	226	33.03	34.51	36	37.48	39.01	40.51	43.94	45.65	47.68	49.93	51.61	53.52	55.87	2013
"Gabon"	266	35.48	37.46	38.94	43.06	47.17	51.29	55.4	59.15	59.79	59.45	58.86	61.12	63.15	2013
"Sao Tome and Principe"	678	45.07	47.55	50.47	52.97	56.18	58.92	58.75	59.58	60.4	61.2	61.98	63.55	64.23	2013
"Northern Africa"	912	41.42656986	44.68746005	47.43991524	49.80742782	51.7849158	54.7399103	57.9422333	60.98646709	62.57746633	64.24277252	65.53122703	67.02668477	68.60146917	NA
"Algeria"	12	42.29	44.34	46.55	48.66	50.61	53.99	60.11	64.41	65.63	67.72	69.2	71.02	72.14	2013
"Egypt"	818	40.6	45.29	47.92	49.9	51.14	54.71	57.67	61.22	63.08	65.6	66.65	67.62	68.71	2013
"Libya"	434	35.6	37.87	45.67	51.98	56.63	60.74	63.9	65.93	67.81	68.66	69.09	69.52	68.79	2013
"Morocco"	504	44	45.76	48.59	50.63	52.49	54.66	58.05	61.69	64.26	65.99	68.04	70.23	72.6	2013
"Sudan"	729	43.15	45.69	47.81	49.82	51.63	52.55	53.02	53.7	54.46	55.46	57.03	59.2	61.6	2013
"Tunisia"	788	37.77	39.77	42.75	47.26	53	58.52	62.76	65.35	68.12	70.08	71.44	72.3	72.3	2013
"Western Sahara"	732	34.01	35.98	37.96	39.9	41.9	46.18	50.47	54.75	57.25	59.75	62.26	64.27	65.89	2013
"Southern Africa"	913	43.61603518	46.15596539	47.76050755	49.27015944	50.83989105	52.49453008	55.09892079	57.42967173	58.65945197	56.000709	50.70519332	50.98817598	54.97259523	NA
"Botswana"	72	45.66	47.76	49.71	51.5	54.1	57.2	59.6	60.72	59.06	50.46	48.08	59.02	61.8	2013
"Lesotho"	426	40.77	43.73	46.44	47.15	48.46	50.9	53.9	56	58.5	51.2	43.61	45.27	49.19	2013
"Namibia"	516	39.5	43.1	46.3	49.2	51.95	54.94	56.56	58.14	58.77	56.17	51.39	57.21	61.58	2013
"South Africa"	710	44	46.5	48	49.52	51	52.5	55.1	57.48	58.76	56.55	51.2	50.82	54.85	2013
"Swaziland"	748	39.44	41.5	43.09	44.73	47.62	50.66	53.97	56.77	57.5	51.77	45.62	47.56	49.69	2013
"Western Africa"	914	32.65352707	34.63764984	36.73756158	38.63932783	40.8772764	43.46069137	45.76550902	46.81588801	47.27070111	47.75675663	48.97331155	52.09116958	54.38006825	NA
"Benin"	204	33.61	35.79	37.83	39.78	41.32	43.27	45.17	48.97	52.42	52.62	54.3	56.81	57.77	2013
"Burkina Faso"	854	30.05	32.35	34.57	36.96	39.1	42.16	47.18	48.31	48.08	48.32	50.5	54.54	56.73	2013
"Cabo Verde"	132	46.92	47.57	48.16	51.03	53.9	57.29	60.68	63.04	64.96	67.25	68.93	70.61	71.05	2013
"Cote d'Ivoire"	384	31.24	34.22	37.59	40.49	44.1	47.51	49.75	50.9	49.67	47.18	45.86	48.47	50.21	2013
"Gambia"	270	29.09	30.36	31.62	34.64	38.89	43.04	47.01	50.14	51.53	53.1	55.8	57.54	58.54	2013
"Ghana"	288	41.92	44.43	46.48	48.07	48.83	50.39	51.91	54.31	56.62	56.18	56.7	59.17	60.06	2013
"Guinea"	324	31.98	33.19	34.27	35.06	36.21	38.7	41.86	46.82	50.54	51.38	51.3	53.78	57.58	2013
"Guinea-Bissau"	624	34.5	35.7	37.1	39.1	41	43	44.68	46.1	47.79	49.42	51.2	51.57	53	2013
"Liberia"	430	30.75	31.89	33.24	36.11	39.07	42.74	45.18	45.36	45.74	51.9	51.55	57.24	59.29	2013
"Mali"	466	26.3	27.31	27.75	29.94	33.34	36.84	40.69	45.14	47.46	48.26	50.66	55.08	57.44	2013
"Mauritania"	478	38.51	41.46	44.59	47.01	49.09	51.31	54.42	56.48	57.5	58.31	58.64	59.73	61.29	2013
"Niger"	562	35.04	35.36	35.74	35.95	36.59	37.94	40.66	42.5	45.18	48.9	52.49	55.58	59.85	2013
"Nigeria"	566	32.72	34.77	37.17	39.06	41.16	43.46	45.22	45.17	45.08	45.65	46.89	49.89	51.97	2013
"Senegal"	686	34.82	36.76	37.84	37.58	39.96	45.37	49.93	54.52	56	55.73	57.27	60.77	63.86	2013
"Sierra Leone"	694	27.09	28.17	29.52	31.41	36.73	39.4	40.65	38.89	35.23	35.92	40.11	45.05	49.65	2013
"Togo"	768	34.49	37.8	40.87	43.79	46.57	49.26	51.75	53.75	54.9	52.91	53.04	55.02	58.28	2013
"Asia"	935	41.2975333	43.43266331	45.43006095	51.49868451	55.30733561	57.97784559	59.98223151	62.03332896	63.53120544	64.90265954	66.89827032	68.40103977	69.71344851	NA
"Eastern Asia"	906	43.73909115	44.65283984	45.13951807	54.57070072	60.81244657	64.58713071	66.65568334	67.8220253	68.53228745	69.60080631	72.1138046	73.61820009	74.69697345	NA
"China"	156	42.11	42.62	42.9	53.13	59.83	63.81	65.94	67.1	67.72	68.85	71.39	72.92	73.97	2013
"China, Hong Kong SAR"	344	58.99	61.85	64.86	67.04	68.99	70.76	72.37	73.87	75.27	76.58	78.47	79.36	80.91	2013
"China, Macao SAR"	446	59.4	61.83	64.1	66.12	67.94	69.58	71.06	72.4	73.64	74.78	75.83	76.82	78.07	2013
"Dem. People's Rep. of Korea"	408	32.57	47.03	48.37	53.89	58.24	61.51	63.53	65.02	65.81	59.25	64.18	64.8	66.3	2013
"Japan"	392	60.4	64.08	66.5	68.68	70.47	72.64	74.12	75.53	76.27	77.06	78.28	79.12	80	2013
"Mongolia"	496	41.47	43.78	48.66	51.68	54.15	54.53	54.96	57.3	58.15	59.46	60.77	62.36	64.76	2013
"Republic of Korea"	410	46.04	49.04	52.27	55.78	59.54	60.94	63.2	66.24	68.72	71.07	73.8	76.48	77.95	2013
"Other non-specified areas"	158	56.44	60.37	62.55	64.48	67.06	68.47	69.95	71.09	71.94	72.53	74.23	75.23	76.43	2013
"South-Central Asia"	921	37.82802216	41.14707628	44.29435427	47.39338316	49.95979471	52.92023013	54.54574173	56.77527954	59.16746045	61.13745244	63.0354107	64.70086111	66.34309431	NA
"Central Asia"	5500	50.63817653	52.72270101	54.70788599	56.61828672	58.15648362	59.22374737	60.71422609	62.30509712	60.98065881	60.06643731	61.2136292	62.36527213	64.48197932	NA
"Kazakhstan"	398	50.17	52.21	54.25	56.29	57.83	58.87	60.45	62.39	60.53	57.46	59.07	60.18	64.29	2013
"Kyrgyzstan"	417	48.78	50.93	53.09	55.24	56.89	58.03	59.69	62.06	62.12	61.97	62.7	62.67	66.35	2013
"Tajikistan"	762	50.75	52.78	54.81	56.85	58.43	59.47	60.17	60.97	58.61	59.29	60.94	64.27	65.9	2013
"Turkmenistan"	795	47.9	49.95	51.98	54.03	55.56	56.6	58.13	59.28	58.8	59.72	60.37	60.61	61.31	2013
"Uzbekistan"	860	52.4	54.45	56.48	58.52	60.06	61.1	62.63	64.02	63	63.61	63.92	64.37	64.9	2013
"Southern Asia"	5501	37.47093824	40.78540289	43.93420101	47.06077892	49.66120342	52.68667857	54.31466835	56.56432915	59.09694695	61.18771983	63.11009394	64.78799305	66.40760061	NA
"Afghanistan"	4	27.95	30.44	32.69	34.87	37.1	39.63	42.78	46.81	50.74	53.09	54.93	56.96	58.67	2013
"Bangladesh"	50	40.28	43.89	46.9	49.05	46.31	52.01	54.11	56.71	59.61	63.55	66.17	68.17	69.85	2013
"Bhutan"	64	28.79	30.93	33.11	35.27	38.99	43.2	46.98	50.64	54.54	58.38	62.71	66.33	68.63	2013
"India"	356	37.22	40.35	43.44	46.64	49.83	52.59	54.82	56.56	58.72	60.84	62.74	64.53	66.13	2013
"Iran (Islamic Republic of)"	364	42.12	44.51	46.89	49.17	52.52	56.24	45.18	55.82	66.23	68.24	69.98	71.03	73.98	2013
"Maldives"	462	34.02	35.74	38.84	42.52	46.62	51.38	56.42	60.15	63.48	67.2	71.09	74.61	75.4	2013
"Nepal"	524	33.82	34.4	36.04	38.86	41.72	44.57	47.85	51.55	55.64	59.49	62.86	65.48	67.64	2013
"Pakistan"	586	36.71	42.54	47.36	51.2	54.13	55.88	57.31	58.69	60.13	61.38	62.54	63.51	64.99	2013
"Sri Lanka"	144	53.13	56.47	58.17	61.15	63.5	65.34	66.86	65.7	66.9	65.65	69.64	70.63	71.24	2013
"South-Eastern Asia"	920	44.52401058	48.04808916	50.88986838	53.49650815	54.4256918	55.66490012	59.75418623	61.93779856	63.23598744	64.36688051	65.37387621	66.46364507	67.49905305	NA
"Brunei Darussalam"	96	56.77	59.57	62.51	64.61	66.46	68.11	69.59	70.92	72.12	73.21	74.21	75.13	76.64	2013
"Cambodia"	116	38.99	39.52	39.66	40.07	35.27	11.88	42.84	49.64	51.94	54.16	58.51	62.73	65.5	2013
"Indonesia"	360	42	45.6	48.89	51.88	54.82	57.31	59.51	61.03	62.67	64.18	64.87	65.63	66.61	2013
"Lao People's Dem. Republic"	418	39.13	40.73	42.36	43.99	45.64	47.14	48.63	51.17	53.45	56.13	58.95	61.77	64.14	2013
"Malaysia"	458	53.85	57.1	60.08	62.33	64.23	65.84	67.22	68.43	69.48	70.42	71.26	71.7	72.21	2013
"Myanmar"	104	33.11	38.37	41.41	47.07	49.4	51.56	53.61	55.56	57.41	59.15	60.9	62.21	63.58	2013
"Philippines"	608	54.11	55.79	57.35	58.53	59.57	59.51	60.47	62.12	62.97	63.47	63.93	64.35	64.72	2013
"Singapore"	702	57.52	60.81	63.4	64.26	65.97	68.2	70.34	72.86	74.75	75.34	76.69	78.72	79.59	2013
"Thailand"	764	48.25	51.09	53.71	55.89	58.16	60.54	62.79	66.92	66.78	66.53	67.7	69.82	70.83	2013
"Timor-Leste"	626	29.58	31.95	34.43	36.91	39.24	30.01	39.2	45.01	49	56	60	65.15	66.06	2013
"Viet Nam"	704	50.75	54.05	56.83	57.93	52.73	61.63	63.6	65.34	66.56	67.85	68.9	69.7	70.73	2013
"Western Asia"	922	41.57052537	44.77178462	48.15094482	51.84995601	54.91573867	57.9597578	59.47828127	62.69930148	64.38425817	66.42098483	68.34975771	69.40822598	70.03021612	NA
"Armenia"	51	59.74	61.8	63.85	65.97	67.54	67.28	67.68	65.84	64.5	66.79	69.1	70.58	70.74	2013
"Azerbaijan"	31	54.4	56.36	58.33	60.29	61.76	61.17	61.04	62.15	59.36	62.45	65	67.09	67.54	2013
"Bahrain"	48	39.65	45.33	52.66	59.01	63.61	66.95	69.36	70.81	71.98	73.19	74.21	74.91	75.58	2013
"Cyprus"	196	64.79	66.75	68.43	69.88	71.15	72.26	73.24	74.11	74.89	75.61	76.25	76.85	77.69	2013
"Georgia"	268	56.74	58.7	60.67	62.63	64.1	65.56	65.63	66.48	66.1	67.24	68.86	69.96	70.91	2013
"Iraq"	368	37.02	45.03	51.48	56.75	59.48	61.32	53.03	60.9	64.34	66.46	66.86	65.09	66.99	2013
"Israel"	376	67.52	68.66	69.55	70.28	71.01	71.87	72.88	73.99	75.15	76.32	77.52	78.73	80.18	2013
"Jordan"	400	47.11	50.7	54.18	57.57	60.75	63.67	65.9	67.85	69.09	69.95	70.77	71.52	72.21	2013
"Kuwait"	414	52.5	57.19	60.96	63.73	65.84	67.62	69.41	70.86	71.68	72.19	72.55	72.88	73.34	2013
"Lebanon"	422	58.89	60.76	62.29	63.66	64.96	65.86	66.68	67.93	69.62	71.73	73.91	76.04	77.14	2013
"Oman"	512	35.64	39.85	43.8	47.44	50.97	55.82	60.22	63.87	66.74	69.24	71.37	73.19	74.66	2013
"Qatar"	634	52.74	57.1	61.23	65.31	68.7	70.94	72.52	73.67	74.48	75.08	75.57	76.01	77.1	2013
"Saudi Arabia"	682	39.98	42.45	45.04	48.32	53.58	59.02	63.28	66.41	68.31	70.09	71.55	72.09	72.82	2013
"State of Palestine"	275	44.7	46.31	48.91	52.28	55.69	59.28	62.77	65.54	67.33	68.68	69.45	69.89	70.74	2013
"Syrian Arab Republic"	760	48.54	51.23	53.81	56.77	60.36	63.52	66.25	68.36	69.51	70.32	70.92	72.01	63.98	2013
"Turkey"	792	38.05	40.71	44.42	48.16	50.89	53.95	56.8	59.61	61.83	64.68	67.97	69.92	71.53	2013
"United Arab Emirates"	784	41	46.85	52.29	57.65	61.79	65.06	67.64	69.65	71.27	72.71	73.99	75.15	76.02	2013
"Yemen"	887	33.57	33.57	33.57	37.87	41.9	46.56	51.45	55.17	57.05	58.46	59.67	60.75	62.18	2013
"Europe"	908	60.89041567	64.14911512	65.99395505	66.53561213	66.88297686	67.02611355	67.54804533	68.91842654	68.40061193	68.85851624	69.56733843	71.29135094	73.43303519	NA
"Eastern Europe"	923	56.907195	62.03041114	64.73900938	64.93533122	64.72874892	63.91444931	63.68961485	65.21461803	63.08894055	62.51351361	62.40024859	64.11842631	66.91470703	NA
"Belarus"	112	57.61	63.28	66	66.74	66.41	66.02	65.35	66.45	63.95	61.97	62.32	63.56	65.29	2013
"Bulgaria"	100	60.47	64.7	68.43	69.01	68.95	68.71	68.55	68.31	67.74	67.39	68.66	69.42	70.64	2013
"Czech Republic"	203	63.9	66.69	67.32	66.69	66.45	67.11	67.13	67.79	68.57	70.55	72.06	73.64	75.36	2013
"Hungary"	348	61.88	64.68	66.47	66.83	66.83	66.34	65.27	65.4	64.95	66.52	68.36	69.67	71.23	2013
"Poland"	616	58.58	63.16	65.13	66.5	66.99	66.65	66.92	66.75	66.76	68.48	70.31	71.19	73.06	2013
"Republic of Moldova"	498	55	57.01	59.03	61.03	61.63	61.63	61.72	64.13	63.57	62.65	63.64	64.4	67.22	2013
"Romania"	642	59.4	61.49	65.81	65.06	66.78	67.14	66.93	66.53	66.1	66.05	67.9	69.51	70.92	2013
"Russian Federation"	643	53.92	60.1	63.08	63.23	62.75	61.55	61.46	63.86	60.57	59.61	58.63	60.97	64.15	2013
"Slovakia"	703	62.52	66.66	68.27	67.48	66.78	66.91	66.79	66.96	67.44	68.69	69.81	70.72	72.24	2013
"Ukraine"	804	58.71	63.99	66.49	66.72	65.89	64.64	64.08	66.02	63.63	61.91	61.85	62.25	65.73	2013
"Northern Europe"	924	66.25323269	67.70278765	68.23166975	68.72192863	69.05894198	69.66860072	70.69267873	71.67489828	72.461211	73.62943886	75.16229584	76.55944556	77.83628328	NA
"Channel Islands"	830	66.63	67.63	67.92	68.48	68.93	69.77	71.03	72.06	73.33	74.45	75.96	77.5	78.45	2013
"Denmark"	208	69.62	70.43	70.43	70.55	70.9	71.34	71.43	71.82	72.51	73.52	74.91	76.31	78	2013
"Estonia"	233	57.06	62.37	64.88	65.67	65.38	64.16	64.06	65.57	62.85	63.58	66.04	68.32	71.57	2013
"Finland"	246	62.66	64.61	65.45	65.73	66.51	68.08	69.96	70.59	71.77	73.31	74.81	76.02	77.6	2013
"Iceland"	352	69.86	70.96	71.13	71.09	71.23	73.37	73.82	75.1	76.18	76.78	78.63	79.57	80.73	2013
"Ireland"	372	65.39	67.32	68.24	68.63	68.77	69.36	70.39	71.35	72.56	73.23	75.06	77.23	78.4	2013
"Latvia"	428	58.19	63.44	65.93	65.97	65.09	63.62	63.6	65.59	61.71	62.86	65.16	65.97	68.85	2013
"Lithuania"	440	57.3	63.38	66.31	67.4	66.75	65.75	65.37	66.9	64.15	64.5	65.74	65.21	67.39	2013
"Norway"	578	70.87	71.44	71.11	71.17	71.28	72.05	72.59	72.63	74.02	75.32	76.59	78.26	79.22	2013
"Sweden"	752	70.31	71.16	71.48	71.78	72.12	72.34	73.35	74.16	75.33	76.68	77.81	78.97	80.1	2013
"United Kingdom"	826	66.67	67.67	67.97	68.52	68.97	69.82	71.07	72.11	73.38	74.5	76.01	77.5	78.45	2013
"Southern Europe"	925	61.50493322	63.84662008	65.57076434	66.90412143	68.2977019	69.42927409	70.70271773	71.91103634	72.67128835	74.02147319	75.47834613	77.011259	78.42179406	NA
"Albania"	8	54.4	58.5	63.7	65.1	65.99	68.28	68.45	69.3	68.91	70.15	72.38	73.42	75.04	2013
"Bosnia and Herzegovina"	70	52.63	56.93	60.16	62.68	65.31	67.24	67.8	69.2	66.16	70.91	72.04	72.88	73.71	2013
"Croatia"	191	59.32	61.25	62.82	63.99	65.23	65.75	66.58	68.15	69.04	70.94	71.36	72.57	73.64	2013
"Greece"	300	63.75	64.84	66.9	67.55	69.17	70	71.36	72.53	74.8	75.24	76.32	77.25	77.64	2013
"Italy"	380	64.39	66.04	66.89	67.92	69.08	70.12	71.38	72.94	73.98	75.42	77.17	78.74	80.27	2013
"Malta"	470	64.47	65.98	67.54	68.96	70.27	71.5	72.66	73.75	74.8	75.79	76.75	77.67	78.55	2013
"Montenegro"	499	58.13	60.73	64.21	66.28	68.01	68.69	70.44	70.97	71.42	70.62	70.62	71.87	73.83	2013
"Portugal"	620	57.02	59.05	61.09	62.91	64.86	66.52	68.78	70.29	71.05	72.22	73.92	75.45	77.43	2013
"Serbia"	688	57.72	59.89	62.58	64.67	66.28	66.88	67.55	68.39	68.82	69.05	69.42	70.59	71.83	2013
"Slovenia"	705	63	65.1	66.1	65.6	66	67	67.11	68.61	69.71	71.3	72.77	75.08	76.92	2013
"Spain"	724	61.81	65.09	67.13	68.45	69.64	71.08	72.75	73.3	73.76	74.89	76.24	77.95	79.42	2013
"TFYR Macedonia"	807	54.88	58.62	61.59	64.22	66.02	66.8	67.15	68.9	69.45	70.39	71.26	72.13	72.87	2013
"Western Europe"	926	65.26339576	66.53366255	67.43241009	67.87090607	68.41703272	69.43155252	70.60374885	71.92015775	72.9201713	74.281996	75.76792511	77.31458221	78.54896814	NA
"Austria"	40	63.56	64.8	66.25	66.67	67.01	68.3	69.4	71.26	72.57	74.04	75.77	77.23	78.47	2013
"Belgium"	56	65.13	66.71	67.28	67.62	68.22	69.29	70.46	71.77	72.97	74.03	75.19	76.71	77.95	2013
"France"	250	64.05	65.91	67.18	67.64	68.55	69.54	70.62	71.9	73.12	74.41	75.78	77.35	78.76	2013
"Germany"	276	65.3	66.3	67.12	67.61	67.89	68.89	70.2	71.59	72.45	73.94	75.58	77.07	78.18	2013
"Luxembourg"	442	63.19	64.59	66	66.55	66.8	67.8	69.34	70.73	72.24	73.6	75.13	76.73	78.94	2013
"Netherlands"	528	70.64	71.24	71.19	71.01	71.2	71.98	72.81	73.46	74.22	75.07	76.24	78.01	79.36	2013
"Switzerland"	756	66.98	68.1	68.68	69.64	70.58	71.85	72.69	73.8	74.5	76.12	77.72	79.29	80.43	2013
"Latin America and the Caribbean"	904	49.54948609	52.38670775	54.7915105	56.70653496	58.61929336	60.22198973	61.81618022	63.43545784	65.0719027	67.1310979	68.80441815	70.05085097	71.22512581	NA
"Caribbean"	915	50.64505289	53.76467418	56.76929296	59.38643223	61.31457865	62.56827398	63.60459604	64.68380006	65.35251419	66.3821663	67.41646253	68.66397709	69.74259015	NA
"Antigua and Barbuda"	28	56.02	58.44	60.48	62.25	63.87	65.36	66.75	68.04	69.26	70.41	71.51	72.56	73.29	2013
"Aruba"	533	59.1	63	64.8	66.4	67.5	68.8	70.5	70.8	71.1	71.2	71.51	72.28	72.89	2013
"Bahamas"	44	58.45	60.05	61.48	62.76	63.92	64.97	65.93	66.81	67.72	68.4	70.04	71.19	72.02	2013
"Barbados"	52	54.72	57.37	59.72	62.2	64.03	65.65	67.08	68.36	69.5	70.53	71.35	72.13	72.91	2013
"Cuba"	192	57.77	60.76	63.81	67	69.43	71.45	72.63	72.82	72.93	74.2	75.29	76.65	77.1	2013
"Curacao"	531	59.08	62.97	64.77	66.36	67.54	69.49	70.87	71.43	71.47	71.11	71.2	72.65	74.5	2013
"Dominican Republic"	214	44.74	48.56	52.14	55.39	58.13	60.27	62.1	64.29	66.47	67.25	68.11	69.18	70.16	2013
"Grenada"	308	54.43	56.9	59.02	60.82	62.35	63.68	64.82	65.82	66.7	67.48	68.52	69.61	70.78	2013
"Guadeloupe"	312	51.53	54.98	58.03	60.76	63.2	65.42	67.46	69.34	71.08	72.72	74.25	75.7	76.83	2013
"Haiti"	332	36.24	39.33	42.21	44.89	46.82	48.58	50.29	52.3	53.83	55.36	56.54	58.21	60.18	2013
"Jamaica"	388	57.11	61.08	64.03	66.04	67.51	69.2	70.35	70.18	69.57	69.42	70.05	71.65	73.07	2013
"Martinique"	474	54.17	57.51	60.57	63.36	65.59	67.61	69.44	71.12	72.68	74.12	75.47	76.7	77.79	2013
"Puerto Rico"	630	61.54	65.5	66.26	67.68	68.99	70.18	70.47	70.57	69.29	70.31	72.69	73.84	75.19	2013
"Saint Lucia"	662	49.59	51.88	55.69	58.33	61.09	64.02	66.52	68.02	69.21	69.26	70.13	71.42	72.17	2013
"St. Vincent and the Grenadines"	670	49.73	53.1	58.51	61.69	63.6	64.23	66.18	67.28	68.36	68.42	68.29	69.83	70.7	2013
"Trinidad and Tobago"	780	57.13	59.5	62.37	62.85	63.17	64.23	64.54	64.99	65.37	65.02	65.13	65.85	66.87	2013
"United States Virgin Islands"	850	57.71	60.84	62.27	64.11	65.79	67.53	68.89	70.33	71.76	73.42	75.02	75.89	77.24	2013
"Central America"	916	47.40506471	51.40970927	54.54610185	56.57766337	58.7330507	60.67382256	62.68961172	65.21622835	67.69220148	69.89440172	71.23146376	72.20781741	73.06084004	NA
