"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"last.observed"
"World"	900	45.35587182	47.62734484	49.43706902	53.47541819	56.12268366	58.12804849	59.74870165	61.43349257	62.26437854	63.33632603	64.91635135	66.6845185	68.28350084	NA
"More developed regions"	901	62.06360986	64.81038231	66.31438246	66.86930639	67.45918315	68.17251826	68.98632269	70.22729119	70.22411167	70.94504858	71.84832899	73.36051087	75.09195374	NA
"Less developed regions"	902	40.60986892	42.89410551	45.03040661	50.24814497	53.58578765	56.00966334	57.87644814	59.69982767	60.82372975	62.00782651	63.71121796	65.42664525	66.94405855	NA
"Least developed countries"	941	34.95426979	37.50499686	39.75836916	42.12428492	43.17614044	44.50216436	47.60581137	49.36176868	50.16273709	52.57478203	55.11615593	58.26625729	60.73091922	NA
"Other less developed countries"	934	41.45073013	43.69557133	45.81905546	51.48441043	55.26070347	57.96242653	59.68661655	61.52445398	62.80241367	63.88669081	65.48481379	66.95824348	68.30746915	NA
"Less developed regions, excluding China"	948	40.02543473	43.31984287	46.22057369	48.93981857	51.1119742	53.35959374	55.28536821	57.13505681	58.54631209	59.97544144	61.50711413	63.35085667	65.05301985	NA
"High-income countries"	1503	61.36472236	63.81229194	65.18313217	65.91613095	66.82956916	67.78178572	68.86957261	70.2131601	70.58005112	71.5598498	72.59261373	74.15091546	75.69741393	NA
"Middle-income countries"	1517	41.42000205	43.65494231	45.76873651	51.25206804	54.69313285	57.38787257	59.00967108	60.85118122	62.03637122	63.16094045	64.78735058	66.29838626	67.70684524	NA
"Upper-middle-income countries"	1502	43.4717103	44.67955498	45.87176533	53.81849823	58.84028006	61.88823774	63.37481062	65.25590383	66.25300138	67.3549197	69.30302596	70.58120949	71.80399755	NA
"Lower-middle-income countries"	1501	39.38984911	42.83161484	45.82946877	48.67331588	50.79021582	53.56625401	55.52125853	57.15585416	58.62792314	60.002684	61.42648907	63.08155236	64.57677162	NA
"Low-income countries"	1500	33.53940041	36.31005671	38.24994007	40.43321076	42.29126739	42.1582825	45.73315742	47.3786296	47.57853596	49.24047297	51.80145412	55.55867579	58.65669739	NA
