"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	63.0095	66.1564	69.2487	71.9324	74.8202	77.8512	80.7808	83.2387	85.4341	87.3976	88.9785	90.485	91.7212	92.8065	94.0778	95.1005	96.0449
"Albania"	8	77.8613	79.6987	81.2722	82.7223	84.0004	85.0592	86.044	86.9586	87.8164	88.5533	89.3521	90.1933	90.9673	91.8224	92.5894	93.2684	94.0105
"Algeria"	12	75.389	77.6252	79.5461	81.2603	82.9683	84.3013	85.3674	86.3336	87.2693	88.1292	88.8439	89.7353	90.4546	91.134	91.9392	92.5358	93.2218
"Antigua and Barbuda"	28	75.9897	77.8671	79.5878	81.1114	82.5165	83.8304	85.1696	86.054	87.0171	88.0463	89.0375	89.9389	90.8292	91.5409	92.3543	93.2287	93.7881
"Argentina"	32	75.0355	76.9286	78.7436	80.3776	81.667	83.0241	84.1269	85.2632	86.2112	87.2418	87.9577	88.8234	89.6911	90.4859	91.2383	91.9763	92.8822
"Armenia"	51	73.3228	74.9762	76.3287	77.7155	79.2476	80.498	81.7199	82.8572	83.8162	84.6082	85.4612	86.2134	87.0199	87.7849	88.4538	89.2268	90.0061
"Aruba"	533	75.3447	76.806	78.1493	79.4739	80.6926	81.9966	83.0412	84.0329	84.9396	85.9041	86.5829	87.4272	88.1809	88.8858	89.5761	90.2857	90.9794
"Australia"	36	82.5506	84.0213	85.3355	86.3608	87.4659	88.384	89.4193	90.3812	91.2895	92.2392	93.1391	93.9459	94.8528	95.6434	96.2839	97.059	97.8633
"Austria"	40	81.2553	82.8716	84.2541	85.3883	86.4505	87.4207	88.4894	89.4541	90.3414	91.1663	92.1371	92.966	93.7945	94.6643	95.3736	96.2162	96.8522
"Azerbaijan"	31	69.99	71.3575	72.6594	73.8462	74.9554	76.0808	77.2147	78.375	79.7819	81.0653	82.1407	83.1178	84.0619	84.9107	85.6983	86.4714	87.1821
"Bahamas"	44	74.8695	76.661	78.3216	79.9128	81.4455	82.779	83.8949	84.9576	85.8836	86.7973	87.707	88.5884	89.3774	90.2048	90.9599	91.5689	92.2899
"Bahrain"	48	78.2067	79.6231	80.9144	82.0969	83.3019	84.4581	85.4736	86.3299	86.9883	87.7057	88.343	89.0182	89.6334	90.3551	91.1571	91.8022	92.4315
"Bangladesh"	50	74.0968	77.3827	80.3799	83.204	85.4957	87.2692	88.8192	89.9369	90.7997	91.5438	92.1347	92.7065	93.1135	93.9195	94.4282	94.886	95.4133
"Barbados"	52	75.553	77.3959	79.029	80.5773	81.9137	83.3019	84.3629	85.5549	86.4922	87.2935	88.1592	88.9952	89.835	90.7161	91.4457	92.1545	92.9998
"Belarus"	112	67.8189	69.4502	70.7472	72.1458	73.3745	74.7098	75.9784	77.2241	78.3867	79.5221	80.5355	81.3962	82.3474	83.0187	83.7927	84.589	85.2756
"Belgium"	56	80.6862	82.3974	83.8531	85.1189	86.1447	87.1265	88.0759	89.05	89.8227	90.7983	91.5619	92.3285	93.1557	94.0244	94.8506	95.665	96.3902
"Belize"	84	69.785	71.1551	72.3756	73.6288	74.7625	75.8801	76.965	78.3342	79.641	80.7691	82.0158	83.119	84.1208	85.0821	86.0057	86.8412	87.6991
"Benin"	204	61.1999	63.2075	64.9433	66.4679	67.9365	69.3917	70.5653	71.7574	73.0757	74.2042	75.4378	76.5521	77.8988	79.2508	80.655	82.3114	83.6555
"Bhutan"	64	72.651	75.1731	77.5417	79.6535	81.6145	83.209	84.7137	85.938	86.7665	87.7793	88.7053	89.3657	90.1989	90.8157	91.5531	92.1706	92.8976
"Bolivia (Plurinational State of)"	68	69.4254	72.1802	74.7627	77.1374	79.3799	81.7042	83.5175	84.9905	86.0999	87.1583	88.1194	88.9795	89.7312	90.5429	91.2747	92.1515	92.7895
"Bosnia and Herzegovina"	70	76.388	78.0682	79.5769	81.0165	82.4547	83.6121	84.7383	85.6877	86.5905	87.3232	88.1698	89.0028	89.8005	90.5694	91.375	92.0075	92.6086
"Brazil"	76	73.8914	76.5132	78.9736	81.0503	82.6465	84.2954	85.6166	86.7857	87.9022	88.8892	89.8515	90.8293	91.5436	92.1756	93.1147	93.964	94.8062
"Brunei Darussalam"	96	79.5879	81.6285	83.5205	84.9017	86.2849	87.5619	88.6765	89.829	90.8599	91.9462	92.9237	93.7512	94.6456	95.4827	96.2654	97.2227	97.9292
