"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"last.observed"
"Timor-Leste"	626	6.441	6.353	6.371	6.156	5.535	4.305	5.39	5.209	5.685	7.005	6.955	6.53	5.9124	2013
"Viet Nam"	704	5.3986	6.1636	6.4182	6.4649	6.3285	5.4993	4.6002	3.8497	3.2272	2.2493	1.9206	1.9279	1.9624	2013
"Western Asia"	922	6.321066131	6.092235794	6.071563438	5.91328137	5.696472607	5.333888892	4.9638912	4.466623976	4.018067104	3.592239215	3.205621235	3.020341922	2.905307037	NA
"Armenia"	51	4.494	4.494	4.453	3.447	3.037	2.503	2.376	2.575	2.38	1.75	1.721	1.735	1.5523	2013
"Azerbaijan"	31	5.493	5.41	5.637	4.935	4.289	3.624	3.036	2.95	2.9	2.2	2	2.2877	2.3029	2013
"Bahrain"	48	6.97	6.97	7.175	6.97	5.945	5.228	4.633	4.08	3.4014	2.8711	2.6747	2.2341	2.0976	2013
"Cyprus"	196	3.705	3.498	3.436	2.795	2.49	2.287	2.449	2.428	2.3293	1.8891	1.591	1.5068	1.4633	2013
"Georgia"	268	3	2.909	2.979	2.611	2.601	2.39	2.269	2.263	2.05	1.72	1.58	1.8	1.8097	2013
"Iraq"	368	7.3	6.202	6.598	7.4	7.15	6.8	6.35	6.0895	5.6457	5.1882	4.655	4.64	4.64	2013
"Israel"	376	4.277	3.8916	3.8463	3.7834	3.8069	3.4654	3.1341	3.0701	2.9333	2.9325	2.9111	2.9108	3.0507	2013
"Jordan"	400	7.38	7.38	7.995	7.995	7.79	7.38	7.0485	6.0232	5.0882	4.3364	3.8525	3.59	3.51	2013
"Kuwait"	414	7.2	7.2	7.3	7.4	6.95	5.9	5	3.15	2.4	3	2.6	2.55	2.15	2013
"Lebanon"	422	5.74	5.72	5.689	5.2312	4.6654	4.2337	3.7477	3.2258	2.8012	2.434	2.0101	1.5754	1.7168	2013
"Oman"	512	7.252	7.252	7.252	7.3091	7.4077	8.1	8.3166	7.8479	6.2743	4.4644	3.2055	2.9	2.875	2013
"Qatar"	634	6.97	6.97	6.97	6.97	6.765	6.109	5.453	4.4053	3.7402	3.4636	2.9525	2.225	2.075	2013
"Saudi Arabia"	682	7.175	7.175	7.257	7.257	7.298	7.278	7.015	6.217	5.55	4.5	3.55	3.15	2.85	2013
"State of Palestine"	275	7.38	7.38	7.995	7.995	7.694	7.504	7.0491	6.7552	6.6055	5.8032	5.0306	4.602	4.28	2013
"Syrian Arab Republic"	760	7.227	7.3755	7.5385	7.5598	7.5426	7.3164	6.767	5.873	4.8041	4.2591	3.672	3.1906	3.03	2013
"Turkey"	792	6.6197	6.4316	6.1408	5.7422	5.3397	4.6483	4.0699	3.3538	2.8695	2.6214	2.35	2.18	2.1	2013
"United Arab Emirates"	784	6.97	6.97	6.868	6.765	6.355	5.658	5.228	4.825	3.875	2.966	2.3974	1.9684	1.8203	2013
"Yemen"	887	7.35	7.35	7.45	7.7	7.9	8.5	8.8	8.8	8.2	6.8	5.95	5.1	4.35	2013
"Europe"	908	2.659101338	2.661614006	2.570690077	2.368214103	2.168863063	1.973205136	1.879041919	1.806238611	1.570027009	1.431691161	1.432237413	1.545787482	1.59703966	NA
"Eastern Europe"	923	2.919598212	2.820428044	2.442586941	2.152007796	2.141982797	2.069997054	2.085449058	2.08365855	1.628696238	1.294805394	1.2610783	1.418518775	1.554552819	NA
"Belarus"	112	2.61	2.73	2.69	2.38	2.25	2.09	2.088	1.9977	1.6769	1.3113	1.2551	1.4268	1.5823	2013
"Bulgaria"	100	2.5264	2.2969	2.2171	2.1304	2.1573	2.1927	2.0149	1.9458	1.5527	1.2008	1.2404	1.5005	1.5188	2013
"Czech Republic"	203	2.7383	2.3765	2.2088	1.9573	2.2108	2.3588	1.966	1.9008	1.6455	1.167	1.187	1.4286	1.4508	2013
"Hungary"	348	2.686	2.3178	1.8617	1.9938	2.0577	2.1309	1.8235	1.8556	1.7399	1.3784	1.295	1.3288	1.3373	2013
"Poland"	616	3.6302	3.4698	2.7459	2.3348	2.2349	2.2285	2.3135	2.1624	1.9479	1.5147	1.2587	1.374	1.37	2013
"Republic of Moldova"	498	3.5	3.44	3.15	2.66	2.56	2.44	2.55	2.64	2.111	1.7	1.2378	1.2704	1.2693	2013
"Romania"	642	3.0596	2.735	2.1044	2.8678	2.6541	2.5457	2.2599	2.2244	1.5063	1.338	1.32	1.448	1.48	2013
"Russian Federation"	643	2.85	2.82	2.55	2.02	2.03	1.94	2.04	2.121	1.545	1.247	1.298	1.4389	1.6618	2013
"Slovakia"	703	3.5022	3.2427	2.911	2.541	2.5067	2.464	2.271	2.1537	1.8667	1.401	1.2205	1.31	1.3677	2013
"Ukraine"	804	2.81	2.7	2.1346	2.0204	2.0789	1.9798	2.004	1.8968	1.6208	1.2404	1.1455	1.3828	1.4889	2013
"Northern Europe"	924	2.313396892	2.507148574	2.710201824	2.482770818	2.053573024	1.799933554	1.79531545	1.847907891	1.798206406	1.702703117	1.662459736	1.85911423	1.87365667	NA
"Channel Islands"	830	2.056	2.222	2.562	2.362	1.858	1.523	1.439	1.45	1.461	1.4	1.414	1.42	1.4564	2013
"Denmark"	208	2.5501	2.5468	2.5822	2.2723	1.9639	1.6816	1.4273	1.5426	1.748	1.756	1.76	1.8537	1.73	2013
"Estonia"	233	2.06	1.99	1.94	2.02	2.15	2.06	2.09	2.199	1.627	1.331	1.391	1.662	1.5908	2013
"Finland"	246	2.997	2.769	2.66	2.191	1.623	1.663	1.685	1.66	1.819	1.743	1.754	1.8396	1.7489	2013
"Iceland"	352	3.8624	4.1662	3.9383	3.2353	2.8679	2.4472	2.2251	2.1196	2.1908	2.0558	1.9936	2.1305	1.962	2013
"Ireland"	372	3.42	3.58	4.065	3.765	3.815	3.245	2.755	2.18	1.905	1.94	1.965	1.9968	2.013	2013
"Latvia"	428	2	1.95	1.85	1.81	2	1.8745	2.0293	2.1309	1.6322	1.1722	1.2856	1.4926	1.48	2013
"Lithuania"	440	2.71	2.66	2.4272	2.3028	2.303	2.1042	2.0385	2.0554	1.816	1.4716	1.2782	1.4174	1.57	2013
"Norway"	578	2.602	2.837	2.898	2.719	2.248	1.81	1.687	1.8	1.886	1.862	1.8061	1.9235	1.8	2013
"Sweden"	752	2.2372	2.247	2.3103	2.1701	1.9058	1.6646	1.6434	1.9087	2.006	1.5589	1.6703	1.8905	1.92	2013
"United Kingdom"	826	2.18	2.49	2.81	2.57	2.01	1.73	1.775	1.835	1.775	1.735	1.655	1.8812	1.9161	2013
"Southern Europe"	925	2.669031995	2.604605584	2.694727693	2.668713052	2.543692264	2.229848226	1.825714671	1.557245214	1.410825444	1.345562911	1.36510098	1.438190258	1.414094181	NA
"Albania"	8	6.23	6.5462	6.23	5.259	4.6001	3.9	3.409	3.15	2.786	2.3841	1.9465	1.5955	1.784	2013
"Bosnia and Herzegovina"	70	4.77	3.9086	3.683	3.1372	2.7332	2.19	2.12	1.91	1.65	1.6261	1.2155	1.2845	1.277	2013
"Croatia"	191	2.73	2.38	2.218	2.003	1.976	1.8986	1.866	1.72	1.523	1.62	1.41	1.522	1.521	2013
"Greece"	300	2.29	2.27	2.2	2.38	2.32	2.32	1.96	1.53	1.37	1.296	1.281	1.4597	1.3434	2013
"Italy"	380	2.355	2.29	2.504	2.4989	2.3227	1.8856	1.5245	1.3497	1.2715	1.2239	1.2974	1.4169	1.4275	2013
"Malta"	470	4.136	3.8	3.1494	2.1161	2.0057	2.1176	1.933	2.0092	1.9927	1.8708	1.4661	1.3876	1.4349	2013
"Montenegro"	499	4.3464	3.795	3.4168	2.89	2.6179	2.306	2.212	2.106	2.045	1.91	1.8536	1.82	1.7103	2013
"Portugal"	620	3.0988	3.1216	3.1873	3.1187	2.8332	2.5486	2.0084	1.6205	1.48	1.455	1.4513	1.3718	1.2831	2013
"Serbia"	688	3.22	2.57	2.51	2.43	2.36	2.37	2.32	2.23	1.96	1.9184	1.7084	1.5552	1.5631	2013
"Slovenia"	705	2.68	2.3833	2.3354	2.265	2.1999	2.1632	1.928	1.6517	1.3335	1.2483	1.2114	1.3841	1.5766	2013
"Spain"	724	2.53	2.7	2.81	2.84	2.85	2.55	1.88	1.46	1.28	1.19	1.29	1.3904	1.3211	2013
"TFYR Macedonia"	807	5.0572	4.1429	3.6509	3.4437	2.8593	2.5402	2.454	2.2729	2.1215	1.8262	1.6375	1.46	1.5144	2013
"Western Europe"	926	2.386484031	2.494380555	2.648103589	2.474221148	1.959158034	1.652003807	1.617137335	1.573089346	1.48835944	1.520048709	1.586103354	1.640203331	1.663108496	NA
"Austria"	40	2.1046	2.5652	2.7777	2.5689	2.0369	1.6513	1.5957	1.448	1.4837	1.3879	1.3796	1.3992	1.4661	2013
"Belgium"	56	2.343	2.496	2.6466	2.3881	2.0143	1.7049	1.5959	1.5583	1.6119	1.6041	1.6836	1.8182	1.8162	2013
"France"	250	2.7472	2.6894	2.8318	2.6391	2.3004	1.861	1.8653	1.805	1.7149	1.7621	1.8823	1.972	1.9982	2013
"Germany"	276	2.128	2.294	2.4736	2.3605	1.7084	1.508	1.4637	1.4289	1.3007	1.3456	1.3513	1.3623	1.3909	2013
"Luxembourg"	442	1.98	2.23	2.395	2.192	1.722	1.486	1.465	1.469	1.663	1.7213	1.654	1.6206	1.567	2013
"Netherlands"	528	3.0524	3.0974	3.1657	2.7949	2.0601	1.5982	1.5149	1.5546	1.5823	1.5991	1.7256	1.7461	1.7516	2013
"Switzerland"	756	2.3101	2.3912	2.5972	2.3551	1.8714	1.5388	1.5367	1.5453	1.5371	1.4833	1.4079	1.4706	1.5214	2013
"Latin America and the Caribbean"	904	5.885810131	5.903770223	5.937543391	5.527932291	5.030150514	4.483086848	3.947808993	3.432320981	3.01437323	2.749772812	2.519984045	2.271773935	2.150580325	NA
"Caribbean"	915	5.264826146	5.192526501	5.48390948	5.005564902	4.369184623	3.618421608	3.410476514	3.128599756	2.834955146	2.639923699	2.500656465	2.397754727	2.285687528	NA
"Antigua and Barbuda"	28	4.5	4.5	4.3	4	3.2617	2.2357	2.1392	2.0708	2.0938	2.3125	2.2714	2.1694	2.0963	2013
"Aruba"	533	5.65	5.15	4.399	3.301	2.651	2.45	2.358	2.3	2.1739	1.9531	1.8162	1.7356	1.6769	2013
"Bahamas"	44	4.05	4.31	4.5	3.5756	3.5367	2.9547	3.0503	2.6498	2.6376	2.3275	1.8653	1.9076	1.8882	2013
"Barbados"	52	4.417	4.2969	4.2731	3.5328	2.7176	2.1568	1.9181	1.7744	1.73	1.74	1.75	1.77	1.79	2013
"Cuba"	192	4.15	3.6995	4.6805	4.3	3.6	2.15	1.8495	1.8495	1.6506	1.6449	1.6395	1.6342	1.6292	2013
