"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"last.observed"
"World"	900	4.961571153	4.898665278	5.024379442	4.922201991	4.475478475	3.865195063	3.591816346	3.446811164	3.044616049	2.741931985	2.621616855	2.556788558	2.511290344	NA
"More developed regions"	901	2.823786356	2.807368405	2.685900484	2.387533712	2.150815978	1.917348603	1.843806323	1.807381641	1.669614424	1.567475855	1.578360499	1.669962538	1.668472485	NA
"Less developed regions"	902	6.075417181	5.941032568	6.129418071	6.034842937	5.416601784	4.585636277	4.167888521	3.917105939	3.38991703	3.002988919	2.830232505	2.715840217	2.646416271	NA
"Least developed countries"	941	6.555198949	6.613768885	6.696882409	6.74199103	6.734087865	6.667969124	6.528213527	6.19032319	5.769960321	5.390951786	5.007675182	4.6240457	4.266264575	NA
"Other less developed countries"	934	6.013202081	5.851019018	6.051851134	5.941715647	5.245154396	4.316905947	3.871733053	3.638232332	3.090955899	2.686306165	2.522388299	2.423402909	2.371082763	NA
"Less developed regions, excluding China"	948	6.061747171	6.137572656	6.132459659	5.960875611	5.68081464	5.27052993	4.915351262	4.459892182	3.998217299	3.626256154	3.342303026	3.132664028	2.980432413	NA
"High-income countries"	1503	2.96841665	3.025124766	2.944164274	2.59905479	2.336559989	2.070102854	1.975340497	1.912458777	1.80488068	1.705996548	1.694009853	1.756581495	1.745762272	NA
"Middle-income countries"	1517	5.922458102	5.741699642	5.944096052	5.879344702	5.244253955	4.386828908	3.959624321	3.720907865	3.160551724	2.753418738	2.5859977	2.478369623	2.419460442	NA
"Upper-middle-income countries"	1502	6.01367767	5.589871258	6.000068278	5.982840499	4.927601507	3.58173649	3.076749803	3.033019409	2.380448877	1.931794027	1.842308561	1.818794192	1.852673226	NA
"Lower-middle-income countries"	1501	5.823830125	5.892904862	5.891591824	5.791099998	5.584593375	5.245268814	4.929662433	4.487029583	4.008618196	3.606094352	3.30867838	3.077469749	2.896700273	NA
"Low-income countries"	1500	6.385042703	6.521835973	6.466955338	6.55677329	6.569309651	6.473500222	6.531124487	6.440985083	6.229335774	5.99774904	5.673685271	5.306869713	4.892993354	NA
"Sub-Saharan Africa"	947	6.557908032	6.584804177	6.649008327	6.664639718	6.754717643	6.767973592	6.69120253	6.513404812	6.183028403	5.907679527	5.680672399	5.403761923	5.097795534	NA
"Africa"	903	6.599478645	6.640245162	6.702031654	6.67112278	6.667982293	6.623256138	6.476661839	6.197498556	5.734299566	5.35145891	5.100902873	4.889899708	4.712369462	NA
"Eastern Africa"	910	7.012206594	7.006984642	7.0746124	7.088211852	7.129931169	7.10556333	7.000805332	6.815320828	6.405077935	6.084133937	5.763653512	5.378251808	4.939673834	NA
"Burundi"	108	6.801	6.857	7.071	7.268	7.343	7.476	7.428	7.592	7.431	7.184	6.908	6.523	6.0756	2013
"Comoros"	174	6	6.601	6.909	7.05	7.05	7.05	7.05	6.7	6.1	5.6	5.2	4.9	4.6	2013
"Djibouti"	262	6.312	6.3874	6.547	6.707	6.845	6.644	6.257	6.181	5.85	4.812	4.21	3.7	3.3	2013
"Eritrea"	232	6.965	6.965	6.815	6.699	6.62	6.62	6.7	6.51	6.2	5.6	5.1	4.8	4.4	2013
"Ethiopia"	231	7.1696	6.9023	6.8972	6.8691	7.1038	7.1838	7.4247	7.3673	7.0888	6.8335	6.131	5.258	4.5889	2013
"Kenya"	404	7.481	7.785	8.065	8.11	7.99	7.64	7.216	6.538	5.566	5.072	5	4.8	4.4371	2013
"Madagascar"	450	7.3	7.3	7.3	7.3	7.3	7	6.1	6.3	6.139	5.801	5.278	4.83	4.503	2013
"Malawi"	454	6.85	6.9	7.0037	7.2038	7.4019	7.6	7.6	7.3	6.7	6.4	6.1	5.8	5.25	2013
"Mauritius"	480	5.895	5.895	6.195	4.61	3.466	3.105	2.3015	2.3118	2.2465	2.0332	1.9335	1.6979	1.495	2013
"Mayotte"	175	7.91	7.91	7.91	7.91	7.91	7.91	7.3504	6.727	5.25	5.08	4.8	4.6	4.1	2013
"Mozambique"	508	6.6	6.6	6.6	6.6	6.575	6.525	6.4444	6.3306	6.1194	5.85	5.8	5.65	5.45	2013
"Reunion"	638	6.9294	6.5699	6.5632	5.6722	3.875	3.12	2.7765	2.713	2.405	2.3279	2.445	2.3969	2.2435	2013
"Rwanda"	646	8	8.15	8.2	8.2	8.284	8.432	8.375	7.987	6.554	5.9	5.4	4.85	4.05	2013
"Seychelles"	690	5	5	5.59	5.92	5.3819	4.2696	3.5077	2.9377	2.5734	2.178	2.2	2.3	2.33	2013
"Somalia"	706	7.25	7.25	7.25	7.25	7.1	7	7.071	7.258	7.531	7.698	7.442	7.102	6.6098	2013
"South Sudan"	728	6.65	6.7	6.75	6.85	6.9	6.92	6.783	6.83	6.65	6.42	6	5.6	5.15	2013
"Uganda"	800	6.9	6.95	7.05	7.12	7.1	7.1	7.1	7.1	7.063	6.946	6.745	6.38	5.9126	2013
"United Republic of Tanzania"	834	6.74	6.801	6.8	6.79	6.75	6.73	6.55	6.36	6.05	5.75	5.66	5.579	5.2395	2013
"Zambia"	894	6.75	6.9	7.15	7.4	7.425	7.375	7	6.675	6.35	6.15	6.05	5.9	5.45	2013
"Zimbabwe"	716	6.8	7	7.3	7.4	7.4	7.3	6.74	5.656	4.773	4.2	4.02	4.02	4.02	2013
"Middle Africa"	911	6.047383508	6.088783103	6.195225996	6.313143133	6.450642052	6.598869262	6.769420977	6.866071664	6.834808256	6.725482589	6.544111112	6.239832896	5.819927138	NA
"Angola"	24	7.3	7.35	7.4	7.4	7.35	7.35	7.3	7.25	7.15	7	6.8	6.6	6.2	2013
"Cameroon"	120	5.489	5.527	5.805	6.085	6.307	6.473	6.702	6.598	6.217	5.774	5.492	5.208	4.8146	2013
"Central African Republic"	140	5.516	5.75	5.9	5.95	5.95	5.95	5.95	5.9	5.65	5.54	5.3	4.8465	4.4096	2013
"Chad"	148	6.1	6.2	6.3	6.4	6.671	6.874	7.037	7.212	7.388	7.407	7.237	6.853	6.3129	2013
"Congo"	178	5.684	5.786	5.989	6.192	6.35	6.35	6	5.547	5.207	5.125	5.1	5.05	4.95	2013
"Dem. Republic of the Congo"	180	5.98	5.98	6.04	6.15	6.289	6.462	6.72	6.975	7.1	7.1	6.95	6.6	6.15	2013
"Equatorial Guinea"	226	5.501	5.499	5.53	5.658	5.68	5.68	5.79	5.89	5.89	5.868	5.638	5.36	4.9666	2013
"Gabon"	266	3.987	4.201	4.587	4.933	5.228	5.572	5.721	5.577	5.217	4.766	4.35	4.15	4	2013
"Sao Tome and Principe"	678	6.2	6.2	6.3	6.4	6.5155	6.495	6.2372	5.9594	5.6823	5.4106	5.1486	4.9	4.6677	2013
"Northern Africa"	912	6.74446015	6.828785549	6.901765665	6.729947204	6.398918198	6.141710695	5.736324314	5.104906469	4.204326499	3.471034513	3.13307064	3.087588253	3.269439667	NA
"Algeria"	12	7.278	7.384	7.648	7.648	7.572	7.175	6.315	5.302	4.12	2.885	2.3843	2.724	2.928	2013
"Egypt"	818	6.624	6.65	6.55	6.2	5.7	5.6	5.49	5.15	4.12	3.405	3.15	2.981	3.381	2013
"Libya"	434	7.1434	7.2	7.3	7.992	8.1	7.668	6.6806	5.712	4.215	3.25	2.75	2.66	2.53	2013
"Morocco"	504	6.608	6.896	7.15	6.9004	6.427	5.9	5.4	4.447	3.701	2.968	2.522	2.49	2.56	2013
"Sudan"	729	6.65	6.65	6.75	6.861	6.9	6.92	6.63	6.3	6	5.63	5.25	4.83	4.4568	2013
"Tunisia"	788	6.65	6.85	6.99	6.92	6.385	5.65	4.82	4.0019	2.98	2.3435	2.04	2.0239	2.162	2013
"Western Sahara"	732	6.342	6.424	6.534	6.6	6.5732	6.234	5.3321	4.537	3.961	3.1834	2.813	2.443	2.2043	2013
"Southern Africa"	913	6.284402369	6.203236442	6.11858211	5.771083092	5.572123783	5.143136721	4.712674713	4.159428353	3.503934705	3.09452674	2.90110747	2.647434735	2.514471472	NA
"Botswana"	72	6.5	6.575	6.65	6.7	6.546	6.366	5.965	5.109	4.321	3.7	3.18	2.896	2.9	2013
"Lesotho"	426	5.84	5.861	5.811	5.8	5.8	5.686	5.459	5.135	4.701	4.373	3.793	3.373	3.26	2013
"Namibia"	516	6	6.1	6.2	6.3	6.6	6.6	6.2	5.547	4.912	4.292	3.808	3.6	3.6	2013
"South Africa"	710	6.3	6.2	6.1	5.7	5.47	5	4.556	4	3.343	2.954	2.802	2.55	2.4037	2013
"Swaziland"	748	6.7	6.7	6.75	6.849	6.866	6.733	6.537	6.132	5.295	4.491	4.01	3.75	3.3635	2013
"Western Africa"	914	6.392644451	6.461538584	6.537928384	6.602093586	6.792677237	6.897069656	6.843008632	6.666839728	6.405453809	6.142224827	5.949929569	5.740158133	5.539196552	NA
"Benin"	204	5.857	6.1341	6.4228	6.6491	6.8349	6.9952	7.0087	6.8818	6.5629	6.1566	5.7841	5.314	4.8873	2013
"Burkina Faso"	854	6.1035	6.243	6.35	6.5627	6.7	7.0182	7.1722	7.0658	6.932	6.7293	6.4306	6.0789	5.6462	2013
"Cabo Verde"	132	6.5663	6.764	6.9728	6.9654	6.8639	6.615	6.1	5.6344	4.9303	4.1449	3.2183	2.624	2.37	2013
"Cote d'Ivoire"	384	6.7739	7.1544	7.5325	7.8254	7.9261	7.8123	7.3125	6.85	6.41	6.05	5.68	5.36	5.1	2013
"Gambia"	270	5.2875	5.4639	5.6969	5.9633	6.2023	6.3384	6.2918	6.1417	6.0808	5.9863	5.853	5.7884	5.7757	2013
"Ghana"	288	6.442	6.6391	6.8436	6.9514	6.8975	6.6878	6.3494	5.8817	5.3426	4.8144	4.566	4.2914	4.2488	2013
"Guinea"	324	6	6.0742	6.1483	6.1788	6.2912	6.4513	6.589	6.6321	6.5137	6.2354	5.9118	5.535	5.1345	2013
"Guinea-Bissau"	624	5.9	5.9	5.95	6	6.1	6.25	6.6982	6.6834	6.5	6.0471	5.6	5.23	4.95	2013
"Liberia"	430	6.2714	6.3502	6.4695	6.5923	6.7989	6.9317	6.9555	6.7229	6.274	6.0481	5.6793	5.2287	4.8323	2013
"Mali"	466	6.95	6.95	7	7.1	7.15	7.15	7.15	7.15	7.15	6.95	6.85	6.7	6.35	2013
"Mauritania"	478	6.3378	6.7053	6.7863	6.7896	6.7498	6.5726	6.2758	6.0882	5.8549	5.5518	5.2564	4.9739	4.6938	2013
"Niger"	562	7.2767	7.3472	7.4378	7.3171	7.5168	7.6297	7.59	7.6892	7.7385	7.7466	7.7209	7.6787	7.6335	2013
"Nigeria"	566	6.3544	6.3544	6.3544	6.3544	6.6094	6.7629	6.7559	6.6035	6.3697	6.1703	6.0512	5.91	5.74	2013
"Senegal"	686	6.5686	6.8329	7.0563	7.242	7.4145	7.4548	7.2454	6.8804	6.3477	5.778	5.3799	5.1495	5.1815	2013
"Sierra Leone"	694	5.97	5.97	5.97	5.97	6.0635	6.2544	6.4585	6.6554	6.6196	6.4138	6.0469	5.51	4.7938	2013
"Togo"	768	6.3344	6.4217	6.6518	6.937	7.1986	7.2768	7.0567	6.6222	6.0195	5.5448	5.3064	5.0358	4.6895	2013
"Asia"	935	5.816544262	5.580968918	5.781578176	5.73424278	5.057960526	4.101183235	3.695788823	3.511084644	2.964818056	2.553942876	2.390026874	2.286116688	2.199713457	NA
"Eastern Asia"	906	5.600488528	5.036076422	5.476730857	5.56421249	4.430847867	2.86387124	2.449168676	2.618797844	1.959889741	1.481961156	1.479750994	1.520648837	1.551193094	NA
"China"	156	6.107	5.476	6.15	6.3	4.85	3.0138	2.52	2.75	2	1.48	1.5	1.53	1.55	2013
"China, Hong Kong SAR"	344	4.44	4.72	5.31	3.645	3.29	2.31	1.715	1.355	1.24	0.87	0.9585	1.0257	1.2045	2013
"China, Macao SAR"	446	4.3858	5.1088	4.4077	2.7367	1.793	1.4079	1.9769	1.9411	1.405	1.116	0.8252	0.9379	1.1923	2013
"Dem. People's Rep. of Korea"	408	3.462	5.117	3.8501	4.388	4.001	2.681	2.801	2.358	2.25	2.01	2.008	2.003	1.995	2013
"Japan"	392	2.999	2.155	1.986	2.02	2.134	1.831	1.752	1.664	1.476	1.369	1.298	1.3388	1.396	2013
"Mongolia"	496	5.6	6.3	7.5	7.5	7.5	6.65	5.75	4.8407	3.2726	2.3957	2.0759	2.3731	2.675	2013
"Republic of Korea"	410	5.05	6.332	5.63	4.708	4.281	2.919	2.234	1.601	1.696	1.514	1.219	1.2284	1.2557	2013
"Other non-specified areas"	158	5.9029	6.0602	5.2875	4.4125	3.3825	2.64	2.1975	1.845	1.7925	1.7275	1.43	1.2614	1.0746	2013
"South-Central Asia"	921	5.997780568	6.018886403	6.031368103	5.892097255	5.628309821	5.264524196	4.9839796	4.543266355	4.014922702	3.575040664	3.167097527	2.844494383	2.569331541	NA
"Central Asia"	5500	4.90761345	4.994264324	5.109928056	4.839840778	4.755948578	4.279586506	4.051291909	3.980508315	3.494629174	2.843298387	2.524021879	2.641413721	2.695193669	NA
"Kazakhstan"	398	4.406	4.555	4.431	3.671	3.459	3.06	2.957	3.033	2.55	2	2.006	2.5406	2.6415	2013
"Kyrgyzstan"	417	4.509	4.834	5.39	5.011	4.726	4.054	4.101	4.019	3.612	2.986	2.5	2.78	3.1167	2013
"Tajikistan"	762	5.995	6.199	6.302	6.719	6.834	5.897	5.543	5.406	4.877	4.29	3.705	3.48	3.55	2013
"Turkmenistan"	795	5.995	6.015	6.752	6.343	6.187	5.324	4.79	4.55	4.03	3.03	2.755	2.499	2.3435	2013
"Uzbekistan"	860	5.0547	5.0547	5.2947	5.5964	5.6536	5.2046	4.7146	4.4001	3.7688	2.9932	2.5126	2.476	2.48	2013
"Southern Asia"	5501	6.041153048	6.062118032	6.069524575	5.937157362	5.667381193	5.309762753	5.02536773	4.566374574	4.03719167	3.605342124	3.192870014	2.853095211	2.564612819	NA
"Afghanistan"	4	7.45	7.45	7.45	7.45	7.45	7.45	7.45	7.4689	7.482	7.6537	7.1816	6.3467	5.1347	2013
"Bangladesh"	50	6.359	6.6225	6.804	6.9206	6.9098	6.6301	5.9773	4.9834	4.0603	3.4324	2.9344	2.4793	2.232	2013
"Bhutan"	64	6.67	6.67	6.67	6.67	6.67	6.67	6.3885	6.1064	5.0703	4.1287	3.1436	2.6187	2.1	2013
"India"	356	5.903	5.896	5.8906	5.7232	5.4105	4.9749	4.6826	4.2656	3.8327	3.4828	3.1409	2.7966	2.4795	2013
"Iran (Islamic Republic of)"	364	6.9086	6.9086	6.9086	6.6802	6.2407	6.2799	6.5339	5.62	3.95	2.634	1.9666	1.7946	1.7453	2013
"Maldives"	462	6.0299	6.8135	7.1197	7.2226	7.1698	6.8547	7.2575	6.6645	5.1593	3.5197	2.5733	2.2575	2.183	2013
"Nepal"	524	5.9588	5.9588	5.9588	5.9588	5.8662	5.7952	5.6202	5.3293	4.9701	4.4066	3.6361	2.9634	2.3178	2013
"Pakistan"	586	6.6	6.6	6.6	6.6	6.6	6.6	6.444	6.2967	5.6691	4.9945	4.23	3.98	3.72	2013
"Sri Lanka"	144	5.8	5.8	5.2	4.7	4	3.6064	3.1894	2.644	2.3839	2.2431	2.262	2.279	2.1113	2013
"South-Eastern Asia"	920	5.923362381	6.11269976	6.078918649	5.909363361	5.479378113	4.801106864	4.197132155	3.574370914	3.106933293	2.693783198	2.510309366	2.414709874	2.354113641	NA
"Brunei Darussalam"	96	6.999	6.3754	6.5546	5.5933	5.8721	4.7061	3.9232	3.7191	3.2774	2.5992	2.0523	2.0045	1.9	2013
"Cambodia"	116	6.947	6.947	6.947	6.7034	6.16	5.421	6.37	5.9896	5.1276	4.25	3.44	3.0813	2.7	2013
"Indonesia"	360	5.486	5.672	5.62	5.568	5.3	4.73	4.109	3.4	2.9	2.55	2.475	2.5	2.5	2013
"Lao People's Dem. Republic"	418	5.9432	5.9552	5.9673	5.9794	5.9915	6.1535	6.3601	6.2668	5.8833	4.8064	3.9	3.5	3.1	2013
"Malaysia"	458	6.2302	6.2302	6.0302	5.2101	4.5614	3.9275	3.727	3.5913	3.42	3.175	2.4545	2.0713	1.9743	2013
"Myanmar"	104	6	6	6.1	6.1	5.738	5.21	4.7	3.8	3.2	2.95	2.85	2.55	2.25	2013
"Philippines"	608	7.4201	7.2692	6.9807	6.5392	5.9769	5.4623	4.9215	4.5271	4.1385	3.9	3.7	3.27	3.035	2013
"Singapore"	702	6.61	6.335	5.12	3.645	2.815	1.84	1.694	1.6973	1.7307	1.5705	1.348	1.2571	1.233	2013
"Thailand"	764	6.1378	6.1378	6.1297	5.985	5.052	3.915	2.945	2.3	1.9921	1.7668	1.6026	1.5563	1.5346	2013
