"name"	"country_code"	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"World"	900	7688595.397	7960812.73	8179514.851	8372455.262	8532256.577	8647358.895	8710042.493	8720958.506	8685876.106	8613162.629	8508031.772	8370123.744	8199955.646	8001035.471	7780519.959	7543769.487	7293830.315
"More developed regions"	901	1256280.255	1251615.648	1239776.984	1224772.53	1207058.245	1186469.781	1162261.169	1133962.939	1102809.937	1070448.912	1038093.835	1006018.694	973957.815	941580.423	908786.328	875653.635	842416.206
"Less developed regions"	902	6432315.142	6709197.082	6939737.867	7147682.732	7325198.332	7460889.114	7547781.324	7586995.567	7583066.169	7542713.717	7469937.937	7364105.05	7225997.831	7059455.048	6871733.631	6668115.852	6451414.109
"Least developed countries"	941	1061187.697	1168217.717	1275468.263	1385754.652	1496141.561	1603146.802	1704077.401	1797827.94	1883682.1	1960778.246	2027805.945	2083268.269	2125941.404	2155678.299	2172845.078	2178153.815	2172405.028
"Other less developed countries"	934	5371127.445	5540979.365	5664269.604	5761928.08	5829056.771	5857742.312	5843703.923	5789167.627	5699384.069	5581935.471	5442131.992	5280836.781	5100056.427	4903776.749	4698888.553	4489962.037	4279009.081
"Less developed regions, excluding China"	948	5010539.298	5292572.263	5541868.884	5776000.326	5987104.559	6164913.527	6302587.97	6400560.055	6461715.519	6488438.43	6482196.771	6442335.074	6369971.071	6267732.4	6140475.573	5991598.288	5825264.745
"High-income countries"	1503	1419646.197	1425862.368	1423141.951	1416014.859	1404522.164	1388269.986	1366455.503	1338565.904	1306110.426	1271107.715	1234960.653	1198031.34	1160131.479	1121078.408	1081036.814	1040304.294	999418.755
"Middle-income countries"	1517	5545324.884	5727418.872	5862895.354	5973086.694	6052742.939	6093486.965	6090688.687	6046680.181	5966538.209	5857543.423	5724886.805	5569327.296	5392835.528	5199518.53	4996303.64	4787892.005	4576292.631
"Upper-middle-income countries"	1502	2446031.245	2469701.716	2472040.56	2463040.411	2441432.524	2404957.558	2352326.819	2284004.796	2202286.958	2112677.245	2018764.178	1921278.732	1820604.562	1718601.582	1618412.586	1522439.447	1430122.516
"Lower-middle-income countries"	1501	3099293.639	3257717.156	3390854.794	3510046.283	3611310.415	3688529.407	3738361.868	3762675.385	3764251.251	3744866.178	3706122.627	3648048.564	3572230.966	3480916.948	3377891.054	3265452.558	3146170.115
"Low-income countries"	1500	720503.199	804286.794	890129.881	979916.164	1071482.274	1162045.283	1249321.437	1332141.1	1409680.619	1481001.011	1544717.48	1599349.159	1643634.196	1677159.553	1699991.578	1712490.162	1715151.755
"Sub-Saharan Africa"	947	1086604.468	1214693.72	1347442.323	1487909.287	1632843.316	1777742.875	1919003.085	2054616.3	2183195.206	2303186.055	2412623.944	2509136.487	2590608.89	2655851.731	2704744.634	2737276.009	2754226.994
"Africa"	903	1328779.932	1472568.294	1618994.502	1772592.877	1929940.839	2085694.939	2235610.715	2377449.269	2509952.105	2631819.664	2741245.374	2835897.045	2913825.451	2973983.427	3016397.183	3041022.037	3048694.457
"Eastern Africa"	910	447531.343	501791.922	557431.422	615676.52	675143.082	733924.321	790507.189	844045.179	893996.562	939830.448	980699.935	1015676.289	1044046.508	1065551.133	1080194.31	1088072.706	1089518.073
"Burundi"	108	13022.813	14887.28	16803.107	18908.26	21237.037	23707.497	26189.939	28607.515	30969.96	33307.021	35598.635	37767.911	39738.459	41470.324	42966.813	44207.954	45192.904
"Comoros"	174	875.688	960.03	1041.767	1123.838	1204.571	1281.251	1350.686	1411.7	1463.822	1507.521	1542.534	1568.151	1583.528	1588.75	1584.19	1571.743	1552.069
"Djibouti"	262	938.113	980.166	1011.76	1035.524	1051.7	1059.878	1058.87	1048.12	1027.708	998.906	963.519	923.327	880.403	835.489	789.211	742.19	695.646
"Eritrea"	232	5838.986	6439.098	7031.283	7643.922	8257.048	8830.964	9335.867	9766.939	10129.571	10425.324	10652.825	10802.195	10872.448	10865.224	10785.527	10639.642	10441.52
"Ethiopia"	231	111006.172	122257.431	132903.775	143126.808	152670.215	161229.187	168554.549	174514.92	179023.079	182033.129	183477.11	183285.196	181454.185	178091.064	173390.009	167614.297	161036.543
"Kenya"	404	51724.432	57314.742	62933.226	68754.203	74606.81	80278.803	85589.913	90460.574	94839.735	98676.737	101907.146	104464.286	106284.087	107350.78	107662.395	107246.435	106161.224
"Madagascar"	450	27548.615	31010.24	34574.689	38290.501	42074.626	45847.688	49527.126	53077.886	56454.258	59610.626	62509.467	65069.446	67237.191	69001.472	70362.142	71317.908	71867.26
"Malawi"	454	19853.005	22646.289	25630.91	28823.305	32161.321	35584.704	39019.289	42396.144	45644.767	48713.768	51548.903	54106.922	56342.122	58224.525	59724.527	60819.475	61510.563
"Mauritius"	480	1279.449	1272.632	1255.632	1231.447	1198.704	1157.533	1109.383	1056.761	1002.028	946.355	889.685	831.623	772.213	712.449	653.636	597.936	547.487
"Mayotte"	175	270.753	300.857	330.954	361.77	392.128	420.656	446.348	468.867	488.203	504.443	517.482	527.192	533.395	535.997	534.816	529.704	520.7
"Mozambique"	508	31735.59	35725.382	40000.175	44626.984	49482.471	54434.964	59392.559	64248.511	68901.262	73289.516	77325.11	80927.894	84020.635	86551.967	88499.623	89861.359	90657.37
"Reunion"	638	884.525	902.051	912.342	917.011	914.586	903.936	884.882	858.839	828.307	795.675	762.391	728.635	693.336	655.682	615.375	573.339	530.615
"Rwanda"	646	12876.855	14045.709	15154.456	16256.529	17296.639	18191.799	18897.199	19410.739	19751.936	19927.408	19930.625	19755.896	19413.577	18923.156	18301.51	17568.705	16751.154
