"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	57.7958	57.709	57.9725	58.2425	58.2958	58.6604	58.933	59.0882	59.4999	59.6803	59.8833	60.0551	60.2432	60.2887	60.3982	60.6887	60.9668
"Albania"	8	74.2337	74.4148	74.7898	75.2263	75.7398	76.3098	76.8821	77.4692	78.1541	78.8857	79.5548	80.1068	80.7173	81.3535	81.8504	82.3979	82.7212
"Algeria"	12	71.2681	71.4573	71.8204	72.1449	72.4357	72.8581	73.4571	73.9532	74.4992	75.0833	75.5599	76.1311	76.7746	77.2713	78.0049	78.7463	79.1223
"Antigua and Barbuda"	28	72.2884	72.3312	72.5247	72.6702	72.9822	73.4379	73.833	74.3489	74.78	75.3515	75.9309	76.4038	76.9772	77.517	78.1999	78.7418	79.5549
"Argentina"	32	71.362	71.4715	71.8155	72.2633	72.7815	73.3488	73.8562	74.6577	75.2515	76.0921	76.8363	77.4709	78.1539	78.7977	79.4038	79.9185	80.4225
"Armenia"	51	69.6119	69.4573	69.502	69.6221	69.8246	70.1534	70.5059	70.7101	71.1996	71.541	71.9613	72.4457	72.6936	73.1948	73.6592	74.0974	74.5108
"Aruba"	533	71.6422	71.3044	71.2977	71.3056	71.5209	71.6787	71.8041	71.9746	72.2022	72.5263	72.877	73.147	73.6162	73.9137	74.2179	74.7109	75.3349
"Australia"	36	79.4917	79.9574	80.3462	80.9075	81.3913	81.76	82.013	82.4136	82.6464	82.9961	83.4767	83.7873	84.0094	84.3056	84.6143	84.9621	85.2577
"Austria"	40	78.0327	78.5065	79.0505	79.6513	80.1713	80.776	81.1672	81.4955	81.8708	82.1204	82.4761	82.7888	83.2097	83.4794	83.8395	84.1294	84.5275
"Azerbaijan"	31	65.9726	65.4894	65.2912	65.2054	65.076	65.0275	65.0599	65.1519	65.0967	65.2618	65.4563	65.6732	65.7409	65.9134	66.1701	66.2315	66.4746
"Bahamas"	44	70.9867	70.8907	71.1398	71.338	71.6462	72.0546	72.5537	72.8653	73.4113	74.1182	74.724	75.1394	75.8752	76.6166	77.2254	77.7866	78.3837
"Bahrain"	48	74.3615	74.0878	74.0979	74.1927	74.3335	74.4782	74.7096	75.0116	75.2757	75.6605	76.0791	76.5652	77.0393	77.3726	77.9508	78.3719	78.7877
"Bangladesh"	50	69.0074	69.0151	69.0879	69.2076	69.2965	69.3435	69.3528	69.5613	69.7258	69.7292	69.8645	70.0523	70.2486	70.5442	70.6504	70.8272	71.1716
"Barbados"	52	71.7765	71.7227	71.8685	72.0861	72.3331	72.6401	72.9939	73.4341	73.9914	74.5964	75.1292	75.6748	76.1753	76.7124	77.244	77.8351	78.4938
"Belarus"	112	63.9545	63.7122	63.6406	63.6453	63.8467	64.0517	64.0916	64.3035	64.4416	64.6953	64.9484	65.3263	65.5451	65.7661	65.9682	66.0602	66.3087
"Belgium"	56	77.48	77.8277	78.351	78.9244	79.5245	80.1429	80.4549	80.9485	81.4037	81.8768	82.2266	82.5883	82.836	83.2106	83.4247	83.6245	83.9037
"Belize"	84	65.7455	65.5292	65.4174	65.4139	65.3846	65.4378	65.4791	65.5024	65.8165	65.9898	66.1618	66.3285	66.5739	66.8728	67.1789	67.5198	67.8998
"Benin"	204	56.4411	56.3898	56.48	56.7036	57.0089	57.2614	57.8363	58.0723	58.4581	58.8019	59.1377	59.5405	59.7455	60.1908	60.5269	60.822	61.1129
"Bhutan"	64	67.8859	68.0587	68.2528	68.3733	68.6809	68.9059	69.026	69.1882	69.3523	69.4575	69.4141	69.4873	69.816	70.055	70.2342	70.4146	70.614
"Bolivia (Plurinational State of)"	68	64.653	64.8659	65.1714	65.4129	65.7941	65.836	66.2273	66.3484	66.4682	66.6798	66.6876	67.0551	67.1185	67.4341	67.61	67.8308	68.1109
"Bosnia and Herzegovina"	70	72.7177	72.7272	72.9214	73.2303	73.5051	74.0424	74.451	74.8186	75.4069	75.9589	76.4327	77.003	77.5004	78.0888	78.5986	79.0339	79.5972
"Brazil"	76	69.6415	70.0337	70.5261	71.1646	71.7244	72.3668	72.9291	73.6642	74.3278	75.1444	75.8677	76.4944	77.3537	78.0307	78.5078	79.1876	79.7479
"Brunei Darussalam"	96	75.9679	76.1569	76.6612	77.0532	77.5691	78.1135	78.7534	79.3376	79.9647	80.6571	81.4049	82.032	82.6564	83.2118	83.7062	83.9305	84.3363
"Bulgaria"	100	69.3106	68.8751	68.7062	68.5476	68.5336	68.5943	68.7539	68.9101	68.9533	69.2054	69.3492	69.8281	69.9573	70.1923	70.3181	70.4789	70.7941
"Burkina Faso"	854	55.6587	55.7911	55.91	56.2077	56.2868	56.6894	56.7634	57.2156	57.5906	57.7765	58.0468	58.3028	58.5186	58.6891	58.9878	59.2701	59.4188
"Cabo Verde"	132	70.0685	69.943	70.0443	70.2645	70.5302	70.7268	70.9901	71.3047	71.7118	72.0637	72.4707	73.0379	73.4254	73.698	74.1587	74.6807	75.1835
"Cambodia"	116	65.1339	65.434	65.5367	65.8281	65.9591	66.0363	66.3552	66.3771	66.5425	66.6651	66.9018	67.02	67.193	67.3067	67.534	67.6223	67.7389
"Canada"	124	79.1448	79.4956	79.9682	80.4235	80.8868	81.3783	81.7257	82.1377	82.5187	82.7456	83.0486	83.3017	83.4844	83.8299	84.1706	84.3286	84.6146
"Chad"	148	48.8019	48.7971	48.9411	49.3856	49.4801	49.8897	50.308	50.4781	50.7838	51.2858	51.6992	52.0221	52.2714	52.7475	53.1366	53.46	54.0434
