"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	60.4499	60.6923	61.0311	61.4372	61.6899	62.0925	62.4792	62.6888	63.0905	63.4887	63.7898	64.054	64.3545	64.7401	64.8267	65.2433	65.411
"Albania"	8	79.6391	79.7846	80.1466	80.3891	80.7025	81	81.2636	81.7096	82.016	82.4582	82.8367	83.1552	83.4576	83.8696	84.2071	84.4541	84.8095
"Algeria"	12	76.401	76.7183	77.0825	77.4547	77.8613	78.2192	78.7324	78.9908	79.3524	79.7091	80.0921	80.3653	80.7078	81.0297	81.3817	81.7234	82.0786
"Antigua and Barbuda"	28	77.5851	77.7132	77.9878	78.2228	78.6193	78.9175	79.1845	79.5491	79.923	80.3426	80.7106	81.0386	81.3908	81.6404	81.9286	82.2567	82.6445
"Argentina"	32	79.2455	79.369	79.5851	79.8742	80.2401	80.5708	80.8871	81.2014	81.5555	81.9235	82.344	82.7715	83.0456	83.4052	83.8303	84.1969	84.5711
"Armenia"	51	77.5863	77.5245	77.6715	77.7523	77.8937	78.1689	78.3933	78.5159	78.7696	79.0048	79.2767	79.4914	79.6043	79.9559	80.0487	80.2387	80.589
"Aruba"	533	76.9504	76.9286	77.1007	77.2008	77.3811	77.5617	77.7281	77.933	78.0748	78.3516	78.6098	78.8023	79.1195	79.3275	79.5537	79.7923	80.0461
"Australia"	36	83.8878	84.1514	84.413	84.6998	85.0776	85.4021	85.7692	86.1406	86.5192	86.8724	87.1967	87.6435	88.0022	88.336	88.6835	89.1732	89.5117
"Austria"	40	83.2314	83.4958	83.7425	84.1161	84.5082	84.8353	85.2075	85.5252	85.8724	86.3132	86.6029	86.9087	87.2993	87.6738	88.026	88.3551	88.7567
"Azerbaijan"	31	72.7784	72.6677	72.7404	72.8063	72.9488	73.0804	73.3253	73.589	73.816	73.9705	74.1501	74.4983	74.7191	74.8026	75.2631	75.4206	75.5308
"Bahamas"	44	77.4172	77.5028	77.7622	78.0005	78.3241	78.6453	78.9544	79.4056	79.7417	80.0765	80.3966	80.6591	81.1253	81.4962	81.8117	82.1115	82.5243
"Bahrain"	48	76.7275	76.7688	76.893	77.1054	77.3822	77.7289	77.9041	78.2609	78.493	78.8172	79.1346	79.423	79.733	79.896	80.2346	80.6144	80.9431
"Bangladesh"	50	71.9149	72.2801	72.6937	73.0774	73.3842	73.562	73.7902	74.0658	74.3255	74.6289	74.9516	75.25	75.3762	75.6697	75.8664	76.0014	76.1993
"Barbados"	52	77.0704	77.1469	77.4549	77.7419	78.0121	78.3608	78.6718	79.0332	79.4307	79.7511	80.2082	80.4862	80.8208	81.0487	81.4116	81.6659	82.0569
"Belarus"	112	75.9003	75.7162	75.6838	75.7111	75.8575	75.8864	75.9606	76.0653	76.1791	76.1884	76.3119	76.3895	76.5681	76.6757	76.6246	76.7577	76.7761
"Belgium"	56	82.5942	82.795	83.0963	83.4156	83.7263	84.0628	84.338	84.7634	85.14	85.3642	85.6776	86.0052	86.3511	86.7148	87.0439	87.2906	87.6181
"Belize"	84	71.7985	71.9078	72.0682	72.3264	72.6705	72.8079	73.0918	73.5405	73.842	74.1217	74.3942	74.6536	74.8895	75.2098	75.4435	75.7542	76.0437
"Benin"	204	59.7526	59.9082	60.1903	60.568	61.0015	61.5008	62.1229	62.4804	62.818	63.3079	63.8197	64.4213	64.7825	65.2655	65.7346	66.2202	66.6715
"Bhutan"	64	68.9162	69.3998	69.8675	70.471	70.9228	71.3341	71.6381	72.1583	72.3687	72.7715	72.9844	73.4329	73.7373	73.9896	74.2951	74.539	74.7985
"Bolivia (Plurinational State of)"	68	69.9812	70.3961	70.9123	71.3697	71.7922	72.1239	72.5338	72.8222	72.9873	73.2983	73.4176	73.7683	73.8324	74.289	74.4185	74.6423	74.8666
"Bosnia and Herzegovina"	70	78.1549	78.2689	78.4861	78.7383	79.0098	79.3677	79.5794	79.9223	80.1801	80.4912	80.7345	81.0469	81.377	81.6961	81.9193	82.2316	82.4225
