"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	3.665	2.5878	1.9327	1.6296	1.4591	1.3232	1.2131	1.1227	1.0444	0.9854	0.9436	0.9113	0.8921	0.8759	0.8722	0.8906	0.8979
"Albania"	8	1.4463	1.2773	1.1398	1.0387	0.9707	0.93	0.9218	0.932	0.9529	0.9844	1.0156	1.0601	1.0964	1.1418	1.1764	1.2096	1.2371
"Algeria"	12	2.18	1.9068	1.707	1.5511	1.4187	1.3133	1.2338	1.1715	1.1323	1.1059	1.1006	1.1067	1.1304	1.1742	1.2131	1.2467	1.2868
"Angola"	24	5.339	4.5836	3.8454	3.1848	2.6559	2.2934	2.0412	1.8538	1.7107	1.5924	1.5165	1.4424	1.3825	1.3303	1.2926	1.2575	1.2328
"Antigua and Barbuda"	28	1.6924	1.5163	1.3853	1.2776	1.1957	1.1359	1.0955	1.0786	1.0804	1.0894	1.102	1.1213	1.1439	1.1714	1.2022	1.2229	1.246
"Argentina"	32	1.9151	1.7215	1.5736	1.4531	1.3553	1.2773	1.2144	1.168	1.1351	1.1177	1.1142	1.1155	1.1244	1.1362	1.1516	1.1671	1.182
"Armenia"	51	1.1984	1.0419	0.9308	0.8618	0.8235	0.8174	0.8437	0.8861	0.9458	0.9894	1.0324	1.069	1.1002	1.1281	1.1499	1.1722	1.1889
"Aruba"	533	1.3073	1.1457	1.0291	0.9448	0.8931	0.8761	0.8944	0.9337	0.9915	1.0482	1.0973	1.1379	1.1773	1.2049	1.2313	1.2519	1.2738
"Australia"	36	1.5329	1.3639	1.2338	1.137	1.0692	1.0252	1.0019	1.0108	1.0275	1.0543	1.0807	1.1135	1.1396	1.171	1.1913	1.2123	1.2334
"Austria"	40	1.3472	1.3247	1.3175	1.3109	1.3083	1.3065	1.3089	1.3117	1.3162	1.3131	1.3172	1.324	1.3271	1.327	1.3306	1.3317	1.3327
"Azerbaijan"	31	1.882	1.6853	1.5346	1.4219	1.3236	1.2502	1.2015	1.1627	1.1414	1.132	1.1371	1.1437	1.167	1.1982	1.2174	1.2439	1.2684
"Bahamas"	44	1.5038	1.3305	1.2017	1.0982	1.0268	0.9838	0.96	0.9561	0.9709	1.0033	1.0297	1.0588	1.0883	1.1134	1.1412	1.1642	1.1849
"Bahrain"	48	1.6358	1.4181	1.2475	1.1079	0.9989	0.9248	0.8697	0.8472	0.8337	0.8382	0.8608	0.8885	0.9256	0.9642	1.0014	1.0387	1.0751
"Bangladesh"	50	1.7176	1.4848	1.3033	1.1585	1.0385	0.9529	0.89	0.8531	0.8386	0.8396	0.8609	0.8881	0.9245	0.9672	1.01	1.0522	1.0906
"Barbados"	52	1.6301	1.5808	1.5525	1.5307	1.5136	1.5044	1.4942	1.4863	1.4801	1.4759	1.4729	1.4659	1.4606	1.4632	1.4566	1.4522	1.4512
"Belarus"	112	1.4612	1.4439	1.4381	1.4351	1.438	1.4418	1.4438	1.4467	1.4496	1.4497	1.4543	1.4548	1.4533	1.4564	1.4565	1.4593	1.464
"Belgium"	56	1.6589	1.6126	1.5854	1.5656	1.5522	1.5413	1.5327	1.5278	1.5223	1.5185	1.513	1.5105	1.505	1.5035	1.504	1.5013	1.4975
"Belize"	84	2.0644	1.8064	1.6124	1.4704	1.3571	1.2555	1.1789	1.1091	1.054	1.0221	0.9944	0.9828	0.9821	0.994	1.0073	1.0219	1.0454
"Benin"	204	4.0263	3.4555	2.9719	2.585	2.2878	2.057	1.8901	1.7629	1.6474	1.5586	1.4849	1.4129	1.3502	1.3038	1.2554	1.222	1.1962
"Bhutan"	64	1.5608	1.3264	1.1542	1.0112	0.9108	0.8469	0.8012	0.7829	0.7848	0.8037	0.832	0.8841	0.9328	0.983	1.0316	1.0699	1.1045
"Bolivia (Plurinational State of)"	68	2.3953	2.0699	1.8524	1.6851	1.5526	1.4532	1.371	1.2916	1.2326	1.1873	1.149	1.1147	1.0928	1.0782	1.0704	1.072	1.083
"Bosnia and Herzegovina"	70	0.9355	0.8015	0.7172	0.6754	0.6683	0.7055	0.7739	0.8461	0.9099	0.9589	0.9892	1.019	1.0354	1.0637	1.0829	1.0946	1.109
"Botswana"	72	2.2728	1.9883	1.7741	1.6043	1.4573	1.3451	1.2425	1.1604	1.0971	1.056	1.0289	1.0116	1.0089	1.0111	1.0207	1.0405	1.0734
"Brazil"	76	1.418	1.2366	1.1035	1.008	0.9357	0.8955	0.8748	0.8815	0.8962	0.925	0.9593	0.994	1.0339	1.0738	1.1054	1.1357	1.168
"Brunei Darussalam"	96	1.4802	1.3014	1.1612	1.0545	0.9795	0.9308	0.9047	0.8918	0.9016	0.9283	0.9505	0.9819	1.016	1.0394	1.0775	1.1097	1.1423
"Bulgaria"	100	1.4182	1.4143	1.4219	1.4305	1.4431	1.4492	1.4605	1.4682	1.4749	1.4798	1.4845	1.4879	1.4935	1.4951	1.4989	1.5045	1.5059
"Burkina Faso"	854	4.7524	4.0383	3.3851	2.8622	2.4607	2.1751	1.9688	1.8068	1.6828	1.5869	1.5064	1.432	1.383	1.332	1.2868	1.2587	1.2359
"Burundi"	108	5.1942	4.4691	3.8011	3.2218	2.7641	2.4227	2.1692	1.9912	1.8416	1.7297	1.6306	1.5467	1.4746	1.4257	1.3727	1.3294	1.2992
"Cabo Verde"	132	1.7867	1.5501	1.3819	1.2501	1.1384	1.0528	0.9898	0.9525	0.9259	0.9153	0.9219	0.9374	0.9625	0.9998	1.0358	1.0696	1.1026
"Cambodia"	116	2.1021	1.8208	1.6432	1.5027	1.3998	1.3041	1.2331	1.1712	1.1195	1.0845	1.0566	1.0447	1.038	1.036	1.0392	1.0457	1.0589
"Cameroon"	120	3.9901	3.457	3.0161	2.6534	2.3605	2.1301	1.9635	1.8208	1.7117	1.6177	1.5323	1.4654	1.4081	1.3525	1.3038	1.2675	1.2354
"Canada"	124	1.253	1.0952	0.9822	0.9069	0.8677	0.8554	0.8781	0.9178	0.9789	1.0269	1.0708	1.104	1.1361	1.1647	1.1894	1.2027	1.224
"Central African Republic"	140	3.4991	2.8533	2.3634	2.0418	1.8303	1.6762	1.5562	1.4612	1.3834	1.3216	1.2725	1.2285	1.1917	1.1684	1.1459	1.1313	1.1234
"Chad"	148	5.2803	4.3925	3.6103	2.9784	2.5212	2.193	1.9645	1.8087	1.6753	1.5564	1.4758	1.3979	1.3456	1.2986	1.2543	1.2168	1.1884
"Channel Islands"	830	1.3163	1.2778	1.2538	1.2394	1.2274	1.2187	1.2144	1.2121	1.2094	1.201	1.1954	1.1913	1.1916	1.1889	1.1876	1.1902	1.1896
"Chile"	152	1.4023	1.2431	1.1238	1.0362	0.9762	0.954	0.9483	0.9657	1.0017	1.0377	1.0797	1.1188	1.1572	1.1823	1.2054	1.2282	1.2479
"China"	156	1.4182	1.3852	1.3679	1.3589	1.3531	1.3443	1.3429	1.3361	1.3394	1.3395	1.3388	1.3381	1.3377	1.3369	1.337	1.3356	1.3334
"China, Hong Kong SAR"	344	1.115	1.1175	1.132	1.1444	1.1605	1.1764	1.19	1.2065	1.2179	1.2327	1.2447	1.2559	1.2701	1.2747	1.2861	1.2943	1.3043
"China, Macao SAR"	446	1.145	1.1838	1.2178	1.2557	1.2919	1.3249	1.3452	1.3641	1.3861	1.3998	1.4145	1.4238	1.432	1.4426	1.4509	1.4573	1.4607
"Colombia"	170	1.4978	1.291	1.1353	1.0138	0.9227	0.8637	0.8377	0.8334	0.832	0.8642	0.905	0.9554	1.0047	1.0471	1.0802	1.1189	1.1517
"Comoros"	174	3.7668	3.2559	2.8352	2.5017	2.2357	2.0436	1.88	1.7573	1.6417	1.5481	1.4706	1.3972	1.3303	1.2858	1.2409	1.2076	1.1731
"Congo"	178	4.196	3.7255	3.3392	3.003	2.716	2.477	2.2778	2.1063	1.9705	1.8576	1.7598	1.6755	1.6016	1.5284	1.4712	1.4162	1.377
"Costa Rica"	188	1.4378	1.2495	1.1054	0.9962	0.9202	0.8745	0.8555	0.8604	0.8854	0.9179	0.9626	1.0018	1.0448	1.0888	1.1227	1.1546	1.1877
"Cote d'Ivoire"	384	4.3122	3.8135	3.3938	3.0387	2.7312	2.4754	2.2743	2.1108	1.9661	1.8544	1.7569	1.6759	1.5921	1.5239	1.4677	1.4108	1.3563
"Croatia"	191	1.1705	1.016	0.9125	0.8448	0.8162	0.8124	0.8514	0.9141	0.9764	1.0261	1.0673	1.1041	1.1298	1.1524	1.1728	1.1935	1.2072
"Cuba"	192	1.2694	1.1129	1.0001	0.9132	0.8674	0.8509	0.8746	0.9077	0.9551	1.0103	1.0518	1.0915	1.1187	1.1484	1.1722	1.1953	1.2125
"Curacao"	531	1.7425	1.5765	1.4527	1.3588	1.2924	1.2419	1.2123	1.2056	1.2221	1.2424	1.2629	1.2827	1.3129	1.3359	1.3543	1.3779	1.3893
"Cyprus"	196	1.1159	0.9671	0.8647	0.8071	0.775	0.782	0.8243	0.885	0.9426	0.993	1.0378	1.0707	1.1005	1.1308	1.1513	1.169	1.182
"Czech Republic"	203	1.3558	1.3564	1.369	1.378	1.3901	1.401	1.4153	1.4249	1.435	1.4402	1.4468	1.449	1.4567	1.4594	1.4631	1.4655	1.4691
"Dem. People's Republic of Korea"	408	1.6007	1.4389	1.3205	1.2286	1.1641	1.1158	1.0912	1.0787	1.0835	1.1011	1.1245	1.1454	1.1696	1.1912	1.2133	1.2394	1.2638
"Democratic Republic of the Congo"	180	5.1512	4.2808	3.4957	2.8806	2.4375	2.1352	1.932	1.7738	1.6421	1.5493	1.4696	1.4028	1.3445	1.2941	1.256	1.2231	1.1983
"Denmark"	208	1.5881	1.5567	1.5394	1.5291	1.5235	1.5182	1.5187	1.516	1.5175	1.5134	1.516	1.5164	1.5158	1.5199	1.5167	1.5184	1.519
"Djibouti"	262	2.5151	2.1115	1.8487	1.6644	1.5181	1.4088	1.3062	1.2219	1.1608	1.1145	1.0781	1.0448	1.0274	1.0199	1.0189	1.0205	1.0308
"Dominican Republic"	214	2.0094	1.7657	1.5754	1.4164	1.2865	1.1767	1.0838	1.015	0.9676	0.9419	0.9292	0.9308	0.9457	0.966	0.9988	1.0257	1.0567
"Ecuador"	218	2.068	1.8286	1.6511	1.5047	1.3776	1.2749	1.1897	1.1199	1.0708	1.0381	1.0164	1.0111	1.0126	1.0224	1.0296	1.0471	1.0697
"Egypt"	818	2.7367	2.4256	2.2056	2.0204	1.8696	1.7383	1.6238	1.5304	1.4433	1.3765	1.3242	1.2827	1.2399	1.2096	1.1855	1.1723	1.1651
"El Salvador"	222	1.5236	1.3331	1.1896	1.0722	0.9899	0.9284	0.8884	0.867	0.8681	0.8842	0.9055	0.936	0.9683	1.0032	1.0372	1.0704	1.0948
"Equatorial Guinea"	226	3.9829	3.2254	2.5961	2.1619	1.9038	1.7299	1.6003	1.5004	1.4145	1.3472	1.2906	1.2396	1.2005	1.1747	1.1537	1.1387	1.1237
"Eritrea"	232	3.5456	3.0115	2.5978	2.2811	2.0496	1.8768	1.7358	1.6154	1.5241	1.4453	1.3797	1.3231	1.2697	1.2254	1.1983	1.1648	1.1369
"Estonia"	233	1.4764	1.4634	1.4626	1.4648	1.4674	1.476	1.4798	1.4851	1.487	1.4907	1.4956	1.4957	1.4943	1.4978	1.5018	1.5001	1.5018
"Ethiopia"	231	3.4582	2.7044	2.1754	1.8675	1.6581	1.5043	1.3849	1.286	1.2101	1.1372	1.0779	1.0419	1.0103	0.9851	0.9643	0.9636	0.972
"Fiji"	242	2.108	1.8773	1.6998	1.5566	1.4334	1.334	1.2489	1.1951	1.143	1.1066	1.0852	1.0708	1.068	1.0707	1.0837	1.1011	1.1159
"Finland"	246	1.5955	1.5514	1.5271	1.5119	1.4993	1.4903	1.4837	1.4801	1.4764	1.4685	1.4695	1.4665	1.4645	1.462	1.4594	1.4581	1.4579
"France"	250	1.8149	1.7499	1.7091	1.6803	1.6583	1.641	1.6257	1.6143	1.6031	1.5985	1.593	1.5812	1.5772	1.5721	1.5666	1.5625	1.5614
"French Guiana"	254	2.8628	2.5764	2.3594	2.1882	2.0383	1.9143	1.8077	1.7196	1.6417	1.5722	1.5121	1.47	1.4347	1.4013	1.3717	1.3471	1.3352
