"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Saint Vincent and the Grenadines"	670	2.2376	2.2507	2.2434	2.2329	2.2222	2.214	2.2097	2.2058	2.2089	2.2123	2.2131	2.2155	2.2173	2.2218	2.2281	2.2329	2.2403
"Samoa"	882	4.3513	4.2903	4.1941	4.0978	4.0017	3.9177	3.8151	3.7365	3.6543	3.5844	3.5108	3.4476	3.3847	3.3291	3.2667	3.2145	3.1654
"Sao Tome and Principe"	678	4.8089	4.7047	4.5736	4.441	4.3131	4.1955	4.084	3.9775	3.8708	3.7903	3.7008	3.6149	3.5416	3.4766	3.4156	3.3531	3.2989
"Saudi Arabia"	682	2.9848	2.9116	2.8202	2.742	2.6646	2.5961	2.5323	2.4722	2.4228	2.3792	2.3481	2.3204	2.3024	2.2855	2.2706	2.265	2.264
"Senegal"	686	5.2788	5.1363	4.976	4.8203	4.6737	4.5377	4.3983	4.2806	4.1633	4.0656	3.9582	3.8727	3.7807	3.6996	3.6228	3.5652	3.4918
"Serbia"	688	1.7742	1.8614	1.9253	1.9729	2.0144	2.0455	2.0722	2.0933	2.116	2.1336	2.1475	2.1644	2.1765	2.1867	2.2001	2.2074	2.2148
"Seychelles"	690	2.5033	2.4906	2.4687	2.4521	2.4354	2.4185	2.405	2.3895	2.3801	2.3698	2.3619	2.354	2.3516	2.3518	2.3509	2.3494	2.3456
"Sierra Leone"	694	4.7787	4.5557	4.3324	4.1313	3.9461	3.7802	3.6403	3.5101	3.3916	3.2872	3.2063	3.1206	3.0458	2.9771	2.9178	2.853	2.7943
"Singapore"	702	1.4414	1.5421	1.6175	1.6815	1.736	1.784	1.8245	1.862	1.8893	1.9204	1.9438	1.9645	1.9891	2.0072	2.0267	2.0407	2.0562
"Slovakia"	703	1.6244	1.7502	1.8412	1.914	1.969	2.0153	2.0553	2.0884	2.1158	2.1365	2.1565	2.1718	2.1874	2.1987	2.2133	2.2253	2.2319
"Slovenia"	705	1.8287	1.9426	2.0213	2.0785	2.1245	2.1552	2.1882	2.2111	2.2318	2.2466	2.2633	2.2752	2.2861	2.2953	2.3044	2.3086	2.3122
"Solomon Islands"	90	4.2202	4.136	4.032	3.9175	3.8113	3.7045	3.6064	3.5187	3.4314	3.3593	3.2907	3.2256	3.167	3.1139	3.0561	3.0025	2.9562
"Somalia"	706	6.533	6.2929	6.0461	5.8095	5.5803	5.3563	5.1501	4.9544	4.7752	4.6096	4.4524	4.3197	4.1893	4.0767	3.9586	3.8595	3.7553
"South Africa"	710	2.6417	2.6677	2.6529	2.6288	2.6045	2.5742	2.5417	2.5088	2.4772	2.4424	2.4168	2.3894	2.3637	2.3506	2.3354	2.3219	2.3172
"South Sudan"	728	5.2013	5.0253	4.8418	4.6567	4.4855	4.329	4.1721	4.0329	3.9099	3.794	3.6925	3.5811	3.4897	3.4067	3.3321	3.2791	3.2153
"Spain"	724	1.5631	1.6851	1.7766	1.8477	1.9056	1.9529	1.9945	2.0246	2.0535	2.0738	2.1004	2.1197	2.1406	2.1575	2.1726	2.1825	2.1921
"Sri Lanka"	144	2.3684	2.388	2.3822	2.369	2.3523	2.3363	2.3236	2.3139	2.307	2.299	2.2922	2.2831	2.2817	2.2846	2.2855	2.284	2.2842
"State of Palestine"	275	4.4163	4.3175	4.1995	4.083	3.9712	3.8613	3.7495	3.6576	3.5696	3.4778	3.4104	3.3416	3.2847	3.215	3.1607	3.0964	3.0522
"Sudan"	729	4.5941	4.4861	4.3613	4.2385	4.1198	4.0014	3.8859	3.7908	3.7087	3.6185	3.5457	3.4656	3.3969	3.3306	3.2722	3.2145	3.1625
"Suriname"	740	2.6392	2.6559	2.6435	2.6138	2.5789	2.5432	2.4967	2.4666	2.4363	2.3981	2.3819	2.361	2.3502	2.3358	2.3223	2.3146	2.3116
"Swaziland"	748	3.4909	3.3994	3.2922	3.1877	3.0942	3.0082	2.9389	2.8683	2.8042	2.75	2.692	2.6461	2.5895	2.5421	2.5086	2.4685	2.4355
"Sweden"	752	2.1017	2.1727	2.2179	2.2491	2.275	2.2951	2.31	2.3262	2.3391	2.3494	2.3564	2.3656	2.3711	2.3763	2.3797	2.3858	2.3901
"Switzerland"	756	1.7548	1.8645	1.9398	1.9965	2.0412	2.0773	2.1093	2.1348	2.1558	2.1752	2.1927	2.2093	2.2223	2.2315	2.2387	2.2456	2.255
"Syrian Arab Republic"	760	3.1723	3.0915	3.0007	2.9073	2.8193	2.7436	2.6699	2.5949	2.5345	2.4698	2.4221	2.3821	2.3483	2.3231	2.307	2.2924	2.2854
"Tajikistan"	762	3.7496	3.7029	3.6359	3.5571	3.4846	3.4103	3.3437	3.2777	3.2209	3.1657	3.1149	3.0542	3.0144	2.9656	2.9314	2.8751	2.8425
"TFYR Macedonia"	807	1.733	1.8283	1.8942	1.9493	1.9906	2.0251	2.0562	2.0813	2.1001	2.1181	2.1386	2.1536	2.1639	2.1745	2.1877	2.1958	2.2058
"Thailand"	764	1.7719	1.832	1.8792	1.9196	1.955	1.9833	2.0119	2.0357	2.0589	2.0768	2.0955	2.1137	2.1298	2.1447	2.1529	2.1665	2.1793
"Timor-Leste"	626	5.8066	5.5278	5.25	5.001	4.7475	4.5282	4.3199	4.1396	3.9756	3.8282	3.7084	3.5831	3.4829	3.3922	3.2923	3.2098	3.1303
"Togo"	768	4.8028	4.6729	4.5325	4.3953	4.2596	4.1334	4.0194	3.9139	3.8122	3.7203	3.6302	3.5521	3.4764	3.3982	3.338	3.2734	3.2185
"Tonga"	776	4.0168	3.9892	3.9301	3.8578	3.7816	3.7107	3.6366	3.5703	3.5066	3.4495	3.3902	3.339	3.2904	3.2461	3.196	3.1563	3.1132
"Trinidad and Tobago"	780	2.052	2.0814	2.0995	2.1131	2.1274	2.1397	2.1488	2.1629	2.1694	2.1765	2.1884	2.1938	2.2046	2.2147	2.2189	2.2235	2.232
"Tunisia"	788	2.3155	2.3208	2.3164	2.3175	2.3124	2.3142	2.3138	2.3083	2.3109	2.3102	2.3125	2.3151	2.3237	2.3226	2.3207	2.3205	2.3259
"Turkey"	792	2.3472	2.365	2.3594	2.3404	2.3261	2.3018	2.2902	2.283	2.2734	2.2651	2.2609	2.2549	2.2565	2.2561	2.2563	2.2579	2.2601
"Turkmenistan"	795	2.5738	2.5848	2.5706	2.54	2.5085	2.4692	2.4372	2.4015	2.3778	2.3558	2.3308	2.3145	2.3052	2.2925	2.2831	2.2781	2.2778
"Uganda"	800	5.8974	5.6916	5.4708	5.2566	5.0398	4.8477	4.6533	4.4741	4.3289	4.183	4.0525	3.9179	3.818	3.7166	3.6282	3.5456	3.4683
"Ukraine"	804	1.7391	1.8537	1.9361	1.9984	2.046	2.0861	2.1204	2.1498	2.1715	2.1899	2.2046	2.2181	2.2344	2.2466	2.2555	2.2642	2.2718
"United Arab Emirates"	784	2.0619	2.0819	2.0854	2.0952	2.1034	2.108	2.1171	2.1268	2.1393	2.151	2.1593	2.1695	2.1782	2.182	2.1932	2.1962	2.2046
"United Kingdom"	826	2.0801	2.1315	2.1664	2.1904	2.2129	2.229	2.2421	2.2532	2.2637	2.2739	2.2823	2.2918	2.2946	2.3014	2.3057	2.31	2.3152
"United Republic of Tanzania"	834	5.3607	5.2438	5.1006	4.9481	4.7995	4.6574	4.5307	4.4129	4.292	4.1806	4.081	3.9875	3.8989	3.8089	3.7418	3.6645	3.6
"United States of America"	840	2.0696	2.1293	2.1725	2.2039	2.2253	2.2446	2.2587	2.2727	2.2851	2.2921	2.3033	2.3133	2.3195	2.3251	2.3291	2.3285	2.333
"United States Virgin Islands"	850	2.536	2.5442	2.5198	2.4882	2.4568	2.427	2.406	2.3844	2.3703	2.3501	2.3355	2.3319	2.324	2.3252	2.3209	2.3229	2.325
"Uruguay"	858	2.3157	2.3494	2.3635	2.3685	2.3709	2.361	2.3559	2.3468	2.3448	2.3371	2.3334	2.3299	2.3238	2.322	2.3191	2.3184	2.3149
"Uzbekistan"	860	2.6967	2.6928	2.6651	2.6239	2.5844	2.5423	2.5108	2.4684	2.4431	2.4136	2.3879	2.3688	2.3503	2.3413	2.3357	2.3255	2.3197
"Vanuatu"	548	3.6404	3.6336	3.5949	3.541	3.4882	3.4274	3.3755	3.3229	3.2724	3.216	3.1718	3.1194	3.0729	3.0279	2.9891	2.9461	2.9009
"Venezuela (Bolivarian Republic of)"	862	2.6385	2.6576	2.647	2.6212	2.5855	2.5407	2.5057	2.4769	2.4381	2.4059	2.3763	2.352	2.3376	2.3268	2.3163	2.3068	2.2967
"Viet Nam"	704	2.1249	2.178	2.2139	2.2386	2.2599	2.2771	2.2901	2.3064	2.3148	2.3276	2.3326	2.3415	2.3491	2.3531	2.3564	2.3648	2.3645
"Western Sahara"	732	2.4186	2.4059	2.3783	2.34	2.3063	2.2793	2.2563	2.2426	2.2305	2.2284	2.2252	2.2218	2.2181	2.2219	2.2263	2.2317	2.2342
"Yemen"	887	4.2529	3.9673	3.7093	3.487	3.2958	3.1166	2.9654	2.8339	2.7152	2.6059	2.5031	2.4256	2.3607	2.3138	2.2772	2.2598	2.2457
"Zambia"	894	5.5767	5.4664	5.3348	5.1977	5.0634	4.9212	4.7995	4.6906	4.58	4.4814	4.3745	4.2786	4.1933	4.11	4.0306	3.9552	3.8937
"Zimbabwe"	716	4.0968	3.9369	3.7768	3.6241	3.4862	3.3689	3.2532	3.1563	3.0774	2.9883	2.9185	2.8394	2.7724	2.7097	2.6433	2.587	2.5416
