"country"	"country_code"	"age"	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"World"	900	"0-4"	313657.123	289130.086	272956.497	273172.496	270746.692	262445.905	249538.704	235668.971	223871.036	215277.124	207571.583	198846.002	188667.335	177893.341	167658.247	158284.862	149682.167
"World"	900	"5-9"	343252.279	310873.14	286661.256	270781.717	271231.319	269041.63	260978.47	248300.92	234627.142	222992.413	214535.167	206951.332	198328.739	188235.802	177532.84	167353.273	158025.597
"World"	900	"10-14"	328066.006	341868.274	309791.256	285689.433	269941.521	270475.452	268370.157	260389.183	247797.95	234198.745	222626.165	214222.464	206683.671	198099.928	188041.159	177366.43	167210.384
"World"	900	"15-19"	312361.778	326409.162	340312.204	308451.337	284496.002	268861.291	269460.824	267440.233	259547.592	247041.962	233522.547	222020.184	213676.777	206192.375	197658.893	187647.428	177016.442
"World"	900	"20-24"	302478.295	309971.374	323957.848	337958.722	306284.931	282543.862	267061.317	267806.553	265905.932	258139.708	245768.163	232374.41	220980.774	212733.094	205335.4	196884.221	186953.317
"World"	900	"25-29"	308215.956	300090.145	307494.982	321506.662	335490.312	304157.568	280652.113	265382.018	266239.641	264450.721	256817.09	244585.55	231319.936	220035.106	211878.268	204562.18	196189.992
"World"	900	"30-34"	308648.705	305343.173	297353.937	304870.914	318953.802	333043.221	302070.726	278842.91	263774.863	264731.456	263055.501	255554.467	243461.022	230322.497	219142.661	211073.254	203836.916
"World"	900	"35-39"	275626.315	304676.162	301652.069	294008.803	301650.214	315834.908	330049.172	299512.075	276592.575	261750.162	262834.227	261297.262	253955.684	242030.638	229046.908	217997.465	210041.309
"World"	900	"40-44"	247261.224	270990.601	300072.847	297308.705	290002.948	297781.117	312093.117	326446.237	296385.709	273818.817	259253.587	260491.663	259121.918	251975.214	240257.755	227463.08	216578.861
"World"	900	"45-49"	239958.831	241786.2	265537.107	294454.408	292101.378	285073.805	293041.474	307475.375	321950.686	292464.53	270347.812	256126.677	257547.089	256382.033	249482.4	238022.585	225470.493
"World"	900	"50-54"	221583.872	232880.118	234889.93	258411.406	287201.423	285248.826	278588.953	286753.013	301276.325	315846.957	287134.654	265607.57	251831.984	253482.168	252591.796	246013.09	234902.816
"World"	900	"55-59"	191855.059	212472.369	223642.477	225816.207	248965.98	277542.676	276053.845	269894.253	278254.99	292820.903	307494.242	279811.177	259068.629	245893.548	247865.317	247327.932	241184.422
"World"	900	"60-64"	156545.574	179778.366	200084.659	211148.241	213533.517	236105.286	264278.279	263456.289	257934.972	266471.511	281090.432	295828.838	269550.464	249896.724	237591.195	239975.111	239914.093
"World"	900	"65-69"	128220.303	141375.747	163523.877	183205.02	194106.586	196808.813	218512.137	246061.612	246049.431	241260.239	250006.772	264564.747	279272.868	254921.888	236817.763	225654.228	228552.19
"World"	900	"70-74"	87113.836	109526.565	121849.295	142277.246	160822.597	171455.03	174505.754	194966.145	221376.34	222206.694	218374.482	227186.795	241473.768	255987.596	234328.773	218254.274	208581.364
"World"	900	"75-79"	55093.197	68509.132	86898.63	97903.496	115795.307	132544.879	142608.369	146071.627	164595.009	188928.56	190723.414	187936.981	196560.608	210222.838	224283.001	206024.394	192507.735
"World"	900	"80-84"	34151.446	38100.092	48419.525	62063.111	71122.502	85650.283	99676.971	108678.891	112218.829	127772.809	148884.519	151348.593	149633.002	157657.899	170140.847	182981.761	168746.422
"World"	900	"85-89"	16348.872	19393.334	22302.769	29083.749	37798.495	44341.005	54662.793	65074.917	72182.042	75254.516	86917.444	103221.912	105926.43	105285.526	112154.834	122454.544	133018.121
"World"	900	"90-94"	5644.357	6944.397	8473.882	10089.534	13572.747	18015.603	21796.87	27738.881	34003.962	38584.827	40870.087	48076.746	58518.902	61011.305	61305.168	66313.339	73542.637
"World"	900	"95-99"	1163.594	1608.845	2044.714	2569.535	3176.002	4430.43	6058.483	7625.382	10094.145	12826.545	15010.834	16256.394	19592.919	24662.556	26360.186	26972.295	29807.969
"World"	900	"100+"	140.595	216.166	309.257	408.48	527.993	675.717	956.388	1358.357	1805.356	2479.919	3306.89	4075.936	4641.071	5678.131	7342.837	8398.367	9020.54
"More developed regions"	901	"0-4"	30065.437	26548.512	24028.359	23804.084	23967.291	23743.78	22555.562	20824.709	19382.979	18590.513	18239.768	17874.943	17221.34	16314.607	15390.928	14640.471	14086.804
"More developed regions"	901	"5-9"	35618.027	30415.621	26905.369	24392.717	24170.192	24334.279	24111.699	22907.984	21159.596	19700.024	18889.234	18519.874	18136.329	17464.135	16538.888	15596.615	14827.523
"More developed regions"	901	"10-14"	35879.913	36038.459	30842.526	27338.26	24828.565	24607.328	24772.04	24530.106	23304.955	21535.279	20054.108	19221.481	18830.061	18424.377	17730.057	16782.782	15818.428
"More developed regions"	901	"15-19"	34759.948	36455.482	36623.46	31444.122	27948.009	25443.593	25224.709	25361.769	25089.317	23834.22	22034.759	20523.416	19660.048	19237.568	18800.632	18075.178	17096.824
"More developed regions"	901	"20-24"	35612.792	35427.06	37142.094	37331.582	32177.48	28698.06	26205.486	25954.72	26054.263	25744.508	24453.377	22618.521	21070.69	20169.618	19708.499	19232.713	18468.575
"More developed regions"	901	"25-29"	40301.976	36234.939	36080.234	37816.037	38016.927	32895.763	29439.317	26925.17	26639.975	26702.536	26356.148	25030.521	23161.65	21578.661	20640.436	20140.982	19626.492
"More developed regions"	901	"30-34"	43312.409	40702.532	36714.028	36589.519	38330.732	38541.74	33460.302	30000.346	27470.424	27159.298	27192.531	26817.512	25465.445	23571.181	21961.075	20993.359	20462.922
