"country"	"country_code"	"age"	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"More developed regions"	901	"35-39"	43587.008	43395.704	40888.051	36990.321	36886.376	38631.349	38852.389	33795.624	30341.601	27809.534	27483.649	27498.255	27104.773	25737.74	23829.255	22202.779	21215.826
"More developed regions"	901	"40-44"	41827.426	43405.353	43253.941	40861.472	37057.106	36976.346	38723.882	38941.154	33921.114	30488.601	27967.914	27638.406	27643.95	27242.566	25871.296	23959.404	22327.018
"More developed regions"	901	"45-49"	42810.317	41363.149	42955.316	42854.561	40597.285	36909.136	36857.045	38596.22	38814.483	33856.591	30465.429	27972.827	27649.975	27656.369	27256.316	25891.661	23987.763
"More developed regions"	901	"50-54"	41710.73	41928.706	40563.541	42174.971	42136.335	40056.033	36522.953	36501.317	38233.289	38462.424	33601.695	30278.922	27834.492	27531.103	27546.76	27157.714	25811.738
"More developed regions"	901	"55-59"	42621.443	40361.955	40633.534	39373.907	41004.109	41041.342	39191.385	35859.964	35884.081	37609.168	37857.383	33139.404	29916.679	27547.413	27275.281	27309.548	26941.81
"More developed regions"	901	"60-64"	38882.887	40413.411	38528.435	38858.023	37728.518	39370.973	39495.471	37938.217	34881.571	34966.456	36680.561	36956.68	32433.869	29354.316	27088.893	26862.993	26926.348
"More developed regions"	901	"65-69"	33798.796	35965.44	37640.118	36182.29	36576.61	35597.043	37241.413	37457.619	36264.046	33542.352	33701.061	35398.492	35705.601	31441.715	28545.154	26418.136	26253.862
"More developed regions"	901	"70-74"	27913.307	30153.283	32362.911	34167.066	33186.742	33651.536	32844.341	34468.3	34804.61	34015.933	31696.272	31944.178	33606.737	33955.899	30021.429	27366.07	25423.069
"More developed regions"	901	"75-79"	19052.576	23663.265	25614.439	27807.775	29709.543	29241.087	29790.499	29191.73	30792.56	31248.604	30900.037	29071.081	29421.003	31035.082	31428.393	27937.509	25606.875
"More developed regions"	901	"80-84"	13488.83	14544.954	18361.249	19988.718	22056.782	23946.501	23966.093	24603.085	24282.535	25806.34	26381.281	26479.885	25225.441	25700.646	27224.841	27683.863	24801.361
"More developed regions"	901	"85-89"	7246.526	8430.563	9441.124	12190.957	13439.552	15160.03	16822.8	17198.592	17897.454	17864.685	19214.892	19881.036	20336.907	19714.097	20295.379	21678.198	22225.719
"More developed regions"	901	"90-94"	2841.586	3329.044	3993.036	4663.623	6215.476	6998.24	8125.345	9286.48	9778.37	10399.755	10578.584	11601.972	12237.394	12842.02	12752.682	13368.307	14521.084
"More developed regions"	901	"95-99"	599.918	818.62	1001.968	1247.19	1524.173	2112.708	2453.067	2953.749	3513.155	3841.182	4222.02	4424.851	4994.537	5431.427	5896.56	6063.73	6556.308
"More developed regions"	901	"100+"	60.731	98.131	140.778	181.729	235.075	299.603	425.83	525.46	659.357	822.529	956.634	1102.669	1218.548	1416.7	1616.181	1841.596	2020.288
"Less developed regions"	902	"0-4"	283591.686	262581.574	248928.138	249368.412	246779.401	238702.125	226983.142	214844.262	204488.057	196686.611	189331.815	180971.059	171445.995	161578.734	152267.319	143644.391	135595.363
"Less developed regions"	902	"5-9"	307634.252	280457.519	259755.887	246389	247061.127	244707.351	236866.771	225392.936	213467.546	203292.389	195645.933	188431.458	180192.41	170771.667	160993.952	151756.658	143198.074
"Less developed regions"	902	"10-14"	292186.093	305829.815	278948.73	258351.173	245112.956	245868.124	243598.117	235859.077	224492.995	212663.466	202572.057	195000.983	187853.61	179675.551	170311.102	160583.648	151391.956
"Less developed regions"	902	"15-19"	277601.83	289953.68	303688.744	277007.215	256547.993	243417.698	244236.115	242078.464	234458.275	223207.742	211487.788	201496.768	194016.729	186954.807	178858.261	169572.25	159919.618
"Less developed regions"	902	"20-24"	266865.503	274544.314	286815.754	300627.14	274107.451	253845.802	240855.831	241851.833	239851.669	232395.2	221314.786	209755.889	199910.084	192563.476	185626.901	177651.508	168484.742
"Less developed regions"	902	"25-29"	267913.98	263855.206	271414.748	283690.625	297473.385	271261.805	251212.796	238456.848	239599.666	237748.185	230460.942	219555.029	208158.286	198456.445	191237.832	184421.198	176563.5
"Less developed regions"	902	"30-34"	265336.296	264640.641	260639.909	268281.395	280623.07	294501.481	268610.424	248842.564	236304.439	237572.158	235862.97	228736.955	217995.577	206751.316	197181.586	190079.895	183373.994
"Less developed regions"	902	"35-39"	232039.307	261280.458	260764.018	257018.482	264763.838	277203.559	291196.783	265716.451	246250.974	233940.628	235350.578	233799.007	226850.911	216292.898	205217.653	195794.686	188825.483
"Less developed regions"	902	"40-44"	205433.798	227585.248	256818.906	256447.233	252945.842	260804.771	273369.235	287505.083	262464.595	243330.216	231285.673	232853.257	231477.968	224732.648	214386.459	203503.676	194251.843
"Less developed regions"	902	"45-49"	197148.514	200423.051	222581.791	251599.847	251504.093	248164.669	256184.429	268879.155	283136.203	258607.939	239882.383	228153.85	229897.114	228725.664	222226.084	212130.924	201482.73
"Less developed regions"	902	"50-54"	179873.142	190951.412	194326.389	216236.435	245065.088	245192.793	242066	250251.696	263043.036	277384.533	253532.959	235328.648	223997.492	225951.065	225045.036	218855.376	209091.078
"Less developed regions"	902	"55-59"	149233.616	172110.414	183008.943	186442.3	207961.871	236501.334	236862.46	234034.289	242370.909	255211.735	269636.859	246671.773	229151.95	218346.135	220590.036	220018.384	214242.612
"Less developed regions"	902	"60-64"	117662.687	139364.955	161556.224	172290.218	175804.999	196734.313	224782.808	225518.072	223053.401	231505.055	244409.871	258872.158	237116.595	220542.408	210502.302	213112.118	212987.745
"Less developed regions"	902	"65-69"	94421.507	105410.307	125883.759	147022.73	157529.976	161211.77	181270.724	208603.993	209785.385	207717.887	216305.711	229166.255	243567.267	223480.173	208272.609	199236.092	202298.328
"Less developed regions"	902	"70-74"	59200.529	79373.282	89486.384	108110.18	127635.855	137803.494	141661.413	160497.845	186571.73	188190.761	186678.21	195242.617	207867.031	222031.697	204307.344	190888.204	183158.295
"Less developed regions"	902	"75-79"	36040.621	44845.867	61284.191	70095.721	86085.764	103303.792	112817.87	116879.897	133802.449	157679.956	159823.377	158865.9	167139.605	179187.756	192854.608	178086.885	166900.86
"Less developed regions"	902	"80-84"	20662.616	23555.138	30058.276	42074.393	49065.72	61703.782	75710.878	84075.806	87936.294	101966.469	122503.238	124868.708	124407.561	131957.253	142916.006	155297.898	143945.061
"Less developed regions"	902	"85-89"	9102.346	10962.771	12861.645	16892.792	24358.943	29180.975	37839.993	47876.325	54284.588	57389.831	67702.552	83340.876	85589.523	85571.429	91859.455	100776.346	110792.402
"Less developed regions"	902	"90-94"	2802.771	3615.353	4480.846	5425.911	7357.271	11017.363	13671.525	18452.401	24225.592	28185.072	30291.503	36474.774	46281.508	48169.285	48552.486	52945.032	59021.553
"Less developed regions"	902	"95-99"	563.676	790.225	1042.746	1322.345	1651.829	2317.722	3605.416	4671.633	6580.99	8985.363	10788.814	11831.543	14598.382	19231.129	20463.626	20908.565	23251.661
"Less developed regions"	902	"100+"	79.864	118.035	168.479	226.751	292.918	376.114	530.558	832.897	1145.999	1657.39	2350.256	2973.267	3422.523	4261.431	5726.656	6556.771	7000.252
"Least developed countries"	941	"0-4"	71266.807	72331.525	73686.479	76714.496	78603.9	79024.732	78425.451	77510.416	76593.3	75566.501	74052.419	71976.938	69362.625	66520.843	63652.811	60673.33	57604.107
"Least developed countries"	941	"5-9"	69127.877	69828.496	71041.365	72539.966	75679.897	77682.291	78217.435	77729.089	76910.037	76069.479	75107.065	73652.08	71629.02	69059.676	66257.359	63424.306	60472.092
"Least developed countries"	941	"10-14"	63473.84	68500.831	69259.785	70524.712	72065.804	75237.415	77274.03	77839.472	77391.077	76606.402	75795.71	74860.81	73431.34	71431.685	68884.262	66102.172	63285.987
"Least developed countries"	941	"15-19"	57366.283	62676.361	67732.941	68542.659	69840.511	71408.638	74597.609	76668.396	77273.707	76865.6	76119.142	75345.074	74444.968	73049.591	71083.341	68569.417	65817.895
"Least developed countries"	941	"20-24"	50346.718	56197.062	61512.412	66581.374	67432.555	68762.982	70357.981	73608.966	75725.699	76384.25	76033.053	75343.293	74623.877	73776.489	72433.768	70521.49	68059.188
"Least developed countries"	941	"25-29"	43225.031	49243.369	55076.596	60383.835	65450.141	66343.76	67707.663	69348.741	72632.88	74791.233	75501.357	75208.378	74576.672	73912.593	73118.243	71830.618	69971.283
"Least developed countries"	941	"30-34"	36740.263	42258.487	48245.187	54053.562	59341.52	64403.074	65339.034	66740.213	68420.211	71729.197	73922.757	74681.352	74443.608	73867.008	73255.103	72513.112	71275.85
"Least developed countries"	941	"35-39"	31540.665	35796.397	41277.12	47226.139	52999.57	58266.281	63321.168	64314.502	65754.72	67469.424	70798.772	73027.496	73836.167	73656.185	73137.013	72582.132	71893.393
"Least developed countries"	941	"40-44"	25831.912	30639.11	34863.152	40296.769	46194.615	51926.008	57164.453	62202.904	63240.053	64716.396	66463.406	69811.038	72075.256	72936.858	72817.877	72362.692	71867.152
"Least developed countries"	941	"45-49"	21108.926	24945.947	29684.329	33861.666	39225.955	45055.032	50725.241	55926.69	60935.377	62015.636	63527.863	65308.998	68672.443	70974.006	71892.601	71845.304	71460.892
"Least developed countries"	941	"50-54"	17241.205	20179.13	23924.076	28558.876	32653.469	37912.816	43633.034	49209.523	54335.459	59288.783	60415.989	61967.005	63784.019	67158.863	69498.912	70489.866	70530.066
"Least developed countries"	941	"55-59"	13782.576	16233.381	19063.344	22672.424	27152.146	31122.163	36223.341	41781.425	47211.629	52221.507	57091.289	58272.19	59866.502	61726.112	65105.053	67494.782	68575.242
"Least developed countries"	941	"60-64"	10308.631	12597.441	14912.761	17586.44	20995.264	25248.091	29032.102	33911.682	39238.954	44452.803	49299.347	54045.023	55295.151	56948.291	58858.721	62243.091	64693.713
"Least developed countries"	941	"65-69"	7401.324	8990.922	11073.52	13190.394	15632.975	18753.005	22670.846	26187.92	30729.796	35704.078	40596.406	45182.354	49723.141	51050.246	52757.017	54725.002	58091.214
"Least developed countries"	941	"70-74"	5128.036	5980.534	7340.653	9133.025	10967.207	13086.16	15796.501	19250.888	22375.46	26425.149	30899.2	35317.289	39513.426	43743.221	45135.897	46894.577	48905.782
"Least developed countries"	941	"75-79"	3202.504	3700.423	4349.474	5418.698	6840.905	8307.875	9995.662	12175.248	15009.155	17585.911	20970.384	24736.725	28478.933	32106.189	35838.136	37254.252	39002.938
"Least developed countries"	941	"80-84"	1645.198	1961.187	2294.939	2713.989	3462.513	4473.646	5513.707	6699.959	8258.887	10330.446	12235.78	14769.453	17620.681	20480.732	23297.272	26303.213	27598.026
"Least developed countries"	941	"85-89"	671.156	795.736	965.941	1145.017	1358.25	1798.912	2403.794	3023.461	3711.261	4642.38	5924.57	7106.376	8709.383	10543.932	12383.923	14233.863	16288.079
"Least developed countries"	941	"90-94"	201.289	252.77	307.332	379.609	453.385	535.004	748.321	1048.078	1347.428	1660.119	2115.379	2750.092	3335.013	4145.435	5078.215	6012.971	6948.568
"Least developed countries"	941	"95-99"	43.739	61.855	80.647	100.275	125.488	149.956	173.852	259.438	381.35	498.353	612.931	793.783	1038.799	1267.644	1578.436	1940.169	2293.391
"Least developed countries"	941	"100+"	7.222	12.689	19.101	26.124	33.554	42.528	51.401	59.472	86.407	129.724	176.567	221.446	286.37	371.567	458.218	563.489	685.155
"Other less developed countries"	934	"0-4"	212324.879	190250.049	175241.659	172653.916	168175.501	159677.393	148557.691	137333.846	127894.757	121120.11	115279.396	108994.121	102083.37	95057.891	88614.508	82971.061	77991.256
"Other less developed countries"	934	"5-9"	238506.375	210629.023	188714.522	173849.034	171381.23	167025.06	158649.336	147663.847	136557.509	127222.91	120538.868	114779.378	108563.39	101711.991	94736.593	88332.352	82725.982
"Other less developed countries"	934	"10-14"	228712.253	237328.984	209688.945	187826.461	173047.152	170630.709	166324.087	158019.605	147101.918	136057.064	126776.347	120140.173	114422.27	108243.866	101426.84	94481.476	88105.969
"Other less developed countries"	934	"15-19"	220235.547	227277.319	235955.803	208464.556	186707.482	172009.06	169638.506	165410.068	157184.568	146342.142	135368.646	126151.694	119571.761	113905.216	107774.92	101002.833	94101.723
"Other less developed countries"	934	"20-24"	216518.785	218347.252	225303.342	234045.766	206674.896	185082.82	170497.85	168242.867	164125.97	156010.95	145281.733	134412.596	125286.207	118786.987	113193.133	107130.018	100425.554
"Other less developed countries"	934	"25-29"	224688.949	214611.837	216338.152	223306.79	232023.244	204918.045	183505.133	169108.107	166966.786	162956.952	154959.585	144346.651	133581.614	124543.852	118119.589	112590.58	106592.217
"Other less developed countries"	934	"30-34"	228596.033	222382.154	212394.722	214227.833	221281.55	230098.407	203271.39	182102.351	167884.228	165842.961	161940.213	154055.603	143551.969	132884.308	123926.483	117566.783	112098.144
"Other less developed countries"	934	"35-39"	200498.642	225484.061	219486.898	209792.343	211764.268	218937.278	227875.615	201401.949	180496.254	166471.204	164551.806	160771.511	153014.744	142636.713	132080.64	123212.554	116932.09
"Other less developed countries"	934	"40-44"	179601.886	196946.138	221955.754	216150.464	206751.227	208878.763	216204.782	225302.179	199224.542	178613.82	164822.267	163042.219	159402.712	151795.79	141568.582	131140.984	122384.691
"Other less developed countries"	934	"45-49"	176039.588	175477.104	192897.462	217738.181	212278.138	203109.637	205459.188	212952.465	222200.826	196592.303	176354.52	162844.852	161224.671	157751.658	150333.483	140285.62	130021.838
"Other less developed countries"	934	"50-54"	162631.937	170772.282	170402.313	187677.559	212411.619	207279.977	198432.966	201042.173	208707.577	218095.75	193116.97	173361.643	160213.473	158792.202	155546.124	148365.51	138561.012
"Other less developed countries"	934	"55-59"	135451.04	155877.033	163945.599	163769.876	180809.725	205379.171	200639.119	192252.864	195159.28	202990.228	212545.57	188399.583	169285.448	156620.023	155484.983	152523.602	145667.37
"Other less developed countries"	934	"60-64"	107354.056	126767.514	146643.463	154703.778	154809.735	171486.222	195750.706	191606.39	183814.447	187052.252	195110.524	204827.135	181821.444	163594.117	151643.581	150869.027	148294.032
"Other less developed countries"	934	"65-69"	87020.183	96419.385	114810.239	133832.336	141897.001	142458.765	158599.878	182416.073	179055.589	172013.809	175709.305	183983.901	193844.126	172429.927	155515.592	144511.09	144207.114
"Other less developed countries"	934	"70-74"	54072.493	73392.748	82145.731	98977.155	116668.648	124717.334	125864.912	141246.957	164196.27	161765.612	155779.01	159925.328	168353.605	178288.476	159171.447	143993.627	134252.513
"Other less developed countries"	934	"75-79"	32838.117	41145.444	56934.717	64677.023	79244.859	94995.917	102822.208	104704.649	118793.294	140094.045	138852.993	134129.175	138660.672	147081.567	157016.472	140832.633	127897.922
"Other less developed countries"	934	"80-84"	19017.418	21593.951	27763.337	39360.404	45603.207	57230.136	70197.171	77375.847	79677.407	91636.023	110267.458	110099.255	106786.88	111476.521	119618.734	128994.685	116347.035
"Other less developed countries"	934	"85-89"	8431.19	10167.035	11895.704	15747.775	23000.693	27382.063	35436.199	44852.864	50573.327	52747.451	61777.982	76234.5	76880.14	75027.497	79475.532	86542.483	94504.323
"Other less developed countries"	934	"90-94"	2601.482	3362.583	4173.514	5046.302	6903.886	10482.359	12923.204	17404.323	22878.164	26524.953	28176.124	33724.682	42946.495	44023.85	43474.271	46932.061	52072.985
"Other less developed countries"	934	"95-99"	519.937	728.37	962.099	1222.07	1526.341	2167.766	3431.564	4412.195	6199.64	8487.01	10175.883	11037.76	13559.583	17963.485	18885.19	18968.396	20958.27
"Other less developed countries"	934	"100+"	72.642	105.346	149.378	200.627	259.364	333.586	479.157	773.425	1059.592	1527.666	2173.689	2751.821	3136.153	3889.864	5268.438	5993.282	6315.097
"Less developed regions, excluding China"	948	"0-4"	247655.993	234609.553	225329.09	226215.845	224066.995	217352.54	207699.095	197957.046	189898.136	183198.272	176356.149	168572.499	159936.077	151168.275	142891.827	135049.735	127517.939
"Less developed regions, excluding China"	948	"5-9"	262370.959	244594.351	231837.016	222832.865	223946.873	222029.504	215548.198	206135.585	196603.574	188722.961	182176.255	175473.014	167809.643	159276.182	150596.557	142392.823	134613.944
"Less developed regions, excluding China"	948	"10-14"	249256.756	260633.562	243134.798	230469.512	221587.316	222781.537	220945.434	214562.602	205254.841	195816.316	188017.626	181544.913	174907.706	167304.263	158826	150195.539	142036.363
"Less developed regions, excluding China"	948	"15-19"	236582.586	247148.012	258611.341	241296.866	228758.451	219978.05	221232.923	219503.461	213233.824	204036.071	194702.046	186999.039	180613.139	174057.507	166531.705	158127.846	149568.289
"Less developed regions, excluding China"	948	"20-24"	224146.016	233732.161	244210.018	255744.16	238570.228	226213.629	217564.927	218987.438	217406.162	211291.072	202254.472	193072.97	185507.083	179247.148	172809.883	165398.273	157106.743
"Less developed regions, excluding China"	948	"25-29"	211220.784	221380.98	230827.59	241301.714	252798.971	235905.783	223741.823	215309.764	216868.702	215426.528	209471.249	200599.833	191571.414	184140.82	178001.375	171677	164376.183
"Less developed regions, excluding China"	948	"30-34"	197633.45	208255.426	218398.983	227904.55	238433.586	250017.586	233413.553	221503.305	213272.119	214946.765	213638.702	207836.524	199121.344	190237.196	182931.149	176902.223	170682.817
"Less developed regions, excluding China"	948	"35-39"	180085.988	193963.582	204678.476	214997.107	224580.469	235195.725	246884.45	230653.003	219017.95	210998.377	212807.627	211650.529	206018.883	197479.472	188757.038	181591.024	175689.329
"Less developed regions, excluding China"	948	"40-44"	155750.798	176008.789	189924.578	200685.613	211152.874	220819.488	231544.796	243361.67	227527.173	216193.02	208422.719	210382.642	209395.38	203959.051	195623.688	187086.099	180084.666
"Less developed regions, excluding China"	948	"45-49"	135722.123	151234.114	171463.775	185229.238	196136.899	206643.216	216430.721	227265.675	239188.028	223812.524	212850.439	205375.846	207503.759	206712.741	201513.257	193419.295	185107.583
"Less developed regions, excluding China"	948	"50-54"	117095.401	130459.938	145813.868	165750.406	179416.906	190365.087	200907.691	210802.94	221708.458	233696.767	218927.227	208434.772	201328.956	203656.33	203120.736	198218.558	190442.714
"Less developed regions, excluding China"	948	"55-59"	98772.174	110907.671	123880.125	138917.589	158391.51	171903.231	182810.126	193388.385	203353.609	214276.274	226330.196	212344.028	202459.078	195834.026	198435.975	198219.137	193713.315
"Less developed regions, excluding China"	948	"60-64"	78389.876	91137.378	102783.988	115275.364	129794.345	148559.19	161778.081	172627.405	183174.17	193138.229	204088.528	216157.978	203221.496	194157.432	188227.458	191168.969	191377.114
"Less developed regions, excluding China"	948	"65-69"	57778.54	69284.717	81129.309	92068.86	103815.685	117549.727	135252.977	148053.058	158695.622	169039.952	178979.301	189841.12	201821.524	190285.78	182384.857	177340.564	180695.224
"Less developed regions, excluding China"	948	"70-74"	37107.32	47791.513	57865.998	68425.615	78280.944	88946.292	101479.016	117692.099	129743.076	139892.19	149910.535	159604.754	170181.696	181879.21	172272.376	165821.144	161897.778
"Less developed regions, excluding China"	948	"75-79"	23080.061	27789.571	36290.3	44518.309	53307.503	61677.941	70792.774	81668.085	95711.252	106479.785	115876.334	125148.542	134244.451	144175.137	155323.655	147962.793	143210.09
"Less developed regions, excluding China"	948	"80-84"	13013.3	14947.767	18346.894	24387.542	30402.056	37046.534	43490.844	50632.427	59230.569	70303.049	79285.821	87300.547	95271.984	103228.354	112033.149	121858.674	116876.106
"Less developed regions, excluding China"	948	"85-89"	5706.596	6859.121	8054.661	10112.341	13716.557	17466.5	21756.391	26055.646	30854.336	36678.569	44315.399	50825.312	56843.144	62889.904	69139.334	75954.687	83534.901
"Less developed regions, excluding China"	948	"90-94"	1837.551	2298.712	2818.477	3393.235	4358.139	6051.565	7905.675	10134.02	12425.119	14991.185	18199.837	22428.151	26282.084	30005.716	33846.39	37831.101	42136.131
"Less developed regions, excluding China"	948	"95-99"	390.521	535.013	681.801	848.806	1045.095	1371.941	1943.373	2617.883	3461.407	4352.396	5373.291	6662.467	8390.086	10094.194	11853.835	13662.333	15559.557
"Less developed regions, excluding China"	948	"100+"	57.503	86.696	120.76	157.159	197.842	247.774	325.849	459.388	635.655	866.181	1128.275	1427.795	1802.61	2306.434	2870.994	3485.234	4131.869
"High-income countries"	1503	"0-4"	35787.475	31760.769	28928.029	28630.163	28565.703	28073.036	26628.165	24612.801	22913.056	21931.813	21423.28	20900.654	20086.236	19014.82	17928.625	17028.307	16345.838
"High-income countries"	1503	"5-9"	42108.486	36149.681	32125.676	29302.488	29007.358	28944.682	28453.745	26993.331	24960.055	23241.995	22241.864	21714.15	21172.185	20338.532	19247.905	18142.396	17222.756
"High-income countries"	1503	"10-14"	42087.077	42546.449	36587.501	32571.433	29752.215	29459.035	29397.419	28886.894	27404.603	25349.507	23609.244	22586.588	22036.134	21471.273	20614.734	19501.286	18372.894
"High-income countries"	1503	"15-19"	41291.15	42814.964	43175.804	37232.255	33224.279	30412.118	30121.97	30031.082	29488.507	27974.512	25887.681	24115.128	23059.546	22475.731	21877.293	20987.25	19840.353
"High-income countries"	1503	"20-24"	42974.084	42613.425	43914.841	44254.843	38250.235	34263.556	31456.376	31121.749	30980.82	30388.124	28824.766	26688.886	24865.953	23758.572	23121.866	22470.224	21527.038
"High-income countries"	1503	"25-29"	48377.446	44583.692	44034.988	45251.454	45499.551	39533.641	35554.029	32700.013	32304.968	32101.051	31445.407	29820.714	27623.568	25737.941	24565.765	23862.972	23144.899
"High-income countries"	1503	"30-34"	51041.574	49205.98	45490.843	44944.635	46169.173	46435.624	40506.209	36504.192	33615.181	33174.663	32922.12	32218.367	30547.103	28304.112	26370.684	25148.301	24393.89
"High-income countries"	1503	"35-39"	51006.163	50892.393	49266.452	45770.212	45243.087	46492.543	46781.987	40875.606	36878.314	33985.495	33528.857	33256.978	32533.949	30846.046	28586.737	26634.818	25391.194
"High-income countries"	1503	"40-44"	48683.27	50423.368	50466.835	48963.4	45638.452	45126.586	46422.961	46718.559	40857.03	36889	34015.042	33563.112	33291.444	32569.663	30885.592	28630.468	26680.332
"High-income countries"	1503	"45-49"	49226.911	47769.515	49754.033	49771.281	48485.933	45245.568	44801.23	46110.928	46420	40629.44	36711.334	33874.251	33438.901	33179.318	32469.812	30801.98	28564.003
"High-income countries"	1503	"50-54"	47379.862	48013.184	46737.121	48790.997	48873.172	47756.627	44658.653	44255.837	45584.185	45916.069	40229.532	36387.362	33606.236	33199.668	32960.539	32272.88	30632.934
