"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	62.1234	64.6714	67.0616	69.2484	71.1847	73.1064	74.9495	76.7215	78.4061	80.0663	81.556	82.9659	84.2548	85.3707	86.2359	86.9506	87.6124
"Albania"	8	77.1762	78.714	80.1916	81.5268	82.8264	83.9033	84.8121	85.6512	86.4566	87.2555	87.8987	88.6334	89.336	90.054	90.7745	91.4794	92.1382
"Algeria"	12	74.6866	76.5177	78.1089	79.6591	81.159	82.558	83.7728	84.7734	85.6515	86.5005	87.2278	87.9151	88.5831	89.2278	89.9301	90.5109	91.081
"Antigua and Barbuda"	28	75.3319	76.8073	78.1472	79.5574	80.9358	82.21	83.388	84.433	85.2824	86.0883	86.8984	87.5785	88.2927	89.1133	89.8141	90.5635	91.1961
"Argentina"	32	74.3114	75.8906	77.4006	78.899	80.258	81.4441	82.4824	83.4787	84.3039	85.1659	85.9878	86.7726	87.5695	88.3485	89.0556	89.7833	90.5315
"Armenia"	51	72.6084	73.9052	75.1209	76.3596	77.5789	78.8393	80.0197	81.0548	82.0331	82.9031	83.6738	84.5031	85.2266	85.9179	86.581	87.2765	87.8534
"Aruba"	533	74.6867	75.8523	77.0093	78.0941	79.2005	80.2704	81.3012	82.3549	83.3421	84.1972	85.0421	85.7246	86.4418	87.0473	87.6898	88.304	88.8688
"Australia"	36	81.9658	83.2468	84.3516	85.325	86.2442	87.149	87.9945	88.83	89.6404	90.4706	91.2238	91.9684	92.7282	93.4054	94.1448	94.8855	95.5685
"Austria"	40	80.6569	82.1171	83.2624	84.3847	85.3475	86.2421	87.1469	87.9852	88.7779	89.5063	90.322	91.1089	91.861	92.5444	93.2734	93.9701	94.7711
"Azerbaijan"	31	69.2195	70.2817	71.236	72.1869	73.0632	74.1236	75.1224	76.083	77.0339	78.0814	79.1638	80.3211	81.3324	82.2532	83.1036	83.9173	84.6245
"Bahamas"	44	74.1066	75.5715	76.97	78.3386	79.6566	81.0187	82.2506	83.1684	84.1179	84.9771	85.8096	86.5377	87.2376	87.963	88.6928	89.4011	90.1487
"Bahrain"	48	77.4676	78.6931	79.8112	80.8588	81.912	82.8923	83.8581	84.8422	85.6256	86.3056	86.8417	87.4102	87.9895	88.6756	89.2735	89.8564	90.4087
"Bangladesh"	50	73.3016	76.0195	78.5131	80.8659	82.803	84.3611	85.4083	86.1524	86.8138	87.4716	87.9938	88.6392	89.1482	89.566	90.0521	90.6539	91.0529
"Barbados"	52	74.9082	76.3417	77.69	79.0584	80.3082	81.5321	82.7275	83.7765	84.8287	85.6175	86.3605	87.0814	87.7419	88.5077	89.1468	89.7852	90.4468
"Belarus"	112	67.138	68.3443	69.4628	70.626	71.7398	72.8447	73.9236	75.083	76.151	77.2048	78.3313	79.3383	80.1992	81.0018	81.7991	82.5152	83.1512
"Belgium"	56	80.0766	81.6208	82.8466	83.9387	84.9219	85.803	86.6694	87.5198	88.2884	89.0556	89.7893	90.5426	91.3088	92.0326	92.71	93.3604	94.1164
"Belize"	84	69.0206	70.0846	71.1004	72.113	73.0155	74.038	75.0415	76.1353	77.1501	78.2548	79.3918	80.5161	81.5847	82.7104	83.5841	84.4606	85.2668
"Benin"	204	60.3409	61.912	63.3879	64.6907	65.8615	66.9428	67.9915	68.8414	69.8348	70.7206	71.7194	72.648	73.6426	74.5393	75.7156	76.8918	78.0435
"Bhutan"	64	71.9072	74.014	75.8468	77.524	79.0388	80.5039	81.8811	83.1317	84.3272	85.2935	86.1142	86.7704	87.3982	88.0007	88.6815	89.241	89.9342
"Bolivia (Plurinational State of)"	68	68.5916	70.9965	73.2041	75.2364	77.1326	78.9508	80.6451	82.1076	83.3443	84.3972	85.3293	86.1337	86.821	87.5219	88.259	88.8689	89.536
