"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"World"	900	73.91743406	74.93925359	75.90177362	76.79961643	77.63867808	78.40480505	79.12760438	79.79651243	80.41642166	81.00426485	81.57595417	82.10371881	82.62696614	83.13240612	83.63042705	84.12503727	84.60137064
"More developed regions"	901	82.14293523	82.8334434	83.48817194	84.09595801	84.67648164	85.25302216	85.82265581	86.39896074	86.94987367	87.49159855	88.02710799	88.58364241	89.15464674	89.7268778	90.26560025	90.78670783	91.28660719
"Less developed regions"	902	71.99347866	73.14570805	74.24569652	75.28203162	76.25804262	77.13810996	77.95397488	78.69230061	79.36882202	80.00488067	80.61847965	81.17444	81.71531427	82.22825356	82.73274344	83.23590253	83.7227441
"Least developed countries"	941	65.56346474	67.19729929	68.71390492	70.11690157	71.4010087	72.57844682	73.66586262	74.66695743	75.56598761	76.37552113	77.12326359	77.78830204	78.39405591	78.984637	79.54465124	80.09858965	80.62954896
"Other less developed countries"	934	73.37179326	74.45572123	75.48840585	76.45458548	77.36432453	78.1932348	78.97406768	79.69018845	80.36317808	81.00731228	81.646496	82.23767683	82.82673132	83.38250843	83.93107762	84.47144825	84.99426006
"Less developed regions, excluding China"	948	70.50085012	71.73589481	72.89049644	73.9830026	74.99942107	75.92167147	76.77114371	77.55593434	78.28747187	78.96028198	79.60786319	80.19956853	80.77580356	81.32456741	81.85591353	82.37664649	82.86858433
"High-income countries"	1503	82.59961161	83.30870837	83.97471171	84.58801624	85.16939764	85.74065201	86.30015801	86.86376912	87.39675677	87.91844406	88.4302672	88.95476165	89.49149581	90.03355269	90.55488077	91.06292958	91.55693592
"Middle-income countries"	1517	72.70230163	73.78929867	74.82185015	75.79072479	76.70948767	77.55248019	78.3486334	79.07822661	79.76006824	80.41143752	81.0513772	81.64433978	82.23218604	82.78759578	83.33195194	83.86800561	84.38827358
"Upper-middle-income countries"	1502	76.96404731	77.88103045	78.78665337	79.62753778	80.4746302	81.28891342	82.09096797	82.81163933	83.4670857	84.14213924	84.79721948	85.4141531	86.02913876	86.60502181	87.16054485	87.69592217	88.23421797
"Lower-middle-income countries"	1501	69.50190118	70.71062385	71.81443578	72.84919622	73.82685072	74.73289044	75.59536505	76.42411416	77.22895102	77.98077514	78.72159381	79.40700815	80.08001628	80.7148182	81.32849961	81.92267215	82.48382734
"Low-income countries"	1500	64.19444475	66.00434903	67.71969865	69.32060889	70.75199282	72.01495836	73.145472	74.16951863	75.10262734	75.94488387	76.7346576	77.43086183	78.06307798	78.67714918	79.2655057	79.85031557	80.39724168
"Sub-Saharan Africa"	947	60.55375149	62.33947974	64.16768661	65.92848043	67.57055689	69.06131863	70.42619276	71.67216067	72.81914769	73.86283378	74.84751123	75.71571926	76.53096082	77.30130218	78.01612349	78.69225505	79.35533878
"Africa"	903	62.83554363	64.45638028	66.1050836	67.71031561	69.21592949	70.58117278	71.8254165	72.95463227	73.98489737	74.92322436	75.80451662	76.57698137	77.31036528	78.01738949	78.68310353	79.31813786	79.94086014
"Eastern Africa"	910	65.13245405	66.97351	68.77883202	70.47077835	71.94854105	73.21547025	74.34977003	75.32646012	76.18324203	76.98022689	77.70130029	78.36237916	78.97264075	79.54644547	80.09666347	80.62799543	81.14923029
"Burundi"	108	60.2	61.99	63.94	65.87	67.65	69.25	70.61	71.73	72.84	73.93	74.92	75.71	76.41	77.08	77.72	78.34	78.95
"Comoros"	174	65.95	67.26	68.49	69.6	70.62	71.66	72.59	73.49	74.34	75.23	76.07	76.9	77.68	78.41	79.18	79.99	80.76
"Djibouti"	262	64.44	65.55	66.6	67.57	68.54	69.49	70.35	71.24	72.09	72.94	73.71	74.52	75.33	76.09	76.86	77.64	78.42
"Eritrea"	232	67.27	69.11	70.74	72.11	73.31	74.41	75.34	76.16	76.97	77.69	78.38	79.01	79.61	80.26	80.86	81.36	81.93
"Ethiopia"	231	67.8	69.9	71.69	73.39	74.83	75.93	76.92	77.84	78.71	79.53	80.23	80.84	81.42	81.98	82.54	83.08	83.62
"Kenya"	404	65.45	66.76	68.23	69.72	71.26	72.76	74.03	75.06	75.99	76.88	77.75	78.58	79.34	79.97	80.57	81.15	81.71
"Madagascar"	450	68.01	69.83	71.45	72.88	74.08	75.19	76.12	77.05	77.84	78.55	79.33	80.01	80.6	81.19	81.82	82.37	82.94
"Malawi"	454	66.64	69.14	71.47	73.2	74.58	75.75	76.79	77.62	78.31	78.98	79.56	80.05	80.51	80.96	81.4	81.85	82.29
"Mauritius"	480	78.46	79.17	79.86	80.53	81.17	81.79	82.4	82.97	83.6	84.2	84.73	85.27	85.84	86.43	86.96	87.48	88.05
"Mayotte"	175	83.86	84.75	85.58	86.38	87.16	87.89	88.58	89.26	89.95	90.58	91.2	91.79	92.41	93	93.63	94.19	94.78
"Mozambique"	508	57.33	59.36	62.01	64.66	66.96	68.94	70.79	72.15	73.07	73.84	74.57	75.28	75.98	76.68	77.39	78.1	78.75
"Reunion"	638	83.84	84.73	85.56	86.36	87.12	87.86	88.55	89.24	89.9	90.59	91.21	91.86	92.47	93.07	93.66	94.23	94.81
"Rwanda"	646	68.33	70.33	71.93	73.5	74.9	76.01	76.96	77.84	78.68	79.47	80.18	80.79	81.37	81.92	82.47	83.01	83.54
"Seychelles"	690	78.58	79.28	79.88	80.51	81.09	81.67	82.23	82.77	83.31	83.86	84.35	84.86	85.35	85.85	86.33	86.82	87.32
"Somalia"	706	58.21	59.89	61.52	63.09	64.62	65.98	67.34	68.6	69.68	70.77	71.66	72.71	73.63	74.39	75.05	75.7	76.43
"South Sudan"	728	58.1	60.1	61.9	63.56	65.04	66.37	67.49	68.52	69.5	70.3	71.05	71.74	72.45	73.15	73.73	74.35	75
"Uganda"	800	63.07	64.74	66.26	67.86	69.3	70.44	71.46	72.51	73.5	74.38	75.1	75.77	76.43	77.08	77.72	78.34	78.95
"United Republic of Tanzania"	834	67.66	69.52	71.25	72.75	73.96	75.03	76.02	76.83	77.52	78.18	78.82	79.42	79.93	80.42	80.9	81.37	81.83
"Zambia"	894	64.7	66.35	68.95	71.02	72.6	73.88	74.92	75.64	76.25	76.99	77.71	78.38	79.01	79.6	80.13	80.59	81.03
"Zimbabwe"	716	64.01	65.82	67.52	69.09	70.55	71.86	73	73.84	74.57	75.36	76.15	76.93	77.68	78.36	78.96	79.56	80.15
"Middle Africa"	911	58.9868136	60.88769313	62.86816583	64.76487186	66.5377169	68.18172336	69.65226187	71.02547136	72.30045647	73.41041346	74.50233348	75.42773934	76.25925378	77.05028949	77.79717072	78.5480334	79.19441263
"Angola"	24	55.23	57.16	59.19	61.24	63.2	65.04	66.76	68.32	69.76	71.04	72.21	73.29	74.28	75.19	76.04	76.84	77.59
"Cameroon"	120	58.23	60.38	62.89	65.2	67.31	69.12	70.59	72	73.23	74.34	75.27	76.02	76.74	77.44	78.09	78.73	79.35
"Central African Republic"	140	55.45	58.28	61.15	64.04	66.68	69.11	71.08	72.72	74.2	75.35	76.3	77.19	78.05	78.87	79.64	80.29	80.91
"Chad"	148	53.64	55.14	56.74	58.28	59.9	61.52	63.09	64.77	66.34	67.98	69.58	71.12	72.58	74.08	75.47	76.83	78.03
"Congo"	178	65.49	67.72	69.55	71.11	72.6	73.93	75.02	75.83	76.52	77.19	77.83	78.44	79.05	79.63	80.13	80.59	81.04
"Dem. Republic of the Congo"	180	61.38	63.2	65.02	66.75	68.34	69.84	71.18	72.42	73.61	74.58	75.62	76.44	77.13	77.8	78.43	79.12	79.66
"Equatorial Guinea"	226	60.01	61.8	63.86	66.07	68.21	70.09	71.95	73.67	75	76.24	77.48	78.67	79.69	80.6	81.47	82.3	83.12
"Gabon"	266	67.01	68.91	70.72	72.35	73.74	74.86	75.77	76.53	77.2	77.85	78.48	79.08	79.65	80.14	80.59	81.02	81.46
"Sao Tome and Principe"	678	68.96	69.73	70.43	71.1	71.77	72.38	73	73.61	74.23	74.8	75.4	76.01	76.55	77.08	77.63	78.17	78.71
"Northern Africa"	912	73.58620176	74.59477569	75.50577113	76.402648	77.25243318	78.02964721	78.74974127	79.42491861	80.02864887	80.64623667	81.21876416	81.72480154	82.23229001	82.7686444	83.29744911	83.811333	84.31190355
"Algeria"	12	77.98	79.02	79.93	80.76	81.52	82.23	82.93	83.56	84.21	84.79	85.37	85.93	86.52	87.02	87.55	88.07	88.6
"Egypt"	818	74.1	75.05	75.91	76.74	77.5	78.27	78.96	79.64	80.25	80.89	81.55	82.12	82.68	83.3	83.86	84.42	84.94
