"country_code"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
900	"WORLD"	-0.00199999999972533	4.2632564145606e-13	-4.54747350886464e-13	0.00100000000156797	0.00100000000384171	-0.00100000000020373	9.09494701772928e-13	-0.00199999999949796	-3.63797880709171e-12	1.81898940354586e-12	-0.00299999999879219	-0.00100000000020373	-3.63797880709171e-12	0	7.27595761418343e-12	0.00299999999515421	0	0.0029999999969732	-0.00200000000222644	-5.45696821063757e-12	0.00100000000747968	3.63797880709171e-12	0	-0.000999999994746759	0.00100000000747968	0.00100000000020373	0.00199999999676947	-0.00100000000020373	-0.00199999999949796	0
901	"More developed regions"	738.227	-142.154	2170.433	3562.616	6490.385	6598.829	5953.324	7163.312	11877.645	13246.908	15774.254	16431.047	11682.981	11755.901	11236.731	11365.477	11539.228	11551.381	11551.369	11551.165	10973.638	10396.073	9818.506	9240.946	8663.394	8085.846	7508.293	6930.738	6353.167	5775.615
902	"Less developed regions"	-738.229	142.154	-2170.433	-3562.615	-6490.384	-6598.83	-5953.324	-7163.314	-11877.645	-13246.908	-15774.257	-16431.048	-11682.981	-11755.901	-11236.731	-11365.474	-11539.228	-11551.378	-11551.371	-11551.165	-10973.637	-10396.073	-9818.506	-9240.947	-8663.39299999999	-8085.845	-7508.291	-6930.739	-6353.169	-5775.615
941	"Least developed countries"	-522.004	-578.054	-886.867	-862.527	-4824.809	-4350.241	-6377.448	-3756.561	1731.762	-3863.568	-4297.046	-8375.596	-4741.814	-4127.601	-4175.473	-4160.681	-4086.113	-4096.513	-4101.906	-4107.27	-3901.919	-3696.574	-3491.203	-3285.825	-3080.469	-2875.089	-2669.729	-2464.363	-2259.02	-2053.667
934	"Less developed regions, excluding least developed countries"	-216.225	720.208	-1283.566	-2700.088	-1665.575	-2248.589	424.124	-3406.753	-13609.407	-9383.34	-11477.211	-8055.452	-6941.167	-7628.3	-7061.258	-7204.793	-7453.115	-7454.865	-7449.465	-7443.895	-7071.718	-6699.499	-6327.303	-5955.122	-5582.924	-5210.756	-4838.562	-4466.376	-4094.149	-3721.948
948	"Less developed regions, excluding China"	-720.926	5.69300000000015	-1622.81	-3878.141	-5411.441	-6733.6	-5749.111	-7006.9	-11052.061	-13132.208	-13729.216	-14377.635	-10067.981	-10430.901	-9911.731	-10040.474	-10214.228	-10226.378	-10226.371	-10226.165	-9714.88899999999	-9203.577	-8692.252	-8180.945	-7669.639	-7158.345	-6647.041	-6135.741	-5624.415	-5113.115
1503	"High-income countries"	1794.493	1252.189	2586.308	3695.437	7063.494	8487.95	8440.905	9555.779	14025.989	16551.755	20293.353	24796.636	16451.736	13891.806	12840.69	12776.789	12926.324	12938.281	12948.117	12997.76	12347.828	11697.907	11047.933	10398.031	9748.114	9098.241	8448.341	7798.423	7148.496	6498.605
1517	"Middle-income countries"	-785.754	-793.83	-2014.686	-3305.768	-5507.642	-5367.78	-2750.143	-6483.384	-15276.709	-15037.052	-19526.862	-22139.312	-15295.74	-11896.99	-10770.853	-10633.87	-10793.172	-10794.877	-10799.351	-10843.633	-10301.497	-9759.34	-9217.088	-8674.939	-8132.75	-7590.576	-7048.36	-6506.156	-5963.909	-5421.591
1502	"Upper-middle-income countries"	-594.726	-542.872	-2360.505	-1839.887	-3199.18	-3418.981	-961.646	-2923.167	-8500.31	-5480.262	-5025.842	-4896.996	706.653	-3842.391	-5016.777	-3582.342	-2770.468	-2765.059	-2760.133	-2755.212	-2617.413	-2479.616	-2341.8	-2203.998	-2066.175	-1928.358	-1790.518	-1652.684	-1514.815	-1377.579
1501	"Lower-middle-income countries"	-191.028	-250.958	345.819	-1465.881	-2308.462	-1948.799	-1788.497	-3560.217	-6776.399	-9556.79	-14501.02	-17242.316	-16002.393	-8054.599	-5754.076	-7051.528	-8022.704	-8029.818	-8039.218	-8088.421	-7684.084	-7279.724	-6875.288	-6470.941	-6066.575	-5662.218	-5257.842	-4853.472	-4449.094	-4044.012
