"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Tunisia"	788	1.8207	1.6554	1.5291	1.436	1.3716	1.3349	1.3199	1.3257	1.3464	1.3762	1.4064	1.4397	1.467	1.492	1.5141	1.5303	1.5456
"Turkey"	792	1.7801	1.6229	1.5047	1.412	1.3417	1.2974	1.2712	1.2559	1.2575	1.2706	1.2905	1.3127	1.3399	1.3725	1.3967	1.4215	1.4439
"Turkmenistan"	795	1.9792	1.7978	1.6611	1.5541	1.4654	1.3951	1.3423	1.3103	1.2916	1.2848	1.2849	1.295	1.3121	1.3356	1.3589	1.3802	1.4052
"Uganda"	800	5.1469	4.5096	3.936	3.4361	3.0234	2.7032	2.4461	2.2571	2.1008	1.9715	1.8725	1.7871	1.7205	1.6585	1.6119	1.5715	1.5404
"Ukraine"	804	1.4365	1.4443	1.4567	1.4728	1.4868	1.4994	1.5125	1.5216	1.5312	1.5385	1.5462	1.5515	1.5554	1.5615	1.5661	1.5674	1.5709
"United Arab Emirates"	784	1.5069	1.3594	1.2528	1.1781	1.1299	1.1144	1.1199	1.1434	1.1778	1.2226	1.2635	1.303	1.3412	1.3759	1.4056	1.4306	1.4546
"United Kingdom"	826	1.795	1.7542	1.7292	1.7124	1.6997	1.6902	1.6828	1.6782	1.6746	1.6719	1.668	1.6658	1.6623	1.6617	1.6596	1.6571	1.655
"United Republic of Tanzania"	834	4.626	4.1827	3.7934	3.4401	3.1349	2.8705	2.6441	2.4629	2.308	2.1782	2.064	1.9724	1.8899	1.8244	1.7699	1.7199	1.6806
"United States of America"	840	1.7841	1.754	1.7355	1.7221	1.7151	1.71	1.7046	1.7007	1.6978	1.6969	1.6939	1.6903	1.6881	1.687	1.6853	1.6832	1.6833
"United States Virgin Islands"	850	1.9505	1.7786	1.6504	1.5466	1.4773	1.4286	1.4006	1.3919	1.3941	1.4102	1.4287	1.4498	1.4723	1.491	1.5094	1.5259	1.5387
"Uruguay"	858	1.7602	1.6237	1.5223	1.4533	1.408	1.3849	1.3786	1.3876	1.4001	1.4164	1.4311	1.447	1.4644	1.478	1.4932	1.5062	1.5153
"Uzbekistan"	860	2.0847	1.8958	1.7574	1.6493	1.5618	1.4925	1.4434	1.4128	1.3927	1.3865	1.3836	1.397	1.4095	1.4233	1.4408	1.458	1.4769
"Vanuatu"	548	2.9316	2.662	2.4522	2.2805	2.1376	2.0146	1.9104	1.8135	1.7363	1.6714	1.6146	1.5682	1.5277	1.4948	1.4726	1.4541	1.439
"Venezuela (Bolivarian Republic of)"	862	2.0471	1.8634	1.7208	1.6034	1.5065	1.4346	1.378	1.3435	1.3203	1.3109	1.3133	1.3251	1.3419	1.3633	1.3834	1.4065	1.4261
"Viet Nam"	704	1.8372	1.789	1.7567	1.7332	1.7151	1.7022	1.6907	1.6811	1.6743	1.6689	1.6648	1.6589	1.6552	1.6527	1.6503	1.648	1.644
"Western Sahara"	732	1.8295	1.6379	1.4861	1.3653	1.2683	1.1985	1.1525	1.1282	1.1308	1.1494	1.1781	1.2178	1.2567	1.2976	1.3387	1.3752	1.4063
"Yemen"	887	3.4691	2.95	2.5732	2.2773	2.0349	1.8244	1.6509	1.5021	1.3679	1.2608	1.175	1.1139	1.0763	1.0628	1.0623	1.0791	1.1142
"Zambia"	894	4.8545	4.4382	4.0724	3.7499	3.4599	3.2049	2.9743	2.7833	2.613	2.4683	2.3365	2.2217	2.1205	2.0313	1.956	1.888	1.8281
"Zimbabwe"	716	3.352	2.9669	2.6772	2.4448	2.2449	2.0767	1.9324	1.808	1.7006	1.6129	1.5424	1.4811	1.4347	1.4034	1.3817	1.3735	1.3753
