"name"	"country_code"	2015	2020	2025	2030	2035	2040	2045	2050	2055	2060	2065	2070	2075	2080	2085	2090	2095	2100
"WORLD"	900	7349472	7797707	8230400	8647692	9043542	9429975	9808098	10182121	10539949	10875267	11197399	11510493	11815985	12116537	12422420	12718194	13002043	13294186
"More developed regions"	901	1251351	1270372	1285809	1297232	1305427	1311708	1317580	1323148	1328654	1334271	1340220	1348303	1357543	1369653	1383258	1399200	1414858	1430978
"Less developed regions"	902	6098121	6529520	6949855	7358228	7750949	8130807	8510723	8879927	9239816	9577487	9896891	10210919	10517715	10805630	11110905	11407459	11681951	11959332
"Least developed countries"	941	954158	1076867	1209365	1351717	1503816	1663341	1833291	2008021	2190442	2379239	2572613	2768982	2966823	3165486	3368062	3569659	3771785	3980026
"Less developed regions, excluding least developed countries"	934	5143963	5455113	5746725	6016473	6266213	6498232	6722313	6933412	7126588	7301270	7459984	7615145	7753290	7892169	8030749	8163762	8304765	8440707
"Less developed regions, excluding China"	948	4690815	5089714	5489718	5889788	6283581	6679362	7075973	7467975	7854072	8219465	8583764	8934404	9278118	9602982	9929221	10242149	10541215	10833127
"High-income countries"	1503	1401479	1435934	1465313	1490379	1510720	1527789	1542556	1556267	1567795	1578503	1588324	1598550	1610316	1623408	1639170	1654490	1670326	1686230
"Middle-income countries"	1517	5306283	5632686	5940616	6228958	6497327	6749397	6994109	7227439	7444709	7637549	7814445	7985570	8155735	8313092	8479055	8641911	8805458	8953756
"Upper-middle-income countries"	1502	2390125	2481933	2559882	2622123	2669653	2706186	2736287	2761269	2773539	2774775	2767966	2760037	2751084	2746678	2743014	2746347	2749404	2758319
"Lower-middle-income countries"	1501	2916158	3155079	3394888	3630474	3860434	4089589	4319493	4547203	4768086	4979095	5188664	5389698	5580908	5760134	5953970	6129061	6305493	6487227
"Low-income countries"	1500	638735	731002	832376	943670	1064198	1193630	1332665	1479274	1633413	1794592	1959581	2129390	2301139	2477693	2654545	2835901	3019656	3203567
"Sub-Saharan Africa"	947	962287	1101946	1255632	1425237	1610730	1814102	2031404	2264008	2512323	2771464	3038347	3316173	3600062	3885645	4182601	4482358	4784984	5095181
"AFRICA"	903	1186178	1347543	1521898	1711688	1916863	2139485	2377307	2627497	2891402	3169460	3451899	3743459	4036396	4335713	4644519	4952629	5271060	5588983
"Eastern Africa"	910	394477	454983	521770	595435	675204	761527	853847	951904	1055569	1161699	1272968	1387404	1504453	1622916	1742378	1868475	1994763	2120710
"Burundi"	108	11179	13317	15663	18272	21306	24912	29108	33919	39270	45110	51752	59196	67377	76050	85445	95820	107167	119047
"Comoros"	174	788	897	1015	1142	1279	1427	1587	1760	1946	2148	2355	2570	2804	3052	3296	3570	3824	4120
"Djibouti"	262	888	963	1040	1116	1187	1253	1319	1384	1447	1510	1571	1629	1682	1737	1793	1846	1905	1953
"Eritrea"	232	5228	5991	6829	7739	8756	9858	11036	12280	13589	14976	16412	17934	19498	21129	22699	24403	26063	27765
"Ethiopia"	231	99391	114053	130380	148026	166547	186178	206505	228140	250024	272968	295993	319467	342622	364780	385827	405665	426526	445393
"Kenya"	404	46050	53066	60662	69064	78172	88217	99141	110957	123647	137004	151399	166249	181898	197983	214332	231999	249665	268002
"Madagascar"	450	24235	28254	32854	38035	43674	50056	57103	64983	73717	83067	93417	104232	116127	128928	142497	156216	170813	186774
"Malawi"	454	17215	20348	23936	28115	32862	38295	44488	51283	58829	67071	76083	85736	96171	107312	118967	131151	144700	158620
"Mauritius"	480	1273	1307	1338	1364	1382	1388	1388	1384	1381	1379	1377	1370	1360	1350	1341	1335	1332	1330
"Mayotte"	175	240	278	318	362	409	460	513	569	625	684	745	807	868	932	995	1056	1118	1179
"Mozambique"	508	27978	32479	37697	43869	50984	59004	68104	78363	89751	102400	115889	130513	145917	163191	180993	199349	219252	239928
"Reunion"	638	861	902	944	984	1020	1050	1076	1098	1118	1136	1153	1171	1189	1210	1231	1252	1271	1290
"Rwanda"	646	11610	13220	14899	16661	18563	20555	22595	24655	26786	28867	30876	32743	34573	36315	37953	39512	41005	42327
"Seychelles"	690	96	100	102	105	107	108	110	111	112	112	113	115	116	118	120	122	124	126
"Somalia"	706	10787	12599	14810	17415	20442	23941	28036	32670	38058	43983	50664	58125	66416	75457	85244	96027	108333	120125
"South Sudan"	728	12340	14351	16522	18856	21439	24253	27380	30848	34572	38561	42843	47342	52231	57209	62455	67825	73649	79582
"Uganda"	800	39032	46560	55351	65581	77313	90757	106053	123403	142587	163818	187205	213635	241709	272576	305898	338901	376489	415561
"United Republic of Tanzania"	834	53470	63238	74432	87428	102516	119791	139526	161773	186591	214337	245233	279048	315603	354838	398609	444564	493882	545671
"Zambia"	894	16212	19164	22581	26597	31259	36612	42794	49916	57995	66941	77132	88242	100443	114095	129226	145484	163422	183301
"Zimbabwe"	716	15603	17794	20098	22564	25259	28169	31307	34605	37929	41212	44615	48141	51554	54874	58399	61630	64862	68100
"Middle Africa"	911	151952	177541	206661	239831	277113	318557	364567	415498	471244	530397	594558	663285	737427	814805	897694	981663	1066718	1154260
"Angola"	24	25022	29684	35149	41615	49219	57954	68131	79690	93108	107897	124618	143389	163993	186405	210866	236190	264296	295128
