"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"World"	900	2.472353545	2.425839135	2.384866547	2.345441936	2.307309193	2.275934352	2.24849839	2.21929955	2.184715092	2.15238913	2.123967885	2.098956326	2.075378291	2.051948581	2.029299615	2.00644673	1.985161251
"More developed regions"	901	1.692123214	1.719670423	1.751465916	1.77436007	1.792631326	1.808395441	1.821641663	1.832774483	1.841975362	1.849297356	1.856084803	1.861504749	1.866112183	1.870094469	1.873887626	1.876851743	1.879504627
"Less developed regions"	902	2.582394225	2.518008451	2.465330973	2.416831964	2.369526346	2.330817668	2.297471642	2.262325438	2.22189146	2.185275344	2.153345952	2.12499917	2.098027316	2.071306384	2.04570459	2.020197971	1.996533952
"Least developed countries"	941	3.975394503	3.718849388	3.504894714	3.326539138	3.173698708	3.035416811	2.908756809	2.793784168	2.689937908	2.598049557	2.514708103	2.439594887	2.36847934	2.302699508	2.243198274	2.18698956	2.135933133
"Other less developed countries"	934	2.316036517	2.260986436	2.216810112	2.176020893	2.136875841	2.109759165	2.089494726	2.066512257	2.037305948	2.0123436	1.993449594	1.978340122	1.965329071	1.952096654	1.939457357	1.92712767	1.91612482
"Less developed regions, excluding China"	948	2.845564226	2.728575545	2.63038518	2.546858736	2.475921993	2.418740418	2.368116403	2.31946935	2.272715515	2.230670887	2.193033844	2.159060722	2.126948551	2.096081208	2.067280132	2.039106229	2.01278438
"High-income countries"	1503	1.758283326	1.771017243	1.789252602	1.802458228	1.81035704	1.816106075	1.822606164	1.828740372	1.834331986	1.840038604	1.845646395	1.849903629	1.853465005	1.856898989	1.860744983	1.864269172	1.867722446
"Middle-income countries"	1517	2.363787253	2.307301768	2.259214132	2.215864899	2.176729218	2.149685613	2.128961143	2.10552718	2.075665868	2.049493716	2.029438598	2.013346553	1.999135553	1.984255005	1.969760056	1.955039062	1.941454085
"Upper-middle-income countries"	1502	1.855546188	1.836888288	1.834685819	1.847638031	1.860485329	1.872696226	1.887141899	1.89773132	1.898502372	1.898880444	1.900532992	1.903048588	1.904653648	1.903177542	1.900189035	1.893875912	1.887568991
"Lower-middle-income countries"	1501	2.749191333	2.623247141	2.516268699	2.425568118	2.349879356	2.291591785	2.241279015	2.194591965	2.151864582	2.115422694	2.085652558	2.060210741	2.037983171	2.016954437	1.998029275	1.980339992	1.963807274
"Low-income countries"	1500	4.516555916	4.174816631	3.882164781	3.634160359	3.423321183	3.237019806	3.070249923	2.9216357	2.789388786	2.674748155	2.572743389	2.483015781	2.399987985	2.325038073	2.25781107	2.195510109	2.140145464
"Sub-Saharan Africa"	947	4.748279531	4.422140123	4.127038107	3.86237279	3.62720597	3.41703194	3.228926542	3.061196093	2.9117583	2.78001115	2.664594606	2.562782925	2.470049708	2.386434619	2.311638705	2.243482032	2.182437943
"Africa"	903	4.414852046	4.142508537	3.892785346	3.663862252	3.457241723	3.272368962	3.108297917	2.961492454	2.828802187	2.709462682	2.603631137	2.509983976	2.425175189	2.348521236	2.279837526	2.216460266	2.159597511
"Eastern Africa"	910	4.523592633	4.158239704	3.850909692	3.592079844	3.374899438	3.187524409	3.023522582	2.878818088	2.750950459	2.640796852	2.545307028	2.461041248	2.383945696	2.315474719	2.254440431	2.198183052	2.148035424
"Burundi"	108	5.6581	5.2642	4.8918	4.5485	4.2327	3.9459	3.6948	3.4753	3.2785	3.104	2.9543	2.822	2.7036	2.5958	2.502	2.4077	2.331
"Comoros"	174	4.2331	3.9122	3.633	3.3932	3.1893	3.0142	2.8605	2.7296	2.6086	2.502	2.4046	2.3158	2.2334	2.16	2.097	2.0424	1.9972
"Djibouti"	262	2.9862	2.7417	2.5541	2.403	2.2795	2.1765	2.0873	2.0159	1.958	1.9115	1.8765	1.8503	1.83	1.8174	1.8113	1.8062	1.8051
"Eritrea"	232	4.0249	3.6967	3.4142	3.1776	2.9822	2.8142	2.6707	2.5508	2.442	2.3414	2.2553	2.1755	2.1093	2.0514	2.0015	1.9639	1.9326
"Ethiopia"	231	3.9901	3.4946	3.1124	2.8212	2.6019	2.4267	2.2833	2.1662	2.0666	1.9866	1.925	1.8778	1.842	1.8181	1.8011	1.7911	1.7865
"Kenya"	404	4.1001	3.8089	3.5593	3.3434	3.1571	2.9964	2.8506	2.7214	2.6018	2.4916	2.3926	2.3014	2.2139	2.1389	2.0732	2.0178	1.9724
"Madagascar"	450	4.2082	3.944	3.7122	3.5104	3.3292	3.1694	3.0269	2.9018	2.7868	2.6807	2.5868	2.4977	2.4147	2.3354	2.2646	2.2001	2.1377
"Malawi"	454	4.8768	4.5392	4.231	3.9588	3.7161	3.5063	3.3195	3.1567	3.0095	2.8786	2.7578	2.651	2.551	2.4608	2.3773	2.2984	2.2273
"Mauritius"	480	1.4403	1.4315	1.4685	1.5085	1.5458	1.5801	1.6123	1.6422	1.6677	1.6901	1.7108	1.7287	1.744	1.7561	1.7688	1.7794	1.7888
