"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	4.6006	4.0702	3.6551	3.3315	3.0805	2.8754	2.7082	2.5684	2.4511	2.3495	2.2673	2.2047	2.1588	2.126	2.105	2.0924	2.0809
"Albania"	8	1.9003	1.9369	1.9624	1.9816	1.9992	2.0122	2.0236	2.034	2.0455	2.0523	2.0587	2.0665	2.0724	2.0778	2.0826	2.0862	2.0912
"Algeria"	12	2.8713	2.7409	2.6328	2.5428	2.466	2.4025	2.3519	2.3115	2.2796	2.2559	2.2342	2.2221	2.2122	2.2029	2.193	2.1893	2.1833
"Angola"	24	6.0648	5.8041	5.5414	5.2808	5.0324	4.784	4.5614	4.3521	4.1641	3.9865	3.8271	3.6786	3.5525	3.4378	3.331	3.2363	3.147
"Antigua and Barbuda"	28	2.2519	2.2581	2.2431	2.2253	2.2074	2.192	2.1756	2.1644	2.1533	2.1453	2.1391	2.1336	2.1291	2.1287	2.1274	2.1264	2.1254
"Argentina"	32	2.5011	2.5089	2.4979	2.4727	2.4455	2.4168	2.3853	2.3528	2.3225	2.2938	2.2675	2.2472	2.2273	2.2113	2.1975	2.1845	2.175
"Armenia"	51	1.7063	1.7611	1.8004	1.8327	1.8603	1.8874	1.9101	1.9302	1.9493	1.9643	1.9801	1.9921	2.0066	2.0168	2.0264	2.0352	2.0462
"Aruba"	533	1.8301	1.8707	1.8974	1.9166	1.9388	1.9546	1.9717	1.985	1.9989	2.012	2.0212	2.0296	2.0382	2.0472	2.0533	2.062	2.0683
"Australia"	36	2.0769	2.0932	2.0918	2.0898	2.0874	2.085	2.0822	2.0808	2.0811	2.0821	2.0831	2.0825	2.0863	2.0889	2.0913	2.0937	2.0969
"Austria"	40	1.6451	1.7387	1.81	1.8622	1.9054	1.9379	1.9672	1.9915	2.0122	2.0276	2.0419	2.0539	2.0641	2.0757	2.0843	2.0898	2.0955
"Azerbaijan"	31	2.3742	2.3601	2.3393	2.3173	2.2965	2.278	2.261	2.2456	2.2318	2.22	2.2098	2.2016	2.1939	2.1867	2.1828	2.1758	2.1749
"Bahamas"	44	2.043	2.0609	2.0625	2.0602	2.059	2.0609	2.06	2.0601	2.0609	2.063	2.0652	2.0686	2.0723	2.0747	2.0795	2.0821	2.0855
"Bahrain"	48	2.2021	2.1796	2.1454	2.1106	2.0804	2.0592	2.0469	2.0372	2.0321	2.0301	2.0323	2.0342	2.0396	2.0431	2.0471	2.0508	2.057
"Bangladesh"	50	2.3091	2.259	2.1997	2.152	2.1106	2.0786	2.0599	2.048	2.0412	2.0372	2.0402	2.0427	2.0445	2.0507	2.0549	2.0587	2.0636
"Barbados"	52	1.9122	1.9603	1.9923	2.0176	2.0385	2.057	2.0696	2.0832	2.0922	2.1022	2.1083	2.1142	2.122	2.1285	2.1324	2.1344	2.137
"Belarus"	112	1.7611	1.8489	1.9108	1.9567	1.992	2.0213	2.0444	2.0643	2.0792	2.0908	2.1029	2.1141	2.1219	2.1275	2.1326	2.1395	2.1434
"Belgium"	56	1.9437	1.9941	2.0271	2.0544	2.0738	2.0885	2.103	2.1152	2.124	2.1313	2.1388	2.1431	2.1474	2.1526	2.1555	2.1585	2.16
"Belize"	84	2.7092	2.6489	2.5786	2.5141	2.45	2.3921	2.3391	2.29	2.2471	2.2128	2.1817	2.158	2.1402	2.1257	2.1153	2.1094	2.1042
"Benin"	204	4.8051	4.5887	4.3731	4.1733	3.9969	3.8313	3.6868	3.5537	3.4336	3.3239	3.2243	3.1349	3.0524	2.9766	2.9003	2.8355	2.7741
"Bhutan"	64	2.16	2.1107	2.0624	2.0266	2.0054	1.9918	1.9864	1.9872	1.9906	1.9951	2.0027	2.009	2.0178	2.027	2.0313	2.0406	2.0472
"Bolivia (Plurinational State of)"	68	3.1034	3.025	2.9469	2.8755	2.8032	2.7382	2.6772	2.6173	2.5598	2.5117	2.4599	2.4112	2.3687	2.3275	2.2884	2.2555	2.2285
"Bosnia and Herzegovina"	70	1.4202	1.5147	1.5891	1.6541	1.7091	1.7572	1.7971	1.833	1.8633	1.8912	1.9148	1.9378	1.9582	1.9739	1.988	1.9994	2.0119
"Botswana"	72	2.9281	2.8285	2.7241	2.6359	2.5556	2.4823	2.4176	2.3579	2.3063	2.2609	2.2249	2.1972	2.1723	2.1577	2.141	2.1323	2.1261
"Brazil"	76	1.9589	1.9747	1.9777	1.9784	1.9825	1.9854	1.9907	1.9964	2.0043	2.0105	2.019	2.0257	2.0346	2.0433	2.0474	2.0554	2.0597
"Brunei Darussalam"	96	2.0373	2.0419	2.0322	2.0251	2.0191	2.0186	2.0188	2.0208	2.024	2.0279	2.0327	2.0383	2.0422	2.0484	2.0552	2.0592	2.0649
"Bulgaria"	100	1.7154	1.811	1.8811	1.9325	1.9724	2.0054	2.0306	2.0501	2.066	2.0795	2.0891	2.1026	2.1084	2.1165	2.1217	2.1264	2.1301
"Burkina Faso"	854	5.5274	5.2791	5.0296	4.7937	4.5755	4.3747	4.1828	4.0079	3.8519	3.7115	3.5811	3.4654	3.357	3.2604	3.1728	3.0858	3.0131
"Burundi"	108	5.9382	5.6847	5.4316	5.188	4.9523	4.738	4.5377	4.3471	4.179	4.0271	3.8897	3.7544	3.6341	3.5247	3.4198	3.327	3.2474
"Cabo Verde"	132	2.4282	2.3669	2.3001	2.2464	2.2002	2.1601	2.1292	2.1095	2.0957	2.0823	2.0756	2.0713	2.0707	2.0699	2.0707	2.0746	2.0775
"Cambodia"	116	2.7859	2.7362	2.6806	2.6207	2.5624	2.5065	2.4594	2.4112	2.3602	2.3174	2.2775	2.2413	2.2146	2.1913	2.17	2.1534	2.1401
"Cameroon"	120	4.7579	4.5548	4.3548	4.1674	3.9929	3.8314	3.6935	3.5693	3.4493	3.3441	3.2508	3.167	3.0845	3.0088	2.9361	2.8717	2.8165
"Canada"	124	1.7678	1.8148	1.8468	1.8759	1.8993	1.9205	1.9392	1.9576	1.973	1.9876	2.0015	2.0143	2.0264	2.0341	2.0436	2.051	2.0573
"Central African Republic"	140	4.3292	4.12	3.9039	3.7082	3.5341	3.3768	3.2499	3.1286	3.0316	2.9437	2.8618	2.7874	2.7191	2.656	2.6011	2.5451	2.4924
"Chad"	148	6.0815	5.7595	5.4435	5.1435	4.863	4.6055	4.3727	4.1638	3.973	3.8031	3.6579	3.5123	3.3862	3.2774	3.1702	3.0727	2.9902
"Channel Islands"	830	1.6008	1.6712	1.726	1.772	1.8113	1.8445	1.8732	1.8962	1.9187	1.9382	1.9567	1.9714	1.9862	1.9992	2.0123	2.0205	2.0298
"Chile"	152	1.9378	1.9625	1.9736	1.9838	1.9936	2.0002	2.0094	2.0174	2.0265	2.0353	2.042	2.0509	2.0569	2.0627	2.0703	2.0755	2.0804
"China"	156	1.7059	1.7803	1.8359	1.8797	1.9167	1.9451	1.9696	1.9907	2.0081	2.0232	2.0351	2.0472	2.0587	2.0678	2.0734	2.0814	2.09
"China, Hong Kong SAR"	344	1.4158	1.5407	1.6362	1.7128	1.7767	1.8269	1.87	1.9088	1.9386	1.9645	1.986	2.0034	2.0197	2.0341	2.0479	2.0607	2.07
"China, Macao SAR"	446	1.4658	1.6235	1.7364	1.8185	1.8827	1.9311	1.9706	2.0015	2.0271	2.0463	2.063	2.0791	2.094	2.1031	2.1112	2.1159	2.126
"Colombia"	170	2.0467	2.0465	2.0366	2.0244	2.0177	2.0182	2.0168	2.02	2.0235	2.0275	2.0319	2.0374	2.0432	2.049	2.0548	2.0598	2.0653
"Comoros"	174	4.5354	4.3346	4.1377	3.9568	3.7965	3.643	3.5106	3.392	3.2884	3.1866	3.0975	3.0136	2.9369	2.865	2.799	2.7375	2.6783
"Congo"	178	4.9331	4.7676	4.5897	4.4178	4.255	4.1016	3.9643	3.8332	3.7131	3.5999	3.5021	3.4127	3.3298	3.2521	3.1787	3.111	3.0436
"Costa Rica"	188	1.978	1.9923	1.9966	1.9979	2.0003	2.001	2.0063	2.0132	2.0185	2.0252	2.0326	2.0382	2.0456	2.0517	2.0573	2.0631	2.0672
"Cote d'Ivoire"	384	5.0607	4.8789	4.6952	4.5168	4.3576	4.2056	4.0634	3.9342	3.8163	3.7026	3.6019	3.5043	3.411	3.3262	3.2424	3.1694	3.0956
"Croatia"	191	1.6757	1.7371	1.78	1.8178	1.8494	1.8778	1.9016	1.9246	1.9424	1.9615	1.9776	1.9904	2.0052	2.0162	2.0255	2.0361	2.0445
"Cuba"	192	1.7835	1.8297	1.8601	1.8831	1.9079	1.9284	1.9445	1.9602	1.9757	1.99	2.0002	2.0126	2.0253	2.0348	2.0431	2.0499	2.0558
"Curacao"	531	2.19	2.197	2.1952	2.1887	2.1833	2.1766	2.1708	2.1659	2.1631	2.1614	2.1583	2.1551	2.1562	2.1554	2.1555	2.1562	2.1561
"Cyprus"	196	1.6175	1.6845	1.7357	1.7795	1.8152	1.8479	1.8776	1.9023	1.9259	1.9451	1.9617	1.9783	1.9929	2.0074	2.0182	2.0283	2.0393
"Czech Republic"	203	1.6525	1.7584	1.8343	1.8901	1.9353	1.9696	1.999	2.0222	2.041	2.0549	2.0688	2.082	2.0902	2.1	2.1052	2.1111	2.1147
"Dem. People's Republic of Korea"	408	2.156	2.1634	2.1545	2.1452	2.1363	2.1274	2.1177	2.1146	2.1092	2.1091	2.1085	2.1077	2.1091	2.1091	2.1093	2.1098	2.112
"Democratic Republic of the Congo"	180	5.9544	5.655	5.3544	5.0734	4.8004	4.5569	4.3306	4.1285	3.9437	3.7792	3.6253	3.491	3.3744	3.2639	3.1703	3.0768	2.9995
"Denmark"	208	1.8739	1.9314	1.9697	1.9998	2.0251	2.0416	2.0566	2.0692	2.0767	2.0871	2.0939	2.101	2.1067	2.1128	2.1163	2.117	2.1233
"Djibouti"	262	3.2811	3.1443	3.0132	2.9006	2.8017	2.7128	2.6383	2.5683	2.5008	2.437	2.3807	2.3326	2.2857	2.2497	2.2198	2.193	2.1721
"Dominican Republic"	214	2.6141	2.5642	2.5017	2.434	2.3701	2.3136	2.2584	2.2187	2.181	2.1542	2.1344	2.1193	2.1069	2.1021	2.0985	2.0956	2.094
"Ecuador"	218	2.6864	2.6436	2.5914	2.5341	2.4744	2.4202	2.3692	2.3216	2.2736	2.2368	2.2027	2.1785	2.1574	2.1425	2.1323	2.1233	2.1182
"Egypt"	818	3.4372	3.3422	3.2469	3.1528	3.0692	2.9939	2.9196	2.8543	2.7935	2.7349	2.6777	2.6287	2.5766	2.5248	2.4758	2.4287	2.3877
"El Salvador"	222	2.095	2.0863	2.0647	2.0443	2.0269	2.0189	2.014	2.0125	2.0134	2.0155	2.0191	2.0257	2.0304	2.0366	2.0425	2.0483	2.0546
"Equatorial Guinea"	226	4.838	4.5767	4.3026	4.0553	3.83	3.6297	3.4536	3.2988	3.1721	3.0571	2.9595	2.8695	2.7917	2.7191	2.6537	2.5874	2.5327
"Eritrea"	232	4.3308	4.1319	3.9356	3.7529	3.5997	3.4538	3.328	3.2121	3.1105	3.0198	2.9362	2.8612	2.7865	2.7223	2.6668	2.6071	2.5525
"Estonia"	233	1.773	1.8576	1.9166	1.9596	1.9931	2.0182	2.0393	2.0555	2.0698	2.082	2.0904	2.0988	2.1074	2.1142	2.1191	2.1232	2.1248
"Ethiopia"	231	4.3323	3.9933	3.6989	3.4533	3.2508	3.0814	2.9381	2.8139	2.7045	2.6079	2.5256	2.4436	2.3751	2.3173	2.2627	2.2226	2.1879
"Fiji"	242	2.7188	2.6958	2.6485	2.5992	2.547	2.4937	2.4412	2.3944	2.3515	2.3087	2.2753	2.2453	2.2176	2.1972	2.1797	2.1673	2.1555
"Finland"	246	1.8754	1.9259	1.9606	1.9869	2.0066	2.0245	2.0383	2.0498	2.0598	2.0697	2.0767	2.0811	2.0871	2.0922	2.0954	2.1013	2.1032
"France"	250	2.1011	2.1348	2.1552	2.1701	2.1815	2.1917	2.1978	2.2056	2.2118	2.2143	2.2201	2.2237	2.2234	2.225	2.2294	2.2312	2.2318
"French Guiana"	254	3.5583	3.4791	3.3866	3.2994	3.2141	3.1403	3.0715	3.0173	2.9609	2.9076	2.8636	2.8109	2.7672	2.7221	2.6796	2.6362	2.5928
"French Polynesia"	258	2.2111	2.2086	2.1882	2.1651	2.1445	2.1239	2.1072	2.0961	2.0861	2.0797	2.0746	2.0716	2.0717	2.0711	2.0738	2.0776	2.0793
"Gabon"	266	3.9739	3.7998	3.6362	3.4862	3.3497	3.2287	3.1267	3.0317	2.9478	2.8773	2.8109	2.7491	2.6895	2.6328	2.5794	2.5289	2.4835
"Gambia"	270	5.8067	5.6942	5.5426	5.3466	5.1107	4.8485	4.5823	4.3271	4.0806	3.8494	3.6411	3.4612	3.3053	3.1667	3.0511	2.9451	2.8544
"Georgia"	268	1.9322	1.9795	2.0118	2.0369	2.0562	2.0708	2.0838	2.0973	2.1049	2.1135	2.1209	2.1279	2.1333	2.138	2.1393	2.1419	2.1472
"Germany"	276	1.5502	1.6348	1.6999	1.7533	1.7974	1.8372	1.8704	1.8977	1.9213	1.941	1.9603	1.976	1.9916	2.0052	2.0161	2.0252	2.0345
"Ghana"	288	4.2486	4.101	3.949	3.8086	3.6739	3.5537	3.4409	3.3418	3.2513	3.1685	3.0899	3.0175	2.952	2.8856	2.8279	2.7734	2.7186
"Greece"	300	1.4947	1.5783	1.6457	1.7033	1.7517	1.7934	1.8298	1.8609	1.889	1.9133	1.9356	1.956	1.973	1.9865	2.0005	2.0122	2.0238
"Grenada"	308	2.2997	2.2855	2.2518	2.2136	2.1789	2.1519	2.1303	2.1155	2.1023	2.0939	2.0875	2.0828	2.0821	2.0819	2.0837	2.0836	2.0865
"Guadeloupe"	312	2.2443	2.2397	2.2273	2.2177	2.2093	2.2027	2.1932	2.1876	2.183	2.1784	2.177	2.1742	2.1716	2.1705	2.1697	2.1672	2.1665
"Guam"	316	2.5517	2.539	2.5077	2.4653	2.4249	2.377	2.3377	2.3015	2.2656	2.239	2.2124	2.1909	2.1755	2.1633	2.1537	2.1452	2.1388
"Guatemala"	320	3.3258	3.219	3.1117	3.0166	2.9286	2.8451	2.7789	2.7133	2.6516	2.5956	2.5415	2.488	2.4422	2.3998	2.3532	2.3165	2.2797
