"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	61.2204	61.8985	62.6257	63.0845	63.6832	64.2531	64.7027	65.2692	65.7751	66.2131	66.725	67.097	67.4786	67.906	68.2376	68.6756	69.1289
"Albania"	8	80.0961	80.4714	80.8857	81.3334	81.7582	82.2494	82.6946	83.1582	83.6014	84.0139	84.4851	84.8488	85.3178	85.711	86.091	86.4522	86.8474
"Algeria"	12	76.9346	77.5002	78.0884	78.6465	79.1612	79.6919	80.1847	80.7051	81.1443	81.6309	82.0417	82.4937	82.9192	83.3498	83.7148	84.1524	84.4776
"Antigua and Barbuda"	28	78.0867	78.4379	78.8549	79.3251	79.7279	80.2291	80.7113	81.182	81.5466	81.9908	82.4142	82.8363	83.2538	83.689	84.0507	84.4789	84.8122
"Argentina"	32	79.6943	80.0496	80.4331	80.8389	81.2963	81.7831	82.2487	82.6884	83.1337	83.5372	83.9817	84.4532	84.9236	85.335	85.7538	86.148	86.5524
"Armenia"	51	78.0408	78.251	78.5312	78.8227	79.1376	79.4634	79.7659	80.1405	80.4566	80.8052	81.1082	81.4333	81.8416	82.1336	82.4268	82.7832	83.1506
"Aruba"	533	77.439	77.6431	77.8991	78.2405	78.5455	78.8667	79.2188	79.53	79.8517	80.1823	80.5187	80.8365	81.1908	81.5159	81.8764	82.2118	82.4597
"Australia"	36	84.2668	84.6465	85.0824	85.5169	85.9338	86.3812	86.8405	87.279	87.7419	88.2348	88.6362	89.1442	89.561	90.0064	90.441	90.8293	91.2999
"Austria"	40	83.6078	84.054	84.463	84.915	85.4135	85.8486	86.3132	86.7427	87.1972	87.664	88.0981	88.5369	88.9723	89.4625	89.8896	90.3268	90.7811
"Azerbaijan"	31	73.3327	73.4867	73.7097	74.0001	74.3145	74.6062	74.9038	75.26	75.6291	76.0247	76.3894	76.7686	77.1041	77.4876	77.8546	78.1371	78.5352
"Bahamas"	44	77.925	78.2263	78.6845	79.1326	79.5728	80.0198	80.4886	80.9029	81.2911	81.7239	82.1636	82.5926	83.0275	83.4282	83.8676	84.3019	84.7445
"Bahrain"	48	77.1995	77.471	77.8097	78.2272	78.5793	78.9496	79.3695	79.7827	80.1083	80.5069	80.9082	81.3373	81.7149	82.0794	82.4071	82.7815	83.1483
"Bangladesh"	50	72.6927	73.4524	73.9568	74.4802	74.96	75.4281	75.7922	76.2286	76.5637	76.9493	77.2209	77.5678	77.8329	78.2195	78.5037	78.9455	79.2223
"Barbados"	52	77.5673	77.9285	78.339	78.7279	79.2024	79.6206	80.0907	80.5389	80.9283	81.4247	81.8662	82.3017	82.7116	83.15	83.5465	83.994	84.3924
"Belarus"	112	76.4542	76.4988	76.6147	76.7791	76.9803	77.1423	77.3843	77.5545	77.6949	77.9193	78.1769	78.3775	78.6017	78.7606	78.9366	79.1784	79.4449
"Belgium"	56	82.9829	83.3563	83.7998	84.2621	84.6948	85.1087	85.5413	85.9979	86.4107	86.8369	87.2072	87.6052	88.0436	88.4862	88.8643	89.2716	89.6899
"Belize"	84	72.3716	72.6978	73.0336	73.4575	73.7983	74.2508	74.6727	75.1011	75.4874	75.8734	76.2251	76.6339	77.0191	77.4947	77.8396	78.1773	78.6173
"Benin"	204	60.4334	60.9364	61.5188	62.0588	62.6655	63.2886	63.8649	64.413	64.9727	65.5461	66.0515	66.5968	67.2334	67.6841	68.3035	68.7749	69.3331
"Bhutan"	64	69.6444	70.4733	71.2738	72.0258	72.6957	73.3007	73.8343	74.3569	74.9006	75.309	75.82	76.1948	76.599	77.0005	77.3795	77.8309	78.3179
"Bolivia (Plurinational State of)"	68	70.7364	71.6391	72.448	73.111	73.6767	74.305	74.7065	75.2134	75.6323	76.0142	76.4689	76.8811	77.1773	77.542	77.8903	78.2026	78.513
"Bosnia and Herzegovina"	70	78.6191	78.9735	79.3244	79.7278	80.1096	80.5867	80.9345	81.3873	81.7807	82.1221	82.5402	82.8829	83.274	83.6954	84.0368	84.414	84.7925
"Brazil"	76	78.0855	78.7073	79.3269	79.895	80.3989	80.961	81.4251	81.9257	82.4587	82.9579	83.3882	83.8203	84.2904	84.71	85.1231	85.581	85.9104
"Brunei Darussalam"	96	80.4208	80.8295	81.3615	81.8555	82.3694	82.8994	83.4213	83.9374	84.3625	84.8643	85.3148	85.7945	86.2738	86.7537	87.222	87.6571	88.0871
"Bulgaria"	100	77.0889	77.1628	77.2753	77.4599	77.6726	77.8951	78.1454	78.4049	78.6281	78.9282	79.1449	79.3911	79.6636	79.8838	80.2106	80.4144	80.6869
"Burkina Faso"	854	59.4613	60.1268	60.735	61.3893	61.963	62.5481	63.0178	63.6491	64.1759	64.6478	65.1863	65.6634	66.1855	66.6891	67.0963	67.5976	68.0072
"Cabo Verde"	132	74.7464	75.341	75.9033	76.4254	77.0291	77.5049	78.0277	78.4945	78.9746	79.3912	79.8711	80.2946	80.7672	81.1396	81.6264	82.0435	82.5411
"Cambodia"	116	70.4078	71.5117	72.3615	73.0744	73.7299	74.241	74.6885	75.1889	75.601	75.9236	76.3722	76.7529	77.2197	77.6096	77.921	78.3402	78.6504
"Canada"	124	83.7367	84.0702	84.4513	84.8222	85.2508	85.6514	86.0715	86.4901	86.8937	87.3007	87.685	88.0529	88.4898	88.8463	89.1452	89.5991	89.9149
"Chad"	148	52.0698	52.6278	53.4464	54.1743	54.9036	55.6088	56.4402	57.1375	57.8515	58.4633	59.1854	59.8912	60.588	61.2114	61.7937	62.3696	63.1038
"Channel Islands"	830	82.2339	82.5075	82.8266	83.217	83.6225	84.0182	84.4734	84.85	85.2661	85.6545	86.0695	86.4787	86.9192	87.3386	87.7217	88.142	88.5439
"Chile"	152	84.4964	85.1437	85.7915	86.3968	87.0134	87.5652	88.0696	88.6092	89.0413	89.5699	89.9684	90.3375	90.8258	91.2848	91.7127	92.0573	92.4536
"China"	156	77.0966	77.6798	78.2964	78.9152	79.5443	80.1935	80.7709	81.3906	81.9699	82.585	83.1431	83.6746	84.193	84.7707	85.2809	85.7939	86.3487
"China, Hong Kong SAR"	344	86.6458	87.0622	87.5247	87.9817	88.4291	88.8548	89.3177	89.7218	90.1923	90.6055	91.0384	91.4611	91.8534	92.2288	92.6534	93.0489	93.4811
"China, Macao SAR"	446	82.5887	83.0599	83.5764	84.0977	84.5756	85.0779	85.5553	86.0607	86.5064	86.9477	87.3854	87.813	88.2302	88.6525	89.1149	89.5476	90.0457
"Colombia"	170	77.3005	77.7541	78.2378	78.746	79.2641	79.7327	80.2309	80.6992	81.1689	81.6403	82.0116	82.4257	82.9047	83.2976	83.7644	84.0873	84.5047
"Comoros"	174	64.5598	65.2773	66.0328	66.7021	67.3381	67.9911	68.6847	69.2741	69.8895	70.5176	71.0781	71.6804	72.2984	72.9055	73.4389	74.0544	74.6284
"Costa Rica"	188	81.61	81.9669	82.3282	82.7022	83.0823	83.4839	83.8288	84.2372	84.5443	84.9599	85.3019	85.6628	86.0223	86.3509	86.704	87.0294	87.3304
"Croatia"	191	80.2606	80.6154	80.9897	81.4121	81.7982	82.252	82.6522	83.1076	83.5209	83.932	84.3338	84.7535	85.1066	85.5011	85.8883	86.2788	86.676
"Cuba"	192	81.2356	81.5938	81.9862	82.3931	82.8349	83.2406	83.6297	84.0457	84.478	84.8235	85.2292	85.6244	85.9972	86.4213	86.8318	87.2567	87.5714
"Curacao"	531	80.6062	80.9345	81.2958	81.783	82.1378	82.5632	82.9355	83.3813	83.8025	84.1965	84.6284	85.004	85.3275	85.7368	86.1408	86.5036	86.9025
"Cyprus"	196	82.0875	82.4175	82.7846	83.1957	83.6426	84.0684	84.4391	84.8472	85.2919	85.6843	86.1156	86.4989	86.9259	87.334	87.7001	88.0384	88.4926
"Czech Republic"	203	81.1028	81.4013	81.7005	82.066	82.4434	82.8376	83.1376	83.5966	83.9803	84.378	84.7847	85.2101	85.5549	85.9684	86.2959	86.7165	87.1882
"Dem. People's Republic of Korea"	408	73.4128	74.1114	74.7928	75.4413	76.0441	76.6022	77.1743	77.6683	78.2431	78.7782	79.1686	79.676	80.1748	80.6121	81.1168	81.5298	81.9576
"Democratic Republic of the Congo"	180	59.9053	60.8658	61.8251	62.6629	63.4055	64.0981	64.7428	65.2996	65.8695	66.3637	66.641	67.2387	67.7447	68.3295	68.702	69.0676	69.4765
"Denmark"	208	81.7625	82.0762	82.4292	82.8095	83.2464	83.6386	84.0312	84.4325	84.8498	85.2694	85.662	86.0409	86.4023	86.8009	87.2008	87.5672	87.923
"Djibouti"	262	63.0966	63.6223	64.1503	64.784	65.35	65.9832	66.5952	67.1155	67.6393	68.329	68.8647	69.5372	70.0454	70.5486	71.1287	71.73	72.3102
"Dominican Republic"	214	76.2916	76.6822	77.0842	77.4934	77.9133	78.2789	78.6818	79.1462	79.5452	79.9487	80.3044	80.6928	81.0801	81.451	81.8394	82.2049	82.5615
"Ecuador"	218	78.4749	78.9787	79.507	79.991	80.5093	80.986	81.4207	81.9237	82.3056	82.7793	83.2032	83.6488	83.9717	84.3491	84.7694	85.1072	85.4735
"Egypt"	818	72.9387	73.3876	73.8949	74.4338	74.917	75.3666	75.838	76.3006	76.7373	77.1174	77.5145	77.949	78.3423	78.733	79.0617	79.5062	79.9119
"El Salvador"	222	77.1393	77.5943	78.1476	78.6933	79.156	79.6212	80.0617	80.5451	80.9968	81.4374	81.8205	82.1917	82.5716	83.0439	83.3982	83.7445	84.1077
"Eritrea"	232	65.7733	66.7507	67.6234	68.384	68.9998	69.6246	70.128	70.6723	71.1324	71.5302	72.0336	72.456	72.8752	73.2443	73.5589	73.8968	74.2507
"Estonia"	233	80.7688	80.9488	81.2346	81.5117	81.8047	82.1436	82.4856	82.8147	83.1738	83.4666	83.8547	84.2066	84.5428	84.9214	85.3112	85.6889	85.9952
"Fiji"	242	72.6623	73.0169	73.4032	73.9405	74.3257	74.8063	75.2788	75.71	76.1331	76.6056	77.0815	77.5042	77.9038	78.3943	78.8498	79.3197	79.7294
"Finland"	246	83.3934	83.7922	84.2039	84.6066	85.0265	85.4601	85.86	86.272	86.7209	87.1177	87.5198	87.8729	88.2839	88.6934	89.1134	89.4777	89.851
"France"	250	84.9296	85.3305	85.7636	86.2186	86.7266	87.1274	87.5784	88.0266	88.4809	88.8754	89.2727	89.6553	90.1115	90.5621	90.9626	91.3571	91.7152
"French Guiana"	254	82.7963	83.3793	83.9809	84.6155	85.1741	85.6732	86.2224	86.7643	87.3214	87.8489	88.3581	88.7913	89.3218	89.7978	90.2503	90.7067	91.1448
"French Polynesia"	258	78.6241	79.1286	79.6814	80.2712	80.8466	81.4134	82.0113	82.5546	83.032	83.6183	84.0986	84.6073	85.0691	85.5048	85.9998	86.4701	86.9038
"Gambia"	270	61.0399	61.569	62.0119	62.5465	63.0946	63.5144	64.0751	64.4621	64.8897	65.3308	65.7645	66.1323	66.5983	67.0287	67.4128	67.7846	68.058
"Georgia"	268	77.899	78.1333	78.4984	78.8593	79.2476	79.6452	80.0073	80.452	80.8411	81.2495	81.6041	82.0676	82.4559	82.8691	83.2535	83.6882	84.0777
"Germany"	276	83.0432	83.4282	83.8322	84.2698	84.6735	85.1251	85.5853	86.0438	86.4473	86.919	87.3652	87.7781	88.2573	88.6885	89.0987	89.5272	89.8961
"Ghana"	288	61.7149	62.1014	62.6708	63.1729	63.7023	64.2163	64.7524	65.4332	65.8941	66.3735	67.0859	67.5844	67.9823	68.5155	69.1306	69.6321	70.185
"Greece"	300	83.5806	83.9725	84.4014	84.8124	85.2409	85.6923	86.1482	86.5968	87.0725	87.4789	87.9245	88.3476	88.7546	89.2148	89.5899	89.9959	90.4009
"Grenada"	308	75.3558	75.6947	76.0661	76.4041	76.8915	77.3432	77.8332	78.1782	78.615	79.1097	79.5346	79.9817	80.4076	80.8167	81.2828	81.695	82.1072
"Guadeloupe"	312	84.2609	84.8576	85.4762	86.0684	86.6875	87.2908	87.8283	88.2862	88.8181	89.367	89.8602	90.3595	90.8222	91.3681	91.7737	92.2286	92.6645
"Guam"	316	81.673	82.2468	82.85	83.4447	84.0676	84.5999	85.1892	85.6778	86.171	86.6887	87.219	87.6766	88.1675	88.6541	89.1006	89.565	90.0146
"Guatemala"	320	75.0154	75.5528	76.0849	76.5725	77.0404	77.5721	78.0193	78.4436	78.8671	79.2829	79.6106	80.0573	80.3243	80.7626	81.1603	81.5201	81.9232
"Guinea"	324	59.0115	59.946	60.8487	61.6439	62.3859	62.9888	63.6168	64.327	64.7554	65.3114	65.7317	66.3138	66.8272	67.3377	67.7339	68.2788	68.7504
"Guinea-Bissau"	624	56.38	56.9277	57.4912	58.1115	58.6225	59.1479	59.5549	60.0496	60.5824	60.9379	61.5562	61.9428	62.3357	62.7792	63.2218	63.739	64.2077
"Guyana"	328	68.1004	68.2238	68.4988	68.8588	69.197	69.4895	69.9201	70.308	70.7661	71.1539	71.6132	72.0395	72.3851	72.9703	73.4857	73.9618	74.4211
"Haiti"	332	64.6063	65.2059	65.8596	66.4604	67.081	67.7191	68.3223	68.7937	69.3681	69.8891	70.306	70.8382	71.4311	71.9425	72.372	72.8406	73.3177
"Honduras"	340	75.3479	75.7973	76.2624	76.7428	77.2224	77.6574	78.1237	78.5331	78.906	79.325	79.7249	80.0602	80.4571	80.8279	81.213	81.5953	82.0096
"Hungary"	348	78.2051	78.393	78.6618	78.9325	79.2361	79.5552	79.8823	80.2151	80.5129	80.9106	81.2249	81.6308	81.911	82.2327	82.6373	82.9336	83.2824
"Iceland"	352	83.8041	84.158	84.5043	84.9021	85.3093	85.7193	86.1634	86.5896	87.0429	87.4409	87.8942	88.2391	88.6637	88.9992	89.3756	89.7902	90.2252
"India"	356	69.1851	69.9553	70.7418	71.4043	72.0758	72.7143	73.3725	74.0191	74.6509	75.2256	75.7881	76.3252	76.7892	77.3161	77.8032	78.3561	78.8247
"Indonesia"	360	70.5056	70.9027	71.4125	71.8637	72.3363	72.8108	73.2797	73.7621	74.2157	74.6933	75.1624	75.5887	75.9927	76.3618	76.841	77.2002	77.6659
"Iran (Islamic Republic of)"	364	76	76.3602	76.7347	77.1274	77.5379	77.9027	78.1847	78.5668	78.9057	79.2843	79.6254	79.9895	80.3332	80.6574	80.9629	81.285	81.5829
"Iraq"	368	71.1708	71.5492	71.9883	72.4036	72.8455	73.3037	73.6696	74.0895	74.4339	74.9144	75.2653	75.66	76.0766	76.4039	76.8132	77.1549	77.5629
"Ireland"	372	82.7267	83.0902	83.5239	83.9985	84.4267	84.8758	85.32	85.7166	86.193	86.5887	86.981	87.4034	87.8308	88.2562	88.6351	89.0401	89.4387
"Israel"	376	83.8339	84.2357	84.6755	85.1601	85.5919	86.0349	86.5123	86.9819	87.4414	87.932	88.3826	88.8395	89.2825	89.7011	90.1541	90.6579	91.0749
"Italy"	380	85.3343	85.7785	86.2956	86.8112	87.3187	87.8081	88.2646	88.7708	89.228	89.7099	90.2131	90.6428	91.1724	91.5849	91.9853	92.4993	92.9829
"Jamaica"	388	77.6036	77.8545	78.1567	78.5185	78.9052	79.2421	79.6291	80.0493	80.4949	80.8564	81.2271	81.5554	81.9628	82.3195	82.7154	83.0962	83.4433
"Japan"	392	86.5381	86.95	87.4397	87.9348	88.3998	88.8567	89.3063	89.7299	90.1664	90.5962	91.0513	91.4878	91.901	92.2421	92.7122	93.0675	93.4457
"Jordan"	400	75.2871	75.6741	76.0947	76.5248	76.922	77.3881	77.7991	78.23	78.6379	79.1372	79.5616	79.9118	80.322	80.6532	81.0575	81.4228	81.852
"Kazakhstan"	398	73.4673	73.6364	73.8765	74.1223	74.4654	74.784	75.1257	75.4255	75.7741	76.0708	76.4219	76.8444	77.1082	77.4306	77.6974	78.0465	78.4476
"Kiribati"	296	68.7561	69.1421	69.5802	70.0102	70.5037	70.9502	71.3884	71.8619	72.3645	72.7413	73.1928	73.5967	74.0342	74.4197	74.873	75.2143	75.6476
"Kuwait"	414	75.2294	75.4527	75.7245	76.1015	76.4198	76.747	77.1469	77.4862	77.8619	78.1881	78.5482	78.9187	79.2613	79.6301	79.9293	80.2324	80.6139
"Kyrgyzstan"	417	73.896	74.0783	74.2987	74.6113	74.9515	75.3224	75.6157	75.9838	76.3438	76.7163	76.9817	77.3329	77.6147	77.9846	78.3262	78.6513	79.0309
"Lao People's Democratic Republic"	418	67.5783	68.7517	69.7277	70.5368	71.3065	71.9427	72.4645	72.9363	73.4046	73.9167	74.3148	74.7341	75.1892	75.6801	76.0547	76.4681	76.8364
"Latvia"	428	78.2336	78.2735	78.4401	78.5981	78.8008	79.0381	79.2522	79.4869	79.7339	79.9835	80.2652	80.4567	80.7291	81.0136	81.2946	81.5767	81.844
"Lebanon"	422	81.1766	81.7946	82.4	82.9805	83.509	83.9572	84.4317	84.845	85.2503	85.6446	86.0033	86.3887	86.7173	87.037	87.3812	87.7054	88.0797
"Liberia"	430	61.5638	62.4426	63.1658	63.8665	64.5365	65.1152	65.6392	66.159	66.6304	67.1685	67.598	67.9939	68.4234	68.8523	69.2601	69.6682	70.0164
"Libya"	434	74.1583	74.5044	74.8757	75.2567	75.711	76.1276	76.5441	76.9007	77.386	77.7889	78.1661	78.5972	79.0244	79.385	79.6803	80.0663	80.4556
"Lithuania"	440	78.3543	78.404	78.5746	78.7407	78.9954	79.1383	79.3702	79.6122	79.8376	80.0972	80.3441	80.59	80.9048	81.1968	81.441	81.7081	81.9587
"Luxembourg"	442	83.6974	84.1397	84.6297	85.0682	85.5373	86.0691	86.5134	87.0117	87.5006	87.9508	88.4046	88.9354	89.3464	89.8402	90.3164	90.7265	91.2312
"Madagascar"	450	66.5836	67.5836	68.3533	69.1269	69.8872	70.4388	71.0401	71.6295	72.2412	72.741	73.1272	73.6066	74.0904	74.3952	74.8402	75.2994	75.6725
"Malaysia"	458	76.7127	77.1226	77.5196	77.9054	78.4365	78.8531	79.2767	79.7736	80.1934	80.6756	81.128	81.4943	81.9057	82.2953	82.7595	83.1777	83.5364
"Maldives"	462	77.477	77.9293	78.3676	78.7688	79.108	79.4499	79.841	80.1427	80.4932	80.811	81.1344	81.4711	81.7838	82.1037	82.4092	82.694	82.9673
"Mali"	466	57.789	59.0679	60.2006	61.2088	62.1229	62.8914	63.5355	64.1873	64.82	65.4388	66.0918	66.5702	67.2277	67.6762	68.1747	68.7291	69.032
"Malta"	470	81.9139	82.2848	82.6639	83.1368	83.5425	84.0293	84.4584	84.9254	85.3167	85.8212	86.2042	86.6411	87.0965	87.5049	87.941	88.3776	88.7958
"Martinique"	474	84.6774	85.3163	85.9506	86.5319	87.139	87.708	88.1983	88.7665	89.2493	89.7491	90.2265	90.7018	91.177	91.6192	92.0368	92.4894	92.9383
"Mauritania"	478	63.8548	64.11	64.5125	64.8818	65.2588	65.6308	65.9882	66.3423	66.8486	67.1072	67.5414	67.9009	68.188	68.635	69.0288	69.4233	69.8035
"Mauritius"	480	77.538	77.8476	78.2467	78.6821	79.0375	79.4862	79.887	80.3019	80.7176	81.1294	81.5699	82.0213	82.4624	82.817	83.2313	83.5797	83.9128
"Mayotte"	175	83.1064	83.6542	84.2741	84.8463	85.4172	85.9177	86.452	86.9544	87.4234	87.9597	88.4128	88.9124	89.3555	89.8727	90.3538	90.7629	91.2602
"Mexico"	484	78.9333	79.3663	79.8735	80.3826	80.9358	81.4264	81.9419	82.4125	82.8806	83.3312	83.7785	84.2804	84.7094	85.1508	85.5438	85.9039	86.3248
"Micronesia (Fed. States of)"	583	69.5387	69.8859	70.3025	70.7583	71.3604	71.8443	72.4404	72.8939	73.3998	73.9912	74.5041	75.0425	75.5935	76.1266	76.5635	77.1211	77.6394
"Mongolia"	496	73.5074	74.1558	74.7663	75.3349	75.9382	76.5142	77.0072	77.4956	78.0028	78.5311	78.9725	79.4366	79.9361	80.3243	80.7152	81.1849	81.5194
