"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"World"	900	2.723527116	2.825449552	2.883245088	2.841576076	2.797656319	2.759545731	2.727982624	2.69739769	2.661551716	2.62832343	2.599261377	2.573296979	2.548882241	2.526121507	2.505826369	2.485726689	2.466534712
"More developed regions"	901	1.942347303	2.119223353	2.252213443	2.275535537	2.293455729	2.307986487	2.319625927	2.330261847	2.340093612	2.348258063	2.355631485	2.361126728	2.365201542	2.368371889	2.371771475	2.375153658	2.378677464
"Less developed regions"	902	2.831583208	2.91456358	2.960585262	2.91059998	2.85850956	2.814219745	2.776786756	2.739131376	2.696017509	2.657713558	2.625285838	2.596748561	2.569590432	2.543635968	2.520120645	2.497164614	2.475689591
"Least developed countries"	941	4.224306972	4.116593134	4.000896838	3.821634516	3.666882034	3.524205307	3.391547874	3.271697733	3.165633164	3.073655974	2.990844872	2.916347062	2.846076351	2.781640964	2.723901165	2.669742202	2.62063374
"Other less developed countries"	934	2.566333388	2.659331491	2.714413049	2.672205819	2.628648243	2.597727217	2.576381009	2.55322933	2.522078666	2.495357035	2.476009495	2.46062198	2.44672083	2.433248097	2.421784989	2.41108191	2.401312166
"Less developed regions, excluding China"	948	3.094879262	3.12713541	3.127381489	3.041006253	2.96553431	2.903646742	2.848786205	2.796217188	2.746233353	2.702750583	2.664994272	2.631027163	2.598774519	2.568559138	2.541631895	2.515933999	2.491869562
"High-income countries"	1503	2.009609064	2.172116386	2.29152561	2.304717309	2.310628115	2.313492227	2.318616179	2.325752886	2.333316994	2.340622417	2.34658305	2.349795838	2.351634079	2.353838398	2.357829058	2.362731331	2.367743894
"Middle-income countries"	1517	2.613702279	2.705154638	2.755585517	2.710590367	2.667586821	2.636920302	2.614388534	2.589706355	2.557029998	2.528530298	2.507684553	2.491382744	2.476670982	2.461890549	2.448558348	2.435300467	2.422953638
"Upper-middle-income countries"	1502	2.106794613	2.234050203	2.329339255	2.343407057	2.355440467	2.364549321	2.376034066	2.385570803	2.385200954	2.384358659	2.3846545	2.385902067	2.386958308	2.386231429	2.384954315	2.380431442	2.375414214
"Lower-middle-income countries"	1501	2.998275975	3.021241709	3.01261856	2.919138156	2.840520712	2.781092341	2.729576984	2.67954395	2.632361076	2.593280409	2.563254068	2.538299072	2.515764511	2.494283474	2.475693932	2.459073565	2.443870631
"Low-income countries"	1500	4.769193216	4.578498029	4.384287563	4.133834032	3.920347467	3.731212075	3.561313197	3.409793448	3.275584814	3.160012639	3.057685786	2.968025174	2.885346951	2.810952488	2.744474972	2.683246391	2.629134479
"Sub-Saharan Africa"	947	4.998428483	4.822052903	4.626747965	4.361545974	4.124973435	3.912893628	3.722946128	3.553646755	3.403054248	3.270703598	3.155187656	3.05359785	2.961062004	2.877567637	2.802994223	2.735419151	2.675181193
"Africa"	903	4.665799174	4.543501782	4.393276865	4.163118629	3.954112554	3.766196614	3.599552977	3.450973938	3.31727595	3.19744099	3.091380872	2.997824221	2.913321118	2.837082287	2.76897221	2.706426959	2.650552099
"Eastern Africa"	910	4.77361633	4.558291024	4.351441368	4.092906283	3.875168815	3.686080784	3.519657855	3.372929367	3.243896369	3.133132537	3.037192619	2.952405494	2.874659571	2.805678837	2.744569645	2.688771593	2.639243748
"Burundi"	108	5.9081	5.6642	5.3918	5.0485	4.7327	4.4459	4.1948	3.9753	3.7785	3.604	3.4543	3.322	3.2036	3.0958	3.002	2.9077	2.831
"Comoros"	174	4.4831	4.3122	4.133	3.8932	3.6893	3.5142	3.3605	3.2296	3.1086	3.002	2.9046	2.8158	2.7334	2.66	2.597	2.5424	2.4972
"Djibouti"	262	3.2362	3.1417	3.0541	2.903	2.7795	2.6765	2.5873	2.5159	2.458	2.4115	2.3765	2.3503	2.33	2.3174	2.3113	2.3062	2.3051
"Eritrea"	232	4.2749	4.0967	3.9142	3.6776	3.4822	3.3142	3.1707	3.0508	2.942	2.8414	2.7553	2.6755	2.6093	2.5514	2.5015	2.4639	2.4326
"Ethiopia"	231	4.2401	3.8946	3.6124	3.3212	3.1019	2.9267	2.7833	2.6662	2.5666	2.4866	2.425	2.3778	2.342	2.3181	2.3011	2.2911	2.2865
"Kenya"	404	4.3501	4.2089	4.0593	3.8434	3.6571	3.4964	3.3506	3.2214	3.1018	2.9916	2.8926	2.8014	2.7139	2.6389	2.5732	2.5178	2.4724
"Madagascar"	450	4.4582	4.344	4.2122	4.0104	3.8292	3.6694	3.5269	3.4018	3.2868	3.1807	3.0868	2.9977	2.9147	2.8354	2.7646	2.7001	2.6377
"Malawi"	454	5.1268	4.9392	4.731	4.4588	4.2161	4.0063	3.8195	3.6567	3.5095	3.3786	3.2578	3.151	3.051	2.9608	2.8773	2.7984	2.7273
"Mauritius"	480	1.6903	1.8315	1.9685	2.0085	2.0458	2.0801	2.1123	2.1422	2.1677	2.1901	2.2108	2.2287	2.244	2.2561	2.2688	2.2794	2.2888
"Mayotte"	175	3.9804	3.8261	3.6751	3.4634	3.2824	3.1232	2.9809	2.8556	2.741	2.6429	2.5577	2.4892	2.4325	2.393	2.3644	2.3409	2.3259
"Mozambique"	508	5.37	5.1896	4.9677	4.661	4.3785	4.1214	3.8905	3.6863	3.5062	3.3539	3.2195	3.1047	3.0037	2.9138	2.8326	2.7581	2.694
"Reunion"	638	2.3711	2.4193	2.4518	2.4003	2.3678	2.3466	2.335	2.3281	2.3245	2.3238	2.3247	2.3253	2.3264	2.3308	2.3335	2.336	2.3413
"Rwanda"	646	3.8673	3.6664	3.4817	3.2453	3.0447	2.8652	2.711	2.5764	2.4661	2.3774	2.3124	2.2652	2.2342	2.2203	2.2156	2.2185	2.2265
"Seychelles"	690	2.4643	2.5133	2.5302	2.4671	2.4204	2.3888	2.3649	2.3527	2.3433	2.3383	2.3367	2.336	2.3373	2.3391	2.3411	2.3429	2.3467
"Somalia"	706	6.371	6.0545	5.7152	5.3003	4.9281	4.5897	4.2913	4.0356	3.8138	3.6182	3.4537	3.3074	3.1759	3.0606	2.9559	2.8632	2.7783
"South Sudan"	728	4.9833	4.7481	4.5024	4.1959	3.9308	3.7013	3.511	3.3494	3.2068	3.0841	2.977	2.882	2.7928	2.7146	2.6489	2.5861	2.5368
"Uganda"	800	5.7069	5.4249	5.1187	4.7475	4.4181	4.1227	3.871	3.6551	3.4696	3.3135	3.1733	3.0586	2.9463	2.852	2.7691	2.6924	2.6249
"United Republic of Tanzania"	834	5.1702	5.0132	4.8294	4.566	4.3266	4.1104	3.9226	3.7522	3.6001	3.4661	3.3484	3.24	3.1441	3.0539	2.972	2.8948	2.8234
"Zambia"	894	5.392	5.2542	5.0894	4.8416	4.6177	4.4143	4.2313	4.0624	3.9122	3.7716	3.6477	3.5297	3.4265	3.3277	3.2391	3.1561	3.0786
"Zimbabwe"	716	3.8964	3.7447	3.6	3.3942	3.22	3.0701	2.9327	2.8132	2.7061	2.6157	2.5434	2.4854	2.439	2.4042	2.3781	2.3592	2.3476
"Middle Africa"	911	5.634398922	5.373156625	5.088776355	4.73455081	4.41562171	4.130626527	3.882338143	3.671717458	3.487662991	3.32987721	3.191376546	3.072262439	2.964623523	2.867973406	2.781640158	2.705352558	2.639013249
"Angola"	24	6.0396	5.7785	5.4786	5.0999	4.7446	4.4248	4.1355	3.8846	3.6674	3.4805	3.3223	3.1857	3.0652	2.9573	2.8648	2.7804	2.7041
"Cameroon"	120	4.7057	4.5321	4.3405	4.0845	3.8663	3.672	3.5065	3.3615	3.2365	3.1237	3.0219	2.9269	2.8449	2.7695	2.6972	2.6311	2.5784
"Central African Republic"	140	4.2657	4.0605	3.8468	3.5822	3.3703	3.1957	3.0518	2.9325	2.8271	2.7387	2.661	2.5934	2.5393	2.4923	2.4571	2.4256	2.4011
"Chad"	148	6.0436	5.7042	5.3469	4.9308	4.5641	4.2393	3.9606	3.7242	3.525	3.3566	3.2093	3.0826	2.9673	2.863	2.768	2.6881	2.6195
"Congo"	178	4.8945	4.7609	4.5968	4.3592	4.1482	3.9578	3.7869	3.6381	3.5039	3.3892	3.281	3.1851	3.0959	3.0135	2.9387	2.8632	2.7955
"Dem. Republic of the Congo"	180	5.9143	5.6002	5.2678	4.8719	4.5183	4.2042	3.9337	3.7088	3.5123	3.3467	3.2012	3.0786	2.9664	2.8665	2.7772	2.6995	2.6319
"Equatorial Guinea"	226	4.7698	4.5026	4.2216	3.8905	3.6125	3.3871	3.2032	3.0524	2.9292	2.8202	2.7276	2.6489	2.5831	2.5281	2.4832	2.4467	2.4189
"Gabon"	266	3.9283	3.8002	3.6627	3.4663	3.3008	3.1593	3.042	2.9407	2.845	2.7641	2.6914	2.6281	2.5688	2.5215	2.4826	2.4507	2.4252
"Sao Tome and Principe"	678	4.6057	4.4683	4.3077	4.0755	3.875	3.6936	3.5381	3.4037	3.2846	3.1752	3.0774	2.9889	2.9085	2.8295	2.7613	2.6983	2.6403
"Northern Africa"	912	3.304859775	3.293200014	3.256716181	3.131706444	3.012676885	2.910874037	2.837686401	2.78333945	2.732455662	2.674107217	2.61518457	2.564763659	2.528962462	2.500009833	2.476647429	2.450104152	2.42708665
"Algeria"	12	2.8676	2.8075	2.7583	2.6465	2.5646	2.5026	2.4581	2.4295	2.4088	2.393	2.3828	2.3772	2.3729	2.3695	2.3704	2.3686	2.3691
"Egypt"	818	3.4118	3.3758	3.3203	3.1886	3.0754	2.9748	2.8793	2.7953	2.7208	2.6516	2.5938	2.543	2.5041	2.4693	2.4427	2.4204	2.4029
"Libya"	434	2.565	2.5437	2.5127	2.4109	2.3395	2.292	2.2677	2.2576	2.2554	2.2581	2.2648	2.2706	2.2779	2.2851	2.2942	2.3	2.3079
"Morocco"	504	2.6313	2.6427	2.632	2.5433	2.4727	2.4188	2.3772	2.3499	2.3319	2.3203	2.3145	2.3119	2.311	2.3127	2.316	2.3175	2.3211
"Sudan"	729	4.3784	4.2338	4.0747	3.8498	3.6563	3.49	3.345	3.2197	3.1082	3.0073	2.916	2.8327	2.7561	2.6852	2.629	2.5738	2.5287
"Tunisia"	788	2.3197	2.3905	2.4296	2.3854	2.3569	2.3395	2.3289	2.3237	2.323	2.3223	2.3235	2.3262	2.3294	2.3333	2.3361	2.3393	2.3428
"Western Sahara"	732	2.3142	2.3439	2.3489	2.2776	2.229	2.1975	2.1839	2.1838	2.1879	2.1984	2.2103	2.2215	2.2348	2.2457	2.2579	2.2676	2.2769
