"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"World"	900	69.46445313	70.50830831	71.48104773	72.4196101	73.33043314	74.22920472	75.08225018	75.93399868	76.71809505	77.42200492	78.12519957	78.78202888	79.39949168	80.00689362	80.63311225	81.22781284	81.79673359
"More developed regions"	901	75.99441955	76.91879391	77.81962594	78.67212605	79.50715948	80.30251686	81.05906145	81.79372188	82.53645764	83.24473755	83.92656391	84.59723425	85.22127574	85.84479609	86.4223039	87.0033623	87.600087
"Less developed regions"	902	68.18229983	69.26800709	70.29752398	71.30405215	72.2785719	73.24102709	74.15108964	75.05869296	75.88147734	76.61293948	77.34195522	78.01438664	78.64269497	79.25630948	79.89593188	80.50115093	81.07522927
"Least developed countries"	941	62.54007142	64.00010216	65.35088065	66.60472108	67.76332871	68.85748465	69.85526266	70.78317053	71.63228361	72.39321807	73.13460879	73.8438845	74.52418676	75.19217763	75.82534145	76.47934934	77.09800413
"Other less developed countries"	934	69.47243685	70.52586862	71.51416921	72.48000056	73.42408109	74.36988233	75.28197556	76.21682645	77.07388883	77.85065117	78.63822213	79.36835021	80.0519116	80.71788487	81.42483061	82.06811836	82.68792342
"Less developed regions, excluding China"	948	66.38792628	67.54874857	68.61245309	69.65507167	70.63795215	71.60136809	72.51222342	73.43069898	74.28369948	75.05845468	75.85587017	76.60867683	77.32587179	78.01413354	78.71912737	79.3662854	79.98270241
"High-income countries"	1503	76.66688885	77.61274695	78.51676715	79.36366304	80.18578731	80.97383698	81.71544332	82.43552568	83.14987443	83.82139013	84.45606552	85.08514317	85.67537225	86.26888989	86.82969918	87.38925443	87.96224607
"Middle-income countries"	1517	68.8516919	69.90025586	70.88239704	71.84372485	72.78842696	73.73505263	74.64570941	75.57558295	76.42822168	77.2030222	77.9906491	78.72163341	79.40509643	80.07703841	80.78065665	81.42560368	82.0431842
"Upper-middle-income countries"	1502	72.83726185	73.86884867	74.94164957	75.97897706	77.05876738	78.16653512	79.24563737	80.29659361	81.23090443	82.06400351	82.80962868	83.46588256	84.05622174	84.62141298	85.17432239	85.72335407	86.24140409
"Lower-middle-income countries"	1501	65.7961543	66.88876923	67.85015565	68.79529806	69.68732124	70.58288767	71.46038109	72.4036857	73.31435692	74.17037745	75.09326186	75.97584121	76.81975039	77.64311361	78.49734755	79.25264588	79.97288158
"Low-income countries"	1500	60.8665171	62.51021065	64.04829138	65.4716294	66.76507835	67.96045788	69.04570342	70.04223224	70.9598114	71.77601922	72.55221787	73.29206311	74.00875948	74.69665507	75.36428865	76.05474462	76.70617911
"Sub-Saharan Africa"	947	57.87059644	59.51895598	61.12627448	62.67934007	64.1507759	65.49712806	66.73997576	67.89173953	68.93558092	69.88717172	70.79083313	71.66269229	72.46977331	73.21986553	73.97738148	74.69847442	75.42699688
"Africa"	903	59.93056425	61.41330946	62.86327806	64.28325871	65.63699662	66.88441831	68.0464038	69.12310017	70.10117697	70.99910347	71.84980408	72.66493752	73.4217614	74.13111873	74.85080944	75.54000254	76.23510445
