"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"World"	900	"  0"	0.165355759	0.150264599	0.139295995	0.120869142	0.106876636	0.09647538	0.085116444	0.074871585	0.06994437	0.063042214	0.054046383	0.045759115	0.039178044	0.034761283	0.031248899	0.028283118	0.025508628	0.022980765	0.020734737	0.01880725	0.017127502	0.015658844	0.014283025	0.013001971	0.011817542	0.01078698	0.009914583	0.009177567	0.008528135	0.007948821
"World"	900	"  1"	0.021961247	0.019270758	0.017920427	0.015130838	0.012204318	0.010542402	0.008896433	0.007693627	0.007211896	0.00658666	0.005518435	0.004378244	0.003589992	0.003247514	0.002956275	0.002684865	0.002405391	0.002141248	0.001898701	0.001684504	0.001492738	0.001323279	0.00116809	0.001026419	0.000895544	0.000785765	0.000695744	0.000620844	0.000559559	0.000507003
"World"	900	"  5"	0.006538307	0.00562374	0.005033233	0.003593318	0.003189233	0.002534845	0.002366703	0.00224285	0.001816699	0.001553926	0.001568092	0.001456381	0.001272726	0.001113588	0.000985877	0.000911108	0.000852056	0.000787665	0.000717549	0.000647656	0.000580985	0.000523163	0.000475899	0.000432612	0.000389305	0.000350197	0.000316753	0.000288029	0.000264556	0.000243999
"World"	900	" 10"	0.00389762	0.003268044	0.00300742	0.001975136	0.001750719	0.00154496	0.001329755	0.001249471	0.001189816	0.00107379	0.000997431	0.000993876	0.000946149	0.000861772	0.000766731	0.000688735	0.000637429	0.000595117	0.000550927	0.000507397	0.000464023	0.000424753	0.00039054	0.000360566	0.000332788	0.000305937	0.000281561	0.000259728	0.000241046	0.000224133
"World"	900	" 15"	0.004796108	0.004191933	0.003703427	0.002675669	0.002209415	0.002087224	0.001953638	0.001765298	0.001678904	0.001646061	0.001491213	0.001364138	0.001327198	0.00127044	0.001180378	0.001083053	0.00099952	0.000936513	0.000882485	0.000828615	0.000770303	0.000715107	0.000666374	0.000621534	0.000582325	0.000545153	0.000508708	0.000474599	0.000444551	0.000416206
"World"	900	" 20"	0.00604129	0.005302977	0.004601534	0.003554058	0.002874044	0.00269483	0.002699074	0.002411244	0.002265629	0.002300865	0.002211708	0.001986836	0.001813741	0.001761128	0.001700733	0.001601987	0.001489564	0.001383404	0.001298654	0.001227592	0.001148532	0.001070644	0.000999669	0.000932811	0.00087359	0.000819066	0.000767693	0.000717892	0.000673338	0.000630082
"World"	900	" 25"	0.00655457	0.005787085	0.005044933	0.004074359	0.003297189	0.002991948	0.002981145	0.002745049	0.002629913	0.002657601	0.002654636	0.002477181	0.002192284	0.002012778	0.001948766	0.001882262	0.001764168	0.001634602	0.001512909	0.001419414	0.001330216	0.001243975	0.001162018	0.001082711	0.001010686	0.000943246	0.000882457	0.00082563	0.000773331	0.000721891
"World"	900	" 30"	0.007326016	0.006284452	0.005653013	0.004618497	0.003809198	0.003433558	0.003247901	0.003040248	0.003099335	0.003098534	0.003074152	0.002897638	0.002649974	0.002397235	0.002203996	0.002136439	0.002045872	0.001905878	0.001760284	0.001627955	0.001516764	0.001425789	0.001336825	0.001246367	0.001162898	0.001082859	0.001008656	0.000941097	0.000881573	0.00082194
"World"	900	" 35"	0.008736865	0.007888101	0.006907902	0.005685996	0.004732012	0.004323995	0.003981424	0.003679957	0.003823248	0.003891622	0.003795227	0.00344881	0.003173738	0.003016136	0.002759076	0.002556285	0.002464801	0.002347797	0.002181223	0.002018893	0.001862848	0.001748056	0.001648668	0.001543965	0.001443311	0.001344088	0.001250138	0.001161035	0.001085746	0.001012545
"World"	900	" 40"	0.011135043	0.010203269	0.009452357	0.007437155	0.006352888	0.00576697	0.005419509	0.004937524	0.004971994	0.004984352	0.004910325	0.004368087	0.0038824	0.003751386	0.003607539	0.003331548	0.003082345	0.002968662	0.002826219	0.002641044	0.002444994	0.002278583	0.002146065	0.002023036	0.001900997	0.001775617	0.001653867	0.001533891	0.001429628	0.001331969
"World"	900	" 45"	0.014967352	0.01343601	0.012929233	0.01035665	0.009023737	0.008214866	0.007750961	0.007118774	0.006938183	0.006807512	0.006571246	0.006071263	0.005345595	0.004970395	0.004835424	0.004683396	0.004333428	0.004016487	0.00387049	0.00371371	0.003476692	0.003253021	0.003052383	0.002879547	0.002732257	0.00257399	0.002412582	0.002246508	0.002098614	0.001957312
"World"	900	" 50"	0.020081518	0.018961178	0.017861788	0.014522193	0.013316722	0.012029638	0.011482004	0.010555509	0.010390529	0.009846763	0.009181875	0.008599317	0.007914461	0.007243526	0.006765609	0.006593632	0.006387336	0.005929125	0.005508224	0.005342313	0.00512858	0.004837881	0.004556905	0.004290842	0.00407853	0.003880486	0.003667895	0.003433435	0.003221961	0.003014858
"World"	900	" 55"	0.028670957	0.027750759	0.02616645	0.021255838	0.020012763	0.01811073	0.017314246	0.016211758	0.015797687	0.014954412	0.0134405	0.012535618	0.01182254	0.011098775	0.010233918	0.009577051	0.009317334	0.009006156	0.008374337	0.007827094	0.00757171	0.007300845	0.006913395	0.006515791	0.006177022	0.005874114	0.005592831	0.005260104	0.004950885	0.004644556
"World"	900	" 60"	0.041994578	0.040670956	0.038226761	0.032532524	0.030296169	0.027797039	0.026446721	0.0250285	0.024351448	0.022980848	0.020942735	0.019113835	0.017971725	0.01716184	0.016119279	0.014898227	0.014020011	0.013563718	0.013050289	0.012198862	0.011382639	0.011040126	0.010692028	0.010124184	0.009611303	0.009123904	0.008689071	0.008238766	0.007805907	0.007361655
"World"	900	" 65"	0.059596955	0.058315168	0.055314701	0.048353361	0.045483861	0.042338599	0.040306582	0.038010809	0.037030779	0.035196994	0.032364001	0.029978894	0.027931241	0.026234196	0.025050943	0.0234703	0.021964112	0.020685187	0.019767217	0.019009467	0.017839882	0.016791717	0.016257688	0.01568319	0.015043486	0.014385665	0.013704233	0.012990379	0.012413718	0.011823149
"World"	900	" 70"	0.08623367	0.084786884	0.079973893	0.071486833	0.068378577	0.064678804	0.061849447	0.058683338	0.056554109	0.053814615	0.04975601	0.046472097	0.043483854	0.040747318	0.038645631	0.036561549	0.034557349	0.032583849	0.030826823	0.029504687	0.028072042	0.026627634	0.025456622	0.02446063	0.023705558	0.022893829	0.021943573	0.020867956	0.019996295	0.019178563
"World"	900	" 75"	0.12480574	0.122767571	0.11547414	0.105907809	0.102480127	0.098170347	0.094446942	0.090284037	0.086330702	0.082369407	0.076407274	0.071344934	0.066885105	0.063036333	0.059875309	0.056819328	0.054011655	0.051294419	0.048686729	0.046505229	0.044307603	0.042239789	0.040498702	0.038948	0.037711981	0.036465038	0.035158698	0.033675668	0.032392633	0.031176869
"World"	900	" 80"	0.176910736	0.174156788	0.163601495	0.153798654	0.150467464	0.145912052	0.141257452	0.136067794	0.129308344	0.123787422	0.115326293	0.107784542	0.101328206	0.096091723	0.091469411	0.087111432	0.083307421	0.079705025	0.075934476	0.072436838	0.069142815	0.066267118	0.063738155	0.061373665	0.059396305	0.057518274	0.055791339	0.053826822	0.05198541	0.050220074
"World"	900	" 85"	0.244194226	0.240663794	0.226199547	0.217547152	0.214977868	0.21084211	0.205401051	0.199370048	0.188717671	0.181396602	0.16994076	0.159214477	0.150254209	0.143444326	0.136947846	0.13097157	0.126049434	0.121515645	0.116262766	0.110871267	0.106098094	0.102258339	0.098706149	0.095210906	0.0921503	0.089403563	0.087243939	0.084785712	0.082237031	0.079759438
"World"	900	" 90"	0.326425399	0.32217701	0.303565878	0.29782476	0.296836466	0.294015376	0.288168293	0.28175771	0.266360558	0.257248699	0.242645828	0.228273907	0.216506841	0.208156579	0.199495627	0.191717192	0.185726575	0.180404933	0.173447898	0.165562938	0.15896518	0.154115287	0.149352019	0.144407761	0.13988404	0.136031289	0.133536255	0.130701144	0.127348834	0.12403425
"World"	900	" 95"	0.420688042	0.41593677	0.393615373	0.392467932	0.393794701	0.393170088	0.387498174	0.381398019	0.361112833	0.350604843	0.333295117	0.315381824	0.300942781	0.291420453	0.280611363	0.271130504	0.26438672	0.25868068	0.250042969	0.239258017	0.230685538	0.224989811	0.218978153	0.212383255	0.206094704	0.200986318	0.19841495	0.195509356	0.191393839	0.187236987
"World"	900	"100+"	0.527031026	0.522296009	0.498254943	0.50277773	0.506720719	0.508842446	0.504205061	0.49939977	0.476045977	0.465446419	0.447447121	0.427899989	0.412402459	0.403064029	0.391322388	0.381323533	0.374961821	0.369986555	0.360769826	0.348064614	0.338518413	0.332980497	0.326524899	0.319004355	0.31154671	0.305779087	0.303883381	0.301776972	0.297654058	0.293360084
"More developed regions"	901	"  0"	0.068247116	0.049132433	0.037693324	0.030150014	0.024613489	0.02091947	0.017258815	0.014766037	0.012056777	0.009726032	0.008229129	0.006939582	0.005754651	0.005026493	0.00446086	0.003957732	0.003543181	0.003223812	0.002969225	0.002739909	0.002534372	0.002343477	0.00219491	0.002090465	0.002004094	0.001922786	0.001836701	0.001755947	0.001681224	0.001612326
"More developed regions"	901	"  1"	0.005072456	0.002766029	0.001693578	0.001334191	0.001151507	0.00100237	0.000879719	0.00075199	0.000612184	0.000507237	0.000424447	0.000347785	0.000292516	0.000258112	0.000230518	0.000208169	0.000191421	0.000178674	0.000167803	0.000158023	0.000147973	0.000138656	0.000130852	0.000124858	0.000119531	0.00011435	0.000108845	0.000103654	9.88121E-05	9.47006E-05
"More developed regions"	901	"  5"	0.001256967	0.000950052	0.000725191	0.000607106	0.000536979	0.000460674	0.000411093	0.000363731	0.000352976	0.000281045	0.000205324	0.000164734	0.00014353	0.000135266	0.000125019	0.000112637	9.97916E-05	8.88498E-05	8.2318E-05	7.84155E-05	7.44904E-05	6.95408E-05	6.46515E-05	6.05965E-05	5.69855E-05	5.44868E-05	5.20217E-05	4.95325E-05	4.73515E-05	4.44E-05
"More developed regions"	901	" 10"	0.000915972	0.000701481	0.000623694	0.000601758	0.00058307	0.000517331	0.000455773	0.000415728	0.000419187	0.000375064	0.000307589	0.000237612	0.000193397	0.000179456	0.000167884	0.000154993	0.000137549	0.000121946	0.000108632	9.99859E-05	9.29318E-05	8.68602E-05	8.02014E-05	7.38955E-05	6.80949E-05	6.35037E-05	5.94024E-05	5.64868E-05	5.24649E-05	4.86534E-05
"More developed regions"	901	" 15"	0.001636122	0.001301487	0.001139954	0.00116015	0.001228942	0.001174352	0.001041505	0.000924393	0.000996389	0.000960577	0.000872504	0.000712975	0.000549158	0.000484308	0.000450935	0.000416947	0.000381231	0.00033694	0.000298228	0.000266613	0.000241698	0.000224868	0.000208608	0.000191446	0.000173723	0.000159154	0.000145835	0.000135307	0.000124431	0.000113334
"More developed regions"	901	" 20"	0.002432759	0.001948308	0.001732838	0.00165476	0.001773847	0.001788294	0.001666637	0.001436278	0.001559706	0.001563803	0.001531771	0.001366041	0.001071469	0.000917279	0.000810502	0.000756972	0.000700322	0.000638914	0.000562648	0.000498563	0.000442997	0.000406878	0.000378138	0.000349412	0.000317419	0.000288088	0.000260201	0.000237518	0.000216145	0.000196393
"More developed regions"	901	" 25"	0.002691501	0.002234818	0.001983499	0.001951271	0.001845374	0.001916257	0.001926854	0.001684522	0.001882558	0.001793507	0.001835756	0.001808728	0.001499583	0.00135734	0.0011154	0.000976804	0.000914508	0.000853043	0.000780502	0.000684716	0.000598403	0.000536257	0.000490056	0.000454251	0.000417024	0.000378927	0.000337781	0.000301532	0.000269633	0.00024294
"More developed regions"	901	" 30"	0.002851491	0.002461323	0.002339642	0.002373345	0.002327815	0.002096424	0.002193402	0.00202556	0.002445335	0.002222499	0.002107913	0.00213891	0.001892694	0.001821172	0.00160536	0.001291669	0.001120193	0.001049107	0.000988834	0.0009099	0.000789569	0.000699079	0.000619944	0.000563429	0.000519936	0.00047969	0.000429506	0.000378577	0.000331673	0.000293897
"More developed regions"	901	" 35"	0.003634128	0.003045482	0.002997202	0.003177315	0.003237647	0.003102167	0.002738636	0.002604523	0.00331541	0.003178901	0.002895963	0.002600593	0.002311767	0.002239537	0.002125866	0.001866311	0.001496205	0.00130156	0.00122379	0.001167965	0.00107157	0.000950934	0.00083826	0.000741584	0.000672228	0.000625792	0.00057261	0.000511275	0.000447035	0.000391053
"More developed regions"	901	" 40"	0.005166271	0.004397123	0.004190308	0.004483534	0.004665227	0.004686161	0.004366499	0.003577431	0.004476346	0.004629918	0.004496931	0.003723395	0.002969101	0.002907818	0.002771584	0.002633445	0.002324197	0.001883284	0.001651572	0.001567923	0.001497838	0.00140187	0.001244531	0.001098826	0.000973555	0.000891783	0.000826017	0.000758056	0.000675411	0.000592659
"More developed regions"	901	" 45"	0.007813192	0.006867451	0.006498829	0.006641845	0.006845658	0.007041044	0.006832128	0.005819504	0.005992642	0.006450492	0.006761529	0.005840162	0.00452871	0.004129118	0.004005331	0.003819703	0.003611278	0.003208852	0.002641263	0.002346045	0.002233532	0.002151184	0.002009562	0.001786196	0.001582065	0.001418022	0.001293788	0.001203174	0.001099167	0.00098239
"More developed regions"	901	" 50"	0.012025346	0.011038179	0.010372185	0.01037962	0.010228426	0.010441089	0.010380607	0.00928945	0.009427578	0.008650229	0.009267629	0.00867739	0.007187031	0.006400205	0.005811427	0.005652791	0.005374436	0.005082549	0.004550467	0.003803066	0.003405253	0.003255249	0.003129523	0.002922736	0.00260455	0.002332982	0.002088053	0.001917606	0.001774849	0.001626618
"More developed regions"	901	" 55"	0.018256275	0.017423642	0.01671902	0.016508901	0.015979961	0.01531892	0.01540252	0.014418252	0.014550981	0.013582397	0.012163512	0.011916672	0.010873675	0.009923587	0.008843663	0.008072485	0.007845272	0.007474874	0.007108569	0.006430397	0.005418194	0.004850125	0.004633858	0.004460235	0.004174519	0.00376293	0.003363424	0.003031207	0.0027712	0.00257125
"More developed regions"	901	" 60"	0.027349845	0.026742001	0.026391211	0.026296089	0.025084175	0.023666701	0.022366007	0.021653342	0.021785031	0.020726337	0.018667797	0.015749478	0.015012053	0.014514177	0.013200406	0.011827131	0.010843326	0.010539359	0.010093473	0.009672767	0.008786153	0.007411621	0.006669309	0.006377139	0.006158004	0.005822343	0.005251482	0.004739586	0.004263408	0.00391667
"More developed regions"	901	" 65"	0.040982795	0.040269011	0.039894751	0.040575493	0.039232476	0.037077417	0.034506218	0.031775894	0.0313491	0.030009919	0.027526653	0.023403465	0.020058851	0.019117177	0.018297582	0.016892536	0.015317425	0.014069176	0.013464618	0.012916333	0.012447195	0.011393818	0.009935775	0.008989063	0.008464902	0.008156792	0.00774413	0.007189997	0.006564116	0.005977965
"More developed regions"	901	" 70"	0.063546876	0.062187174	0.061351048	0.062045572	0.060579203	0.057588946	0.054148238	0.049875113	0.047372611	0.045229662	0.041580492	0.036352891	0.0316796	0.029075797	0.027425729	0.025968871	0.024145641	0.022153126	0.020600157	0.019609499	0.018927959	0.017947012	0.016482276	0.014925581	0.013653232	0.012898404	0.012382898	0.011871033	0.01109589	0.010239628
"More developed regions"	901	" 75"	0.098694858	0.096534363	0.095072267	0.095097276	0.092986524	0.088676594	0.084301269	0.078645347	0.074302322	0.070743451	0.065007301	0.057852821	0.051658311	0.047827327	0.045032782	0.04265989	0.040040909	0.037285581	0.034935758	0.033195285	0.031889256	0.030364326	0.028377503	0.026213539	0.0242982	0.02299268	0.021979205	0.021066775	0.01986331	0.018555578
"More developed regions"	901	" 80"	0.149703167	0.146436623	0.144047817	0.142680808	0.13976491	0.133801364	0.128597865	0.121530055	0.114388649	0.108731315	0.100018756	0.090654668	0.082946365	0.077509743	0.072923348	0.0691637	0.065551823	0.06195893	0.058520298	0.055544231	0.053142571	0.050833173	0.048341378	0.045550371	0.042794399	0.040583095	0.038652104	0.037056144	0.035251662	0.033340883
"More developed regions"	901	" 85"	0.219899419	0.215267509	0.211653252	0.207971813	0.204158251	0.196346405	0.190703616	0.182531465	0.171527793	0.163028373	0.150408353	0.138882352	0.130140376	0.122809705	0.115617207	0.109902975	0.105203347	0.100915276	0.096123462	0.091237523	0.087037513	0.083675099	0.080939185	0.077762958	0.074058013	0.070440889	0.066914858	0.064210208	0.061641192	0.059031636
"More developed regions"	901	" 90"	0.310159821	0.304085754	0.299073799	0.292205921	0.287547975	0.277997937	0.272612238	0.264077312	0.24838963	0.236489622	0.219308771	0.206239338	0.197624783	0.188398798	0.177805809	0.169619656	0.163982068	0.159525463	0.153294095	0.145731666	0.138849094	0.13422691	0.13193046	0.129090751	0.124597649	0.118999762	0.112939057	0.108581362	0.105194913	0.101988736
"More developed regions"	901	" 95"	0.417154479	0.409876683	0.403566602	0.39310367	0.387854864	0.377102988	0.372840058	0.365025314	0.344570777	0.32924725	0.307567794	0.294246404	0.287546237	0.276902196	0.262512027	0.251666833	0.245608402	0.241962767	0.23457455	0.22376692	0.2133901	0.207521288	0.206849547	0.205657789	0.201001129	0.193014128	0.183436991	0.176924095	0.172931571	0.169613264
"More developed regions"	901	"100+"	0.538688608	0.531050666	0.524121194	0.510902748	0.505707447	0.495136432	0.492914054	0.487261598	0.46407467	0.446935527	0.423141738	0.412213664	0.409840047	0.399532151	0.382900373	0.370761388	0.365693388	0.364451062	0.357359578	0.344439071	0.331360028	0.325298185	0.3278471	0.330114429	0.326951615	0.317707096	0.305334434	0.297407286	0.293957237	0.291970739
"Less developed regions"	902	"  0"	0.190444806	0.175352485	0.161042744	0.137032088	0.120486346	0.108136235	0.094887186	0.082684283	0.076968468	0.069239125	0.059265436	0.050257785	0.042878302	0.038017409	0.034148804	0.030846869	0.02777353	0.025019461	0.022586954	0.020492611	0.018657844	0.017049905	0.015540288	0.014139741	0.012850099	0.011729709	0.010780679	0.009977165	0.009269266	0.008639663
"Less developed regions"	902	"  1"	0.026728552	0.023749034	0.021710448	0.017776817	0.014151902	0.012137871	0.010130086	0.008645372	0.008052545	0.007323515	0.006118102	0.004857188	0.003962266	0.003580372	0.003255644	0.002949206	0.002636179	0.002345675	0.002080632	0.001845751	0.001634624	0.001447699	0.001276471	0.001120803	0.000977475	0.000857384	0.000758834	0.000676693	0.000609534	0.000552036
"Less developed regions"	902	"  5"	0.008740985	0.00718025	0.00651194	0.004592605	0.003829891	0.002970734	0.002766934	0.002605575	0.002058518	0.001739578	0.001744214	0.001608498	0.001415313	0.00123084	0.001087069	0.001005577	0.000938191	0.000863269	0.00078478	0.000708584	0.000635953	0.000572553	0.000520451	0.000472315	0.000424436	0.000381562	0.000345158	0.000313898	0.000288219	0.000265756
"Less developed regions"	902	" 10"	0.004965001	0.004201494	0.003827911	0.002399978	0.002081916	0.001777764	0.001501046	0.001404596	0.001326752	0.001183304	0.001095505	0.00109196	0.001039103	0.000945158	0.000838664	0.000750781	0.000694265	0.000647703	0.00059848	0.000550544	0.00050422	0.000461081	0.000423392	0.000390725	0.000360374	0.000331919	0.000304726	0.000281491	0.000261062	0.000242836
"Less developed regions"	902	" 15"	0.006032979	0.005251115	0.004627683	0.003196324	0.002499701	0.002335417	0.002160495	0.001928881	0.00180696	0.001765652	0.001590504	0.001456296	0.001431332	0.001368468	0.00127083	0.001164726	0.001071288	0.001005565	0.000948477	0.000890286	0.000828489	0.00076834	0.000715513	0.000667626	0.000625803	0.000587425	0.00054692	0.000511125	0.000478619	0.000448662
"Less developed regions"	902	" 20"	0.007578559	0.006618819	0.005671229	0.004241907	0.003253823	0.002966431	0.002985368	0.00263551	0.00240949	0.002440252	0.002336993	0.002088471	0.001923304	0.001877204	0.001815225	0.001709981	0.001586732	0.001471994	0.00138558	0.001312032	0.001229577	0.001144356	0.001067539	0.000996672	0.000934224	0.000878874	0.000822389	0.000770437	0.000722425	0.000676913
"Less developed regions"	902	" 25"	0.008365465	0.007322646	0.006285522	0.004883688	0.003831052	0.003373403	0.003302481	0.003042207	0.002806563	0.002833371	0.002817053	0.002601524	0.0023087	0.002112071	0.002066541	0.002002602	0.001873681	0.001733508	0.001602641	0.00150887	0.001419403	0.001326123	0.001237244	0.001152966	0.001077041	0.001008781	0.000942962	0.000884524	0.000828352	0.000774192
"Less developed regions"	902	" 30"	0.009168033	0.008131299	0.007146623	0.005555832	0.004388623	0.00394431	0.003625404	0.003353644	0.003288208	0.003307425	0.003281327	0.003049547	0.002794484	0.002496106	0.002296908	0.002259824	0.002169592	0.002019346	0.001860807	0.001718357	0.001609866	0.001515066	0.001420534	0.00132448	0.001236134	0.001154711	0.001074787	0.001006228	0.000943169	0.000880534
"Less developed regions"	902	" 35"	0.011011012	0.009934705	0.008863269	0.006847598	0.005368516	0.004810162	0.004459274	0.004069647	0.003986256	0.004098077	0.004020377	0.003632072	0.003350152	0.003165465	0.002871002	0.002666854	0.002606198	0.002491165	0.002311138	0.00213248	0.00196727	0.001850154	0.001748239	0.00163931	0.001532864	0.00143111	0.001329104	0.001238183	0.001159135	0.001083043
"Less developed regions"	902	" 40"	0.014446133	0.012893124	0.01176838	0.008953193	0.007149739	0.006238256	0.005835889	0.005462628	0.005160175	0.005093937	0.005036953	0.004527172	0.004080972	0.003924651	0.003771291	0.00345796	0.003201237	0.003129777	0.002990443	0.002789521	0.002576971	0.002393512	0.00226072	0.002137857	0.002012247	0.001884572	0.00175156	0.001627808	0.001518075	0.001417684
"Less developed regions"	902	" 45"	0.019164078	0.017214685	0.016057726	0.012055209	0.010176509	0.008780236	0.008151643	0.007640468	0.00731387	0.006944001	0.006515924	0.006140621	0.005549659	0.005152813	0.005009142	0.004857832	0.004460031	0.004143915	0.004056111	0.003908283	0.003656094	0.003405323	0.003187128	0.003019562	0.002876051	0.002721532	0.002546527	0.002374518	0.002217701	0.002072553
"Less developed regions"	902	" 50"	0.024977408	0.023904398	0.022484931	0.016605635	0.01475984	0.012898489	0.012008402	0.011104633	0.010788702	0.010312282	0.009173656	0.008564514	0.008136067	0.007449663	0.006973316	0.006796824	0.006584697	0.006078021	0.005660143	0.005578403	0.00538435	0.005063843	0.004751278	0.004468233	0.004267985	0.004087183	0.00386334	0.003622484	0.003396445	0.003181616
"Less developed regions"	902	" 55"	0.035223086	0.034507301	0.032579233	0.024357027	0.022138569	0.019442891	0.018366821	0.017083961	0.016357087	0.015511321	0.013960073	0.012793366	0.012113238	0.011455467	0.010582741	0.009911379	0.009624081	0.009308458	0.008601551	0.008051031	0.007918146	0.007661439	0.007235428	0.006798464	0.006438001	0.006166416	0.005881744	0.00554843	0.005218482	0.004897283
"Less developed regions"	902	" 60"	0.051912816	0.050323789	0.046812165	0.037069594	0.033849097	0.030078168	0.028441375	0.026904806	0.025657716	0.02397814	0.021940272	0.020472156	0.019155349	0.017997466	0.017034276	0.015707964	0.014717681	0.014211635	0.013651984	0.012667025	0.011825042	0.011622049	0.011285102	0.010664018	0.010094808	0.009591566	0.009152909	0.008715905	0.008260379	0.00779245
