"country"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Cameroon"	120	4.2057	3.7321	3.3405	3.0845	2.8663	2.672	2.5065	2.3615	2.2365	2.1237	2.0219	1.9269	1.8449	1.7695	1.6972	1.6311	1.5784
"Central African Republic"	140	3.7657	3.2605	2.8468	2.5822	2.3703	2.1957	2.0518	1.9325	1.8271	1.7387	1.661	1.5934	1.5393	1.4923	1.4571	1.4256	1.4011
"Chad"	148	5.5436	4.9042	4.3469	3.9308	3.5641	3.2393	2.9606	2.7242	2.525	2.3566	2.2093	2.0826	1.9673	1.863	1.768	1.6881	1.6195
"Congo"	178	4.3945	3.9609	3.5968	3.3592	3.1482	2.9578	2.7869	2.6381	2.5039	2.3892	2.281	2.1851	2.0959	2.0135	1.9387	1.8632	1.7955
"Dem. Republic of the Congo"	180	5.4143	4.8002	4.2678	3.8719	3.5183	3.2042	2.9337	2.7088	2.5123	2.3467	2.2012	2.0786	1.9664	1.8665	1.7772	1.6995	1.6319
"Equatorial Guinea"	226	4.2698	3.7026	3.2216	2.8905	2.6125	2.3871	2.2032	2.0524	1.9292	1.8202	1.7276	1.6489	1.5831	1.5281	1.4832	1.4467	1.4189
"Gabon"	266	3.4283	3.0002	2.6627	2.4663	2.3008	2.1593	2.042	1.9407	1.845	1.7641	1.6914	1.6281	1.5688	1.5215	1.4826	1.4507	1.4252
"Sao Tome and Principe"	678	4.1057	3.6683	3.3077	3.0755	2.875	2.6936	2.5381	2.4037	2.2846	2.1752	2.0774	1.9889	1.9085	1.8295	1.7613	1.6983	1.6403
"Northern Africa"	912	2.800007955	2.484828872	2.246738808	2.12355823	2.011133534	1.918538487	1.850985156	1.79787199	1.744233264	1.684015007	1.627016295	1.579189769	1.543732802	1.512966026	1.48749889	1.459241481	1.435190648
"Algeria"	12	2.3676	2.0075	1.7583	1.6465	1.5646	1.5026	1.4581	1.4295	1.4088	1.393	1.3828	1.3772	1.3729	1.3695	1.3704	1.3686	1.3691
"Egypt"	818	2.9118	2.5758	2.3203	2.1886	2.0754	1.9748	1.8793	1.7953	1.7208	1.6516	1.5938	1.543	1.5041	1.4693	1.4427	1.4204	1.4029
"Libya"	434	2.065	1.7437	1.5127	1.4109	1.3395	1.292	1.2677	1.2576	1.2554	1.2581	1.2648	1.2706	1.2779	1.2851	1.2942	1.3	1.3079
"Morocco"	504	2.1313	1.8427	1.632	1.5433	1.4727	1.4188	1.3772	1.3499	1.3319	1.3203	1.3145	1.3119	1.311	1.3127	1.316	1.3175	1.3211
"Sudan"	729	3.8784	3.4338	3.0747	2.8498	2.6563	2.49	2.345	2.2197	2.1082	2.0073	1.916	1.8327	1.7561	1.6852	1.629	1.5738	1.5287
"Tunisia"	788	1.8197	1.5905	1.4296	1.3854	1.3569	1.3395	1.3289	1.3237	1.323	1.3223	1.3235	1.3262	1.3294	1.3333	1.3361	1.3393	1.3428
"Western Sahara"	732	1.8142	1.5439	1.3489	1.2776	1.229	1.1975	1.1839	1.1838	1.1879	1.1984	1.2103	1.2215	1.2348	1.2457	1.2579	1.2676	1.2769
"Southern Africa"	913	2.130836477	1.866743844	1.672431569	1.590988621	1.522953326	1.467180486	1.422815087	1.38716939	1.360411352	1.339863403	1.325744271	1.316578187	1.310316951	1.306991692	1.305191047	1.304121842	1.306343623
"Botswana"	72	2.4217	2.0931	1.8454	1.7243	1.6215	1.5347	1.4652	1.4135	1.3742	1.3444	1.3241	1.3121	1.3058	1.3023	1.3037	1.3049	1.3073
"Lesotho"	426	2.7616	2.4069	2.1439	2.0096	1.8975	1.7979	1.7112	1.6358	1.5723	1.5165	1.4718	1.4344	1.4061	1.3831	1.3668	1.3535	1.3455
"Namibia"	516	3.0608	2.6732	2.3759	2.2121	2.0716	1.9486	1.8406	1.7449	1.6624	1.5855	1.5218	1.4735	1.4356	1.407	1.3843	1.366	1.352
"South Africa"	710	2.032	1.779	1.5933	1.5177	1.4558	1.4066	1.3686	1.3391	1.3186	1.3048	1.2969	1.293	1.2912	1.2918	1.2931	1.2945	1.299
"Swaziland"	748	2.8116	2.4237	2.1339	1.9774	1.846	1.7312	1.6312	1.5486	1.4809	1.4249	1.3821	1.3523	1.3286	1.3145	1.3054	1.3014	1.2998
"Western Africa"	914	4.960339313	4.483430928	4.067447238	3.77304841	3.502776293	3.256125358	3.031215727	2.828872986	2.6492735	2.487699251	2.346271428	2.221059725	2.108231906	2.006384902	1.916058552	1.833980256	1.759649312
"Benin"	204	4.2519	3.7522	3.3415	3.0738	2.8408	2.6371	2.4645	2.3153	2.1867	2.0737	1.9706	1.8776	1.7921	1.7161	1.6451	1.5877	1.5373
"Burkina Faso"	854	4.9847	4.4442	3.9789	3.6453	3.3422	3.076	2.8423	2.6446	2.4715	2.3229	2.193	2.0823	1.9751	1.8835	1.7989	1.7242	1.6576
"Cabo Verde"	132	1.9364	1.6495	1.4429	1.3626	1.3044	1.2661	1.2416	1.2316	1.228	1.2293	1.2358	1.2434	1.2519	1.261	1.2706	1.279	1.287
"Cote d'Ivoire"	384	4.5175	4.0676	3.7016	3.4609	3.2498	3.0588	2.8868	2.736	2.5994	2.4712	2.3578	2.2495	2.1534	2.0583	1.9742	1.8925	1.8121
"Gambia"	270	5.2772	4.8216	4.3709	4.0072	3.6471	3.305	2.9847	2.7024	2.4628	2.2592	2.0962	1.9596	1.8434	1.7474	1.6644	1.5948	1.5361
"Ghana"	288	3.7031	3.2924	2.9672	2.7726	2.6031	2.4563	2.3272	2.2115	2.1069	2.01	1.9239	1.8404	1.7612	1.6914	1.6293	1.5743	1.5296
"Guinea"	324	4.4839	3.9624	3.5239	3.2214	2.9593	2.734	2.5444	2.3785	2.2361	2.1163	2.0049	1.9069	1.8203	1.74	1.6713	1.6079	1.5554
"Guinea-Bissau"	624	4.3104	3.8041	3.3898	3.1157	2.8755	2.6755	2.4992	2.3456	2.2142	2.098	1.991	1.8987	1.8144	1.7343	1.6666	1.6049	1.5505
"Liberia"	430	4.2235	3.7495	3.3586	3.1013	2.8767	2.6901	2.5211	2.3771	2.2514	2.1372	2.0336	1.9405	1.854	1.7766	1.7044	1.6405	1.5851
"Mali"	466	5.6698	5.0704	4.5323	4.1151	3.7296	3.3811	3.0681	2.8004	2.5742	2.3821	2.2217	2.088	1.9704	1.8643	1.7771	1.6926	1.6264
"Mauritania"	478	4.1421	3.7141	3.3587	3.1346	2.9328	2.752	2.5971	2.4614	2.3413	2.2343	2.1336	2.0432	1.961	1.8825	1.8083	1.7423	1.6817
"Niger"	562	7.2069	6.7284	6.184	5.7119	5.2493	4.7984	4.372	3.9701	3.6109	3.2959	3.0195	2.7811	2.5748	2.3944	2.2438	2.107	1.9877
"Nigeria"	566	5.1582	4.6695	4.2374	3.9205	3.6202	3.3441	3.0935	2.8725	2.6796	2.5062	2.3579	2.2289	2.1146	2.0134	1.9234	1.8435	1.7696
"Senegal"	686	4.5776	4.1083	3.7199	3.4651	3.2396	3.0359	2.8602	2.6998	2.559	2.4321	2.3174	2.2122	2.1166	2.0248	1.9369	1.8573	1.7838
"Sierra Leone"	694	4.0273	3.423	2.9379	2.6283	2.381	2.1824	2.0251	1.8905	1.7805	1.6852	1.6042	1.5347	1.4778	1.4354	1.4019	1.3771	1.3569
"Togo"	768	4.0956	3.6409	3.2701	3.0342	2.8323	2.6546	2.4989	2.3616	2.237	2.1279	2.0269	1.9338	1.8443	1.7672	1.6943	1.6298	1.5745
"Asia"	935	1.896378522	1.694341971	1.549435723	1.505536684	1.466113585	1.442256703	1.425688887	1.405171206	1.378819042	1.359725349	1.348352591	1.343439441	1.342460105	1.341070183	1.338780605	1.336057911	1.335519086
"Eastern Asia"	906	1.326830946	1.197174264	1.13487891	1.174496982	1.199643621	1.214187496	1.228188117	1.241813996	1.255091913	1.267719267	1.277384245	1.28488597	1.291413075	1.29680419	1.302994729	1.308169757	1.313143941
"China"	156	1.3407	1.2252	1.155	1.1809	1.2026	1.2199	1.2359	1.2492	1.2617	1.272	1.2803	1.2881	1.2952	1.3002	1.306	1.3104	1.3148
