"name"	"country_code"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
"Afghanistan"	4	64.5415	67.1782	69.633	72.0919	74.2356	76.0985	77.8048	79.3973	80.8314	82.0717	83.2289	84.2226	85.1243	86.0093	86.8295	87.705	88.4312
"Albania"	8	81.8116	82.8669	83.821	84.7021	85.5574	86.3988	87.1406	87.8867	88.649	89.3747	90.066	90.7874	91.4972	92.2529	92.8673	93.5315	94.1685
"Algeria"	12	79.061	80.5573	81.7823	82.8863	83.8801	84.8411	85.6669	86.5096	87.2653	88.0411	88.789	89.4844	90.1439	90.8172	91.4639	92.0225	92.6238
"Antigua and Barbuda"	28	79.9735	81.154	82.1884	83.1526	84.1097	85.0033	85.8007	86.6133	87.3967	88.2191	88.9571	89.6685	90.4498	91.0988	91.8108	92.4646	93.191
"Argentina"	32	81.4275	82.551	83.5256	84.479	85.3171	86.1818	87.0249	87.8445	88.5906	89.3767	90.1081	90.8885	91.6069	92.2995	93.0699	93.708	94.4333
"Armenia"	51	79.8761	80.8169	81.6662	82.4766	83.2173	83.9304	84.7187	85.4037	86.0777	86.742	87.4421	88.0847	88.7434	89.3799	90.0543	90.7067	91.3387
"Aruba"	533	79.3035	80.3073	81.1773	81.9621	82.7238	83.4314	84.0617	84.7602	85.3701	86.031	86.7105	87.3548	88.002	88.6179	89.2592	89.895	90.4063
"Australia"	36	85.7094	86.7232	87.6592	88.4817	89.3698	90.1552	90.9676	91.7545	92.5421	93.3366	94.0732	94.7251	95.4983	96.1883	96.8998	97.5796	98.2523
"Austria"	40	85.084	86.1821	87.1558	88.0594	88.9237	89.7644	90.6102	91.4	92.1464	92.8816	93.6423	94.3856	95.0733	95.814	96.5404	97.2209	97.9324
"Azerbaijan"	31	75.4686	76.5052	77.4535	78.2954	79.0885	79.8622	80.6496	81.3729	82.1107	82.7783	83.504	84.1659	84.8021	85.4178	86.087	86.7705	87.4052
"Bahamas"	44	79.8302	80.9823	81.9926	82.9372	83.8358	84.6822	85.5452	86.2932	87.0611	87.8045	88.5541	89.3514	89.9905	90.6984	91.4305	92.0711	92.755
